config_id,split_type,split,test_median,n_test
0,height,LOW,54.771851205148764,8
0,height,MID,47.942760408570756,8
0,height,HIGH,45.39147716589646,8
0,quadrant,NE,67.872864195743,3
0,quadrant,NW,54.63069765604163,8
0,quadrant,SE,64.55314711628168,4
0,quadrant,SW,42.8287309065866,9
1,height,LOW,54.771851205148764,8
1,height,MID,47.942760408570756,8
1,height,HIGH,45.39147716589646,8
1,quadrant,NE,67.872864195743,3
1,quadrant,NW,54.63069765604163,8
1,quadrant,SE,64.55314711628168,4
1,quadrant,SW,42.8287309065866,9
2,height,LOW,54.771851205148764,8
2,height,MID,47.942760408570756,8
2,height,HIGH,45.39147716589646,8
2,quadrant,NE,67.872864195743,3
2,quadrant,NW,54.63069765604163,8
2,quadrant,SE,64.55314711628168,4
2,quadrant,SW,42.8287309065866,9
3,height,LOW,53.07854712496274,8
3,height,MID,51.459088917368945,8
3,height,HIGH,47.77674884939739,8
3,quadrant,NE,69.47685544555726,3
3,quadrant,NW,56.511337424368726,8
3,quadrant,SE,62.84746279718826,4
3,quadrant,SW,41.47359164070156,9
4,height,LOW,53.07854712496274,8
4,height,MID,51.459088917368945,8
4,height,HIGH,47.77674884939739,8
4,quadrant,NE,69.47685544555726,3
4,quadrant,NW,56.511337424368726,8
4,quadrant,SE,62.84746279718826,4
4,quadrant,SW,41.47359164070156,9
5,height,LOW,56.21507110869331,8
5,height,MID,46.8221336090032,8
5,height,HIGH,48.721658563485626,8
5,quadrant,NE,64.51051654512274,3
5,quadrant,NW,52.1516781804878,8
5,quadrant,SE,65.17725143988058,4
5,quadrant,SW,41.293782859383924,9
6,height,LOW,55.04860713660917,8
6,height,MID,48.04944416102252,8
6,height,HIGH,46.38677631848434,8
6,quadrant,NE,69.96604071307796,3
6,quadrant,NW,53.78661521987041,8
6,quadrant,SE,62.684407422026226,4
6,quadrant,SW,43.917967417800156,9
7,height,LOW,62.57179876138364,8
7,height,MID,45.769114681657015,8
7,height,HIGH,43.24388235856945,8
7,quadrant,NE,64.08318355529983,3
7,quadrant,NW,53.73472191072659,8
7,quadrant,SE,60.141051768498016,4
7,quadrant,SW,36.994352648380534,9
8,height,LOW,54.771851205148764,8
8,height,MID,47.942760408570756,8
8,height,HIGH,45.39147716589646,8
8,quadrant,NE,67.872864195743,3
8,quadrant,NW,54.63069765604163,8
8,quadrant,SE,64.55314711628168,4
8,quadrant,SW,42.8287309065866,9
9,height,LOW,62.57179876138364,8
9,height,MID,45.769114681657015,8
9,height,HIGH,43.24388235856945,8
9,quadrant,NE,64.08318355529983,3
9,quadrant,NW,53.73472191072659,8
9,quadrant,SE,60.141051768498016,4
9,quadrant,SW,36.994352648380534,9
