method,all_data_median,loo_median,bootstrap_ci,level
V4 + LOO locked,,57.920957,,locked baseline
V5 baseline locked,,67.848731,,locked baseline
B0 oracle lower bound,44.59582912114855,,,oracle ceiling
Stage2 best all-data,40.45127745160936,,,transductive
Stage3 best lower_trim_20 / V5 / huber30,43.942197565421765,44.48515490554082,"[33.4, 82.8]",HONEST
