timestamp_s,stage,gpu_index,utilization_percent,memory_used_mb
1781818451.8657453,stage1_start,0,0.0,150.0
1781818451.865755,stage1_start,1,0.0,10.0
1781819933.5527666,stage1_progress,0,30.0,348.0
1781819933.55277,stage1_progress,1,28.0,206.0
1781820129.3515062,stage1_progress,0,31.0,348.0
1781820129.35151,stage1_progress,1,0.0,206.0
1781820136.2783098,stage1_done,0,0.0,150.0
1781820136.2783136,stage1_done,1,0.0,10.0
1781820136.775497,stage2_progress,0,50.0,338.0
1781820136.775501,stage2_progress,1,0.0,10.0
1781820137.8019598,stage2_progress,0,73.0,340.0
1781820137.8019638,stage2_progress,1,0.0,10.0
1781820138.8075128,stage2_progress,0,74.0,340.0
1781820138.8075166,stage2_progress,1,0.0,10.0
1781820139.8262556,stage2_progress,0,78.0,340.0
1781820139.8262596,stage2_progress,1,0.0,10.0
1781820140.8382535,stage2_progress,0,80.0,340.0
1781820140.8382585,stage2_progress,1,0.0,10.0
1781820141.8502154,stage2_progress,0,79.0,340.0
1781820141.8502195,stage2_progress,1,0.0,10.0
1781820142.8663423,stage2_progress,0,79.0,340.0
1781820142.8663466,stage2_progress,1,0.0,10.0
1781820143.8775525,stage2_progress,0,78.0,340.0
1781820143.8775566,stage2_progress,1,0.0,10.0
1781820144.427112,stage2_progress,0,0.0,340.0
1781820144.4271169,stage2_progress,1,77.0,198.0
1781820145.4742787,stage2_progress,0,0.0,340.0
1781820145.4742832,stage2_progress,1,73.0,200.0
1781820146.5155597,stage2_progress,0,0.0,340.0
1781820146.5155635,stage2_progress,1,73.0,200.0
1781820147.5534332,stage2_progress,0,0.0,340.0
1781820147.5534372,stage2_progress,1,78.0,200.0
1781820148.5831373,stage2_progress,0,0.0,340.0
1781820148.5831416,stage2_progress,1,75.0,200.0
1781820149.6027875,stage2_progress,0,0.0,340.0
1781820149.6027932,stage2_progress,1,75.0,200.0
1781820150.6292832,stage2_progress,0,0.0,340.0
1781820150.6292875,stage2_progress,1,75.0,200.0
1781820151.6621726,stage2_progress,0,0.0,340.0
1781820151.6621768,stage2_progress,1,75.0,200.0
1781820152.0851402,stage2_progress,0,33.0,340.0
1781820152.085144,stage2_progress,1,0.0,200.0
1781820153.1075578,stage2_progress,0,75.0,340.0
1781820153.1075623,stage2_progress,1,0.0,200.0
1781820154.1232464,stage2_progress,0,74.0,340.0
1781820154.1232507,stage2_progress,1,0.0,200.0
1781820155.139721,stage2_progress,0,75.0,340.0
1781820155.1397257,stage2_progress,1,0.0,200.0
1781820156.1608405,stage2_progress,0,71.0,340.0
1781820156.1608443,stage2_progress,1,0.0,200.0
1781820157.1801355,stage2_progress,0,75.0,340.0
1781820157.1801393,stage2_progress,1,0.0,200.0
1781820158.190694,stage2_progress,0,78.0,340.0
1781820158.1906989,stage2_progress,1,0.0,200.0
1781820159.2198417,stage2_progress,0,73.0,340.0
1781820159.2198472,stage2_progress,1,0.0,200.0
1781820160.6401322,stage2_done,0,0.0,340.0
1781820160.6401365,stage2_done,1,0.0,200.0
1781820161.6482804,stage3_progress,0,20.0,376.0
1781820161.6482844,stage3_progress,1,0.0,200.0
1781820169.9934475,stage3_progress,0,20.0,376.0
1781820169.9934514,stage3_progress,1,0.0,200.0
1781820173.170867,stage3_progress,0,18.0,376.0
1781820173.1708732,stage3_progress,1,0.0,200.0
1781820176.2716153,stage3_progress,0,20.0,376.0
1781820176.2716196,stage3_progress,1,0.0,200.0
1781820179.3959296,stage3_progress,0,19.0,376.0
1781820179.3959334,stage3_progress,1,0.0,200.0
1781820182.5029385,stage3_progress,0,25.0,376.0
1781820182.502944,stage3_progress,1,0.0,200.0
1781820185.6838534,stage3_progress,0,24.0,376.0
1781820185.683857,stage3_progress,1,0.0,200.0
1781820188.85113,stage3_progress,0,22.0,376.0
1781820188.851134,stage3_progress,1,0.0,200.0
1781820192.0118792,stage3_progress,0,24.0,376.0
1781820192.011886,stage3_progress,1,0.0,200.0
1781820195.1488986,stage3_progress,0,23.0,376.0
1781820195.1489022,stage3_progress,1,0.0,200.0
1781820198.0927129,stage3_done,0,24.0,376.0
1781820198.0927186,stage3_done,1,0.0,200.0
