link_id,anchor_label,pi,persistent_flag
ID01_A,A,0.3493090562897035,False
ID01_B,B,0.0074594548507522,False
ID01_C,C,0.7559651686460914,False
ID01_D,D,0.0329866223212342,False
ID01_E,E,0.1044775746791782,False
ID01_F,F,0.0193661303904211,False
ID01_G,G,0.0683566279924328,False
ID01_H,H,0.0831847349865514,False
ID02_A,A,0.0497285633372037,False
ID02_B,B,0.004070263018579,False
ID02_C,C,0.4811841337127266,False
ID02_D,D,0.0907666385609988,False
ID02_E,E,0.0587544516032669,False
ID02_F,F,0.061530106430463,False
ID02_G,G,0.0442917251158616,False
ID02_H,H,0.9761251331690964,True
ID03_A,A,0.6775385149374175,False
ID03_B,B,0.0102599277287785,False
ID03_C,C,0.8737547064752972,False
ID03_D,D,0.0257763142738413,False
ID03_E,E,0.0377845125369933,False
ID03_F,F,0.0425444607863551,False
ID03_G,G,0.0475778554934791,False
ID03_H,H,0.1266297617803972,False
ID04_A,A,0.087110776525897,False
ID04_B,B,0.0042895894770078,False
ID04_C,C,0.1274706903297926,False
ID04_D,D,0.3011631543576586,False
ID04_E,E,0.049444905199245,False
ID04_F,F,0.0305595955827884,False
ID04_G,G,0.0520922288437489,False
ID04_H,H,0.961285611912847,True
ID05_A,A,0.9656809805741774,True
ID05_B,B,0.9341193187804072,True
ID05_C,C,0.0033243381839308,False
ID05_D,D,0.0722960517942666,False
ID05_E,E,0.0044623779753559,False
ID05_F,F,0.0639047119631091,False
ID05_G,G,0.0383586082263823,False
ID05_H,H,0.058700910551093,False
ID06_A,A,0.1964011299828484,False
ID06_B,B,0.0098344611736285,False
ID06_C,C,0.4402712886719496,False
ID06_D,D,0.0021387461788934,False
ID06_E,E,0.0375925310470828,False
ID06_F,F,0.0344244693286071,False
ID06_G,G,0.0373263888885532,False
ID06_H,H,0.0356791476491233,False
ID07_A,A,0.8208903028052998,False
ID07_B,B,0.7470719172502585,False
ID07_C,C,0.4334191421439139,False
ID07_D,D,0.0024623600550839,False
ID07_E,E,0.0063875371372058,False
ID07_F,F,0.5128663017462727,False
ID07_G,G,0.059821431188965,False
ID07_H,H,0.978957887182423,True
ID08_A,A,0.5825132263810303,False
ID08_B,B,0.2796999766513737,False
ID08_C,C,0.0037564938149675,False
ID08_D,D,0.0076041236078524,False
ID08_E,E,0.0538293001332591,False
ID08_F,F,0.0367161792649275,False
ID08_G,G,0.0389036445701098,False
ID08_H,H,0.9691426305205502,True
ID09_A,A,0.0175443239563176,False
ID09_B,B,0.0313837893226701,False
ID09_C,C,0.0021049934679926,False
ID09_D,D,0.0348852448703723,False
ID09_E,E,0.7314485144013576,False
ID09_F,F,0.0302409000724175,False
ID09_G,G,0.0387596897458494,False
ID09_H,H,0.1200092510739108,False
ID10_A,A,0.2439391318630421,False
ID10_B,B,0.0476700058275084,False
ID10_C,C,0.0019384572470078,False
ID10_D,D,0.0231876632628841,False
ID10_E,E,0.0486363574946204,False
ID10_F,F,0.0341488150459984,False
ID10_G,G,0.039508340931937,False
ID10_H,H,0.0181192582930226,False
ID11_A,A,0.0508675422376653,False
ID11_B,B,0.0089507558025096,False
ID11_C,C,0.01162380433199,False
ID11_D,D,0.0539958449921007,False
ID11_E,E,0.0200720274027586,False
ID11_F,F,0.0343414143456886,False
ID11_G,G,0.0351802842649543,False
ID11_H,H,0.9747199880377896,True
ID12_A,A,0.0272500802828805,False
ID12_B,B,0.2509456094550594,False
ID12_C,C,0.0196946070994942,False
ID12_D,D,0.0156900895843584,False
ID12_E,E,0.0096077589170608,False
ID12_F,F,0.0285801604856252,False
ID12_G,G,0.0413732243685399,False
ID12_H,H,0.0645128116692088,False
ID13_A,A,0.0828703201952829,False
ID13_B,B,0.9960971709624336,True
ID13_C,C,0.0087383484127721,False
ID13_D,D,0.0313580098756974,False
ID13_E,E,0.0180555551749901,False
ID13_F,F,0.0246228260023824,False
ID13_G,G,0.0395778128944583,False
ID13_H,H,0.9477390955659828,True
ID14_A,A,0.6582702091121313,False
ID14_B,B,0.0079638495943953,False
ID14_C,C,0.0105667399067293,False
ID14_D,D,0.0296082050808454,False
ID14_E,E,0.0262518074089705,False
ID14_F,F,0.02911954984344,False
ID14_G,G,0.0571177504367455,False
ID14_H,H,0.0169056935353693,False
ID15_A,A,0.0356876839126632,False
ID15_B,B,0.3036940213057258,False
ID15_C,C,0.0354711279743457,False
ID15_D,D,0.3018598140401729,False
ID15_E,E,0.0208595863138308,False
ID15_F,F,0.0134241049316721,False
ID15_G,G,0.1001727099078664,False
ID15_H,H,0.0681967264423844,False
ID16_A,A,0.4641605704506996,False
ID16_B,B,0.0440941462648191,False
ID16_C,C,0.0081744616108782,False
ID16_D,D,0.0375908025505106,False
ID16_E,E,0.0297202853136327,False
ID16_F,F,0.0280612241624472,False
ID16_G,G,0.0640692641113113,False
ID16_H,H,0.0963886707727093,False
ID17_A,A,0.8240351372585537,False
ID17_B,B,0.0564124073106453,False
ID17_C,C,0.6994731322745997,False
ID17_D,D,0.2094317822093238,False
ID17_E,E,0.0276119585025235,False
ID17_F,F,0.0400817396380033,False
ID17_G,G,0.025596253622277,False
ID17_H,H,0.0255424574065404,False
ID18_A,A,0.6598382342853737,False
ID18_B,B,0.0905360970399099,False
ID18_C,C,0.4209955894270313,False
ID18_D,D,0.1028994224412908,False
ID18_E,E,0.5954504367001968,False
ID18_F,F,0.0319537616367536,False
ID18_G,G,0.0493934141671102,False
ID18_H,H,0.0277008640377045,False
ID19_A,A,0.5790543624889299,False
ID19_B,B,0.3590752409896285,False
ID19_C,C,0.0013273742076477,False
ID19_D,D,0.4444536898246948,False
ID19_E,E,0.0208491787397703,False
ID19_F,F,0.0321855025365946,False
ID19_G,G,0.0262467191614754,False
ID19_H,H,0.9605578978976048,True
ID20_A,A,0.5131903343343789,False
ID20_B,B,0.0764117382726692,False
ID20_C,C,0.0389429921976353,False
ID20_D,D,0.0337056782605555,False
ID20_E,E,0.4211971010297999,False
ID20_F,F,0.0419884311333343,False
ID20_G,G,0.0302506482716489,False
ID20_H,H,0.2437290133193168,False
ID21_A,A,0.6196035038153536,False
ID21_B,B,0.0079461667435576,False
ID21_C,C,0.0082357104586725,False
ID21_D,D,0.2277735881995891,False
ID21_E,E,0.0316540279561813,False
ID21_F,F,0.0392034976203151,False
ID21_G,G,0.0373913073208091,False
ID21_H,H,0.1245993033164385,False
ID22_A,A,0.2507512847335588,False
ID22_B,B,0.0073604143968945,False
ID22_C,C,0.9382338018534252,True
ID22_D,D,0.0556461107193782,False
ID22_E,E,0.2668876405254006,False
ID22_F,F,0.030973562663569,False
ID22_G,G,0.0383944151432573,False
ID22_H,H,0.0228690516133205,False
ID23_A,A,0.2509147362789524,False
ID23_B,B,0.0084050886524767,False
ID23_C,C,0.0104484739596273,False
ID23_D,D,0.0020780392399059,False
ID23_E,E,0.0104351577091778,False
ID23_F,F,0.033205900826512,False
ID23_G,G,0.037098326187726,False
ID23_H,H,0.969399779733908,True
ID24_A,A,0.5740979443056984,False
ID24_B,B,0.0267805236557254,False
ID24_C,C,0.0021081313481634,False
ID24_D,D,0.5532706087175397,False
ID24_E,E,0.1639709257969462,False
ID24_F,F,0.0416101641380191,False
ID24_G,G,0.0349042892766028,False
ID24_H,H,0.0179494770774688,False
