file,rows
cumulative_runtime_summary.csv,7
gpu_utilization_log.csv,80
output_row_counts.csv,27
raw_link_inventory.csv,192
s1_all_estimators.csv,7104
s1_mixture_fits.csv,1536
s2_best_per_estimator.csv,37
s2_best_per_geometry.csv,3
s2_full_grid.csv,107448
s2_top50_overall.csv,50
s3_honest_ranking.csv,100
s3_loo_results.csv,100
s3_top10_spatial_splits.csv,70
s4_ba_anchor_motion.csv,-1
s4_ba_best.csv,1
s4_ba_results.csv,1
s5_anchor_holdout.csv,8
s5_bootstrap.csv,5000
s5_bootstrap_summary.csv,1
s5_frame_half.csv,192
s5_leakage.csv,1
s5_persistent_nlos.csv,192
s5_synthetic_recovery.csv,40
s6_level_decision.csv,1
s6_master_ladder.csv,5
stage_status.csv,6
verification.csv,1
