layout,source,horizontal_median_mm,horizontal_p95_mm,horizontal_rmse_mm,vertical_median_mm,vertical_p95_mm,vertical_rmse_mm,err3d_median_mm,err3d_p95_mm,err3d_rmse_mm,n
production_v4io_tag_delay_0_Table5,existing main_EN.tex Table 5 / tab:static_headline,37.4,73.6,47.9,61.9,170.0,98.8,72.7,171.5,109.8,
common_mode_metric_corrected_tag_delay_0,autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL/audit_phase1d/tables/item1_item2_static_per_session.csv,45.21830372733815,75.96229646685205,49.709725976733516,89.42072844017994,222.158724199241,131.43929713276304,109.51538194751673,223.8592378045819,140.52524928793653,24.0
