host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T02:00:28.858+02:00,BSF66F,57,7,H,2381,2749356528,5899,48092,9798,472,32,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000057_H.bin
2026-06-02T02:00:29.748+02:00,BSF66F,58,5,F,2892,4094954129,-342,47741,18418,1844,72,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000058_F.bin
2026-06-02T02:00:30.648+02:00,BSF66F,59,7,H,2399,1138441547,5951,47919,9491,508,36,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000059_H.bin
2026-06-02T02:00:31.537+02:00,BSF66F,60,5,F,2919,2488979982,-446,48130,19114,1948,72,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000060_F.bin
2026-06-02T02:00:32.434+02:00,BSF66F,61,7,H,2357,3549593321,6156,47821,11018,539,32,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000061_H.bin
2026-06-02T02:00:33.323+02:00,BSF66F,62,5,F,2884,605890438,-425,47994,18671,2083,76,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000062_F.bin
2026-06-02T02:00:34.218+02:00,BSF66F,63,7,H,2321,1641731320,6243,47836,10645,554,28,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000063_H.bin
2026-06-02T02:00:35.107+02:00,BSF66F,64,5,F,2869,2971451204,-391,47928,18929,2058,64,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000064_F.bin
2026-06-02T02:00:36.007+02:00,BSF66F,65,7,H,2409,4275621346,5996,48070,10444,509,36,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000065_H.bin
2026-06-02T02:00:36.896+02:00,BSF66F,66,5,F,2836,1300937959,-282,47835,21441,2240,72,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000066_F.bin
2026-06-02T02:00:37.793+02:00,BSF66F,67,7,H,2318,2349769638,6225,48018,10114,481,36,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000067_H.bin
2026-06-02T02:00:38.681+02:00,BSF66F,68,5,F,2877,3724679927,-550,47843,20221,2243,60,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000068_F.bin
2026-06-02T02:00:39.577+02:00,BSF66F,69,7,H,2380,469088124,5953,47976,9887,520,32,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000069_H.bin
2026-06-02T02:00:40.466+02:00,BSF66F,70,5,F,2813,1781691114,-329,47838,20362,2028,80,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000070_F.bin
2026-06-02T02:00:41.366+02:00,BSF66F,71,7,H,2376,3110264676,6104,47952,10546,489,28,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000071_H.bin
2026-06-02T02:00:42.255+02:00,BSF66F,72,5,F,2885,154057884,-448,47768,21328,2060,72,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000072_F.bin
2026-06-02T02:00:43.151+02:00,BSF66F,73,7,H,2361,1179153963,6013,47639,10838,545,36,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000073_H.bin
2026-06-02T02:00:44.040+02:00,BSF66F,74,5,F,2895,2525428269,-432,47641,21086,2369,64,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000074_F.bin
2026-06-02T02:00:44.936+02:00,BSF66F,75,7,H,2351,3565062631,6124,48083,10281,480,24,4064,autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_020027/accumulator_bin/sweep_00000075_H.bin
