config,solver,mean_3d,std_3d,mean_z,std_z
Dual-layer 8anc,MDS+NLS,41.34953872382311,0.0367701321741441,34.68245937311773,0.045371222575841086
Dual-layer 8anc,Ridolfi GD,41.355803000489175,0.040488736301296194,34.69011400477573,0.04508808673987123
Dual-layer 8anc,SDP+NLS,nan,nan,nan,nan
Dual-layer 8anc,AutoPos V1,41.34797595406845,0.0377379600665077,34.68192477605574,0.04211162593699422
Dual-layer 8anc,AutoPos V2,41.35899422186247,0.03651364890341347,34.70493372180458,0.042686638562858065
Dual-layer 8anc,V3-lite,41.3242054692093,0.05387810008066047,34.658420549698334,0.060854348414184044
Dual-layer 8anc,V3-full,41.13052593425863,0.4674352315697926,34.25634697740302,0.5585445851125532
Dual-layer 8anc,V4-interonly,40.804168159990574,0.06753629369277334,33.94998847187257,0.07857632243185567
Upper only EFGH,MDS+NLS,109.53783524192761,0.9496916907353106,98.12932924628721,0.9966397973031832
Upper only EFGH,Ridolfi GD,142.0557995856112,129.6464332196003,131.22538994909405,131.93691583364347
Upper only EFGH,SDP+NLS,nan,nan,nan,nan
Upper only EFGH,AutoPos V1,120.44065801496468,76.15373541763377,109.2321454462287,77.50680223117888
Upper only EFGH,AutoPos V2,68.1990745398753,35.294583087994,46.18123933776424,46.652613243004566
Upper only EFGH,V3-lite,152.3800638742954,147.757965495207,141.76619332929073,150.37016385762422
Upper only EFGH,V3-full,130.67832688128644,106.46035970175039,119.67057024157405,108.35054098702032
Upper only EFGH,V4-interonly,119.80286772592568,76.31462479366667,108.56764752035879,77.66801932902753
Lower only ABCD,MDS+NLS,67.6543812495493,0.3407888884633969,59.465608104654265,0.3811641116124353
Lower only ABCD,Ridolfi GD,67.58825621880405,0.3776088069895246,59.39198481013675,0.4195212414046702
Lower only ABCD,SDP+NLS,nan,nan,nan,nan
Lower only ABCD,AutoPos V1,67.62285088946228,0.3408532904423308,59.430317555643235,0.3814354307265411
Lower only ABCD,AutoPos V2,68.08572135452044,0.42986801274376074,59.95076453465727,0.4808245482598319
Lower only ABCD,V3-lite,67.16421834189907,0.6507384027273084,58.90889869673966,0.725582213097924
Lower only ABCD,V3-full,67.07821882989533,0.5843975413182397,58.81254438255473,0.6502551062771581
Lower only ABCD,V4-interonly,66.99651987833927,0.5426141388587832,58.72274558548781,0.607411476540302
Best6 no DH,MDS+NLS,43.96580133787757,0.06888688043427348,37.40306254912463,0.06989695032670382
Best6 no DH,Ridolfi GD,43.9951455136809,0.07653202764234707,37.433635356887024,0.07602559045500215
Best6 no DH,SDP+NLS,nan,nan,nan,nan
Best6 no DH,AutoPos V1,43.95892021045354,0.08497595233526593,37.399822909148476,0.08239057368824775
Best6 no DH,AutoPos V2,43.964284862763314,0.08205427437348653,37.40089961242159,0.08157458738227039
Best6 no DH,V3-lite,43.93033512439294,0.11782183353614153,37.35463430043099,0.11703341489901446
Best6 no DH,V3-full,44.26609660937786,0.7428709887828849,38.25790822719132,0.9343562378052499
Best6 no DH,V4-interonly,41.56901327502101,0.0671658801016825,34.935676630178676,0.07308381302712001
Upper+AB,MDS+NLS,48.63622297442343,0.04317291127163243,20.23882381836912,0.028009204473432144
Upper+AB,Ridolfi GD,48.648859077859655,0.038694913872550585,20.231471679576956,0.02976077477577473
Upper+AB,SDP+NLS,nan,nan,nan,nan
Upper+AB,AutoPos V1,48.64212917027623,0.037322414248539465,20.234155919542662,0.02639956402124061
Upper+AB,AutoPos V2,48.60329851316835,0.03654446691223665,20.30543329033787,0.033325829966326055
Upper+AB,V3-lite,48.62837478250183,0.06816739176336632,20.26896472595846,0.03717062102254929
Upper+AB,V3-full,48.15296982723389,0.5151274100124348,20.29940051346296,0.2985449098534206
Upper+AB,V4-interonly,48.65247932010268,0.07595456496559097,20.28310164565924,0.04212249239400763
Lower+EF,MDS+NLS,43.87843604628833,0.06945148456369751,37.46042218999118,0.07005626988332046
Lower+EF,Ridolfi GD,43.904694089772654,0.07446048531717876,37.48563172179022,0.07695133229872213
Lower+EF,SDP+NLS,nan,nan,nan,nan
Lower+EF,AutoPos V1,43.88378256209495,0.07607336249079981,37.46725423392162,0.07895819541238822
Lower+EF,AutoPos V2,43.93957755959302,0.07947605189911117,37.517334128896756,0.08363727217922826
Lower+EF,V3-lite,43.94396632503845,0.1024670918390509,37.5174087200428,0.10291263698585594
Lower+EF,V3-full,43.8546265431067,1.1318451947747243,37.13794156994056,1.0145543231482157
Lower+EF,V4-interonly,43.2477909989616,0.08619093930389796,36.917574500715446,0.09690400688287173
