version,label,meaning,tag_delay_mm,autopos_rms,autopos_p95,static_n,static_median,static_p95,static_max,roto_n,roto_deltaR_mean,roto_deltaR_rms,roto_abs_deltaR_median,roto_abs_deltaR_p95,roto_turn_center_median,roto_turn_center_p95
v1-old,V1,"simple bidirectional mean, no delay",0.0,238.81635583026096,379.41630481673894,0,,,,,,,,,,
v2,V2,"weighted/IVW pair fusion, no delay",0.0,111.17486645231409,217.43498723046767,0,,,,,,,,,,
v3-lite,V3-lite,"MAD/MVUE robust pair fusion, no delay",0.0,113.0796468807706,219.49578656655729,0,,,,,,,,,,
v3-full,V3-full,robust pair fusion plus per-anchor delay,0.0,136.07643772044972,312.98722606230575,0,,,,,,,,,,
v4-io,V4-io,current production inter-anchor solver,0.0,132.3072539539271,205.09163896635562,0,,,,,,,,,,
