version,eval_set,anchor,n_pairs,rms,p50_abs,p95_abs,max_abs
v1-old,all1000,A,7,194.47229497838146,84.72152521343378,347.31035169206723,356.9103765953332
v1-old,all1000,B,7,226.2833131737148,162.96670921874738,371.5475051612734,391.5348815513421
v1-old,all1000,C,7,207.558014027323,90.905938130908,352.7639371489632,391.5348815513421
v1-old,all1000,D,7,382.6008281124058,163.08891335064072,722.3973677959553,879.0346497390797
v1-old,all1000,E,7,93.93273786883343,103.70532761804543,121.10618250760831,123.01747044649755
v1-old,all1000,F,7,154.5284844538729,152.12521109473983,236.29128821466455,260.25773560042035
v1-old,all1000,G,7,139.54002236211716,95.89356132015837,224.59118557391471,243.54330325649198
v1-old,all1000,H,7,354.4077464025064,92.72432622321685,693.4015754974814,879.0346497390797
v1-old,solve,A,7,194.47229497838146,84.72152521343378,347.31035169206723,356.9103765953332
v1-old,solve,B,7,226.2833131737148,162.96670921874738,371.5475051612734,391.5348815513421
v1-old,solve,C,7,207.558014027323,90.905938130908,352.7639371489632,391.5348815513421
v1-old,solve,D,7,382.6008281124058,163.08891335064072,722.3973677959553,879.0346497390797
v1-old,solve,E,7,93.93273786883343,103.70532761804543,121.10618250760831,123.01747044649755
v1-old,solve,F,7,154.5284844538729,152.12521109473983,236.29128821466455,260.25773560042035
v1-old,solve,G,7,139.54002236211716,95.89356132015837,224.59118557391471,243.54330325649198
v1-old,solve,H,7,354.4077464025064,92.72432622321685,693.4015754974814,879.0346497390797
v2,all1000,A,7,116.54074165807003,54.85815782890654,203.63816194588196,209.09379041638567
v2,all1000,B,7,162.79907257972897,50.104102718571085,306.7801334500987,356.4394639938382
v2,all1000,C,7,105.77286357571987,84.84631162609003,182.89085655685383,209.09379041638567
v2,all1000,D,7,168.9747029762026,87.16192510371184,316.0855450655633,356.4394639938382
v2,all1000,E,7,44.97922501642035,43.22074647784848,55.07878927136733,55.17334560385052
v2,all1000,F,7,98.3940263548222,35.913040581573114,188.62614907883219,221.92640089958877
v2,all1000,G,7,41.16876858580247,46.83135784731894,49.71161253893958,50.104102718571085
