eval_set,pair,n_ab,n_ba,med_ab,med_ba,mad_ab,mad_ba,asymmetry,median_all,mad_all
solve,A-B,100,100,4305.5,4288.0,34.8411,42.9954,17.5,4296.5,39.2889
solve,A-C,100,100,5084.0,5078.0,16.3086,25.2042,6.0,5082.0,22.238999999999997
solve,A-D,100,100,2764.5,2777.0,27.428099999999997,28.9107,12.5,2771.0,28.1694
solve,A-E,100,100,1600.5,1587.5,28.9107,25.2042,13.0,1595.0,27.428099999999997
solve,A-F,100,100,4636.5,4736.5,61.527899999999995,57.080099999999995,100.0,4700.5,77.8365
solve,A-G,100,100,5142.0,5148.0,31.875899999999998,17.7912,6.0,5146.5,23.7216
solve,A-H,100,100,3138.5,3133.5,22.9803,24.462899999999998,5.0,3136.0,25.2042
solve,B-C,100,100,3035.5,3040.5,37.065,31.1346,5.0,3037.5,31.875899999999998
solve,B-D,100,100,5773.5,5785.0,607.866,432.9192,11.5,5782.5,544.1142
solve,B-E,100,100,4446.0,4435.0,68.9409,40.771499999999996,11.0,4436.5,45.9606
solve,B-F,100,100,1496.0,1507.0,25.2042,20.7564,11.0,1503.0,22.238999999999997
solve,B-G,100,100,3649.0,3663.5,28.1694,18.5325,14.5,3656.0,25.2042
solve,B-H,100,100,5288.5,5291.5,20.0151,20.7564,3.0,5290.0,20.7564
solve,C-D,100,100,3849.5,3851.5,22.9803,20.0151,2.0,3850.5,19.273799999999998
solve,C-E,100,100,4946.0,4956.5,19.273799999999998,31.875899999999998,10.5,4951.0,22.238999999999997
solve,C-F,100,100,3545.0,3537.0,15.5673,17.7912,8.0,3542.0,18.5325
solve,C-G,100,100,1684.5,1695.0,22.238999999999997,23.7216,10.5,1691.0,23.7216
solve,C-H,100,100,4000.5,4013.5,52.632299999999994,45.9606,13.0,4007.0,48.925799999999995
solve,D-E,100,100,3085.5,3070.5,24.462899999999998,27.428099999999997,15.0,3080.0,25.9455
solve,D-F,100,100,5227.0,5222.0,22.238999999999997,16.3086,5.0,5224.0,19.273799999999998
solve,D-G,100,100,3996.0,3991.0,13.343399999999999,22.9803,5.0,3995.0,19.273799999999998
solve,D-H,100,100,1708.0,1710.5,28.1694,22.9803,2.5,1709.5,25.9455
solve,E-F,100,100,4165.0,4170.5,47.4432,50.4084,5.5,4168.0,49.6671
solve,E-G,100,100,4850.0,4838.0,18.5325,42.9954,12.0,4846.0,28.9107
solve,E-H,100,100,2740.0,2741.5,24.462899999999998,17.7912,1.5,2741.0,20.7564
solve,F-G,100,100,3375.0,3381.0,14.0847,25.2042,6.0,3377.0,19.273799999999998
solve,F-H,100,100,5045.5,5039.5,15.5673,18.5325,6.0,5043.0,17.049899999999997
solve,G-H,100,100,3585.0,3587.0,30.3933,40.0302,2.0,3585.5,33.3585
