version,eval_set,rms,p50_abs,p75_abs,p95_abs,max_abs
v1-old,all1000,238.81635583026096,112.30522590883925,196.1630090500489,379.41630481673894,879.0346497390797
v1-old,solve,238.81635583026096,112.30522590883925,196.1630090500489,379.41630481673894,879.0346497390797
v2,all1000,111.17486645231409,48.16814854338065,88.77430521629628,217.43498723046767,356.4394639938382
v2,solve,111.17486645231409,48.16814854338065,88.77430521629628,217.43498723046767,356.4394639938382
v3-full,all1000,136.07643772044972,0.46012244261328306,1.185797225588317,312.98722606230575,532.4605705690647
v3-full,solve,136.07643772044972,0.46012244261328306,1.185797225588317,312.98722606230575,532.4605705690647
v3-lite,all1000,113.0796468807706,48.632903040438805,91.49813524542742,219.49578656655729,364.94005010869023
v3-lite,solve,113.0796468807706,48.632903040438805,91.49813524542742,219.49578656655729,364.94005010869023
v4-io,all1000,132.3072539539271,17.850773309731608,38.360047607352044,205.09163896635562,613.9688849909926
v4-io,solve,132.3072539539271,17.850773309731608,38.360047607352044,205.09163896635562,613.9688849909926
