version,ID,status,location,height,facing
v1-old,ID01,missing,edge,low,ABEF
v1-old,ID02,missing,edge,mid,ABEF
v1-old,ID03,missing,edge,high,ABEF
v1-old,ID04,missing,edge,low,BCGF
v1-old,ID05,missing,edge,mid,BCGF
v1-old,ID06,missing,edge,high,BCGF
v1-old,ID07,missing,edge,low,CDHG
v1-old,ID08,missing,edge,mid,CDHG
v1-old,ID09,missing,edge,high,CDHG
v1-old,ID10,missing,edge,low,ADHE
v1-old,ID11,missing,edge,mid,ADHE
v1-old,ID12,missing,edge,high,ADHE
v1-old,ID13,missing,center,mid,ABEF
v1-old,ID14,missing,center,mid,BCGF
v1-old,ID15,missing,center,mid,CDHG
v1-old,ID16,missing,center,mid,ADHE
v1-old,ID17,missing,center,low,ABEF
v1-old,ID18,missing,center,low,BCGF
v1-old,ID19,missing,center,low,CDHG
v1-old,ID20,missing,center,low,ADHE
v1-old,ID21,missing,center,high,ABEF
v1-old,ID22,missing,center,high,BCGF
v1-old,ID23,missing,center,high,CDHG
v1-old,ID24,missing,center,high,ADHE
v2,ID01,missing,edge,low,ABEF
v2,ID02,missing,edge,mid,ABEF
v2,ID03,missing,edge,high,ABEF
v2,ID04,missing,edge,low,BCGF
v2,ID05,missing,edge,mid,BCGF
v2,ID06,missing,edge,high,BCGF
v2,ID07,missing,edge,low,CDHG
v2,ID08,missing,edge,mid,CDHG
v2,ID09,missing,edge,high,CDHG
v2,ID10,missing,edge,low,ADHE
v2,ID11,missing,edge,mid,ADHE
v2,ID12,missing,edge,high,ADHE
v2,ID13,missing,center,mid,ABEF
v2,ID14,missing,center,mid,BCGF
v2,ID15,missing,center,mid,CDHG
v2,ID16,missing,center,mid,ADHE
v2,ID17,missing,center,low,ABEF
v2,ID18,missing,center,low,BCGF
v2,ID19,missing,center,low,CDHG
v2,ID20,missing,center,low,ADHE
v2,ID21,missing,center,high,ABEF
v2,ID22,missing,center,high,BCGF
v2,ID23,missing,center,high,CDHG
v2,ID24,missing,center,high,ADHE
v3-lite,ID01,missing,edge,low,ABEF
v3-lite,ID02,missing,edge,mid,ABEF
v3-lite,ID03,missing,edge,high,ABEF
v3-lite,ID04,missing,edge,low,BCGF
v3-lite,ID05,missing,edge,mid,BCGF
v3-lite,ID06,missing,edge,high,BCGF
v3-lite,ID07,missing,edge,low,CDHG
v3-lite,ID08,missing,edge,mid,CDHG
v3-lite,ID09,missing,edge,high,CDHG
v3-lite,ID10,missing,edge,low,ADHE
v3-lite,ID11,missing,edge,mid,ADHE
v3-lite,ID12,missing,edge,high,ADHE
v3-lite,ID13,missing,center,mid,ABEF
v3-lite,ID14,missing,center,mid,BCGF
v3-lite,ID15,missing,center,mid,CDHG
v3-lite,ID16,missing,center,mid,ADHE
v3-lite,ID17,missing,center,low,ABEF
v3-lite,ID18,missing,center,low,BCGF
v3-lite,ID19,missing,center,low,CDHG
v3-lite,ID20,missing,center,low,ADHE
v3-lite,ID21,missing,center,high,ABEF
v3-lite,ID22,missing,center,high,BCGF
v3-lite,ID23,missing,center,high,CDHG
v3-lite,ID24,missing,center,high,ADHE
v3-full,ID01,missing,edge,low,ABEF
v3-full,ID02,missing,edge,mid,ABEF
v3-full,ID03,missing,edge,high,ABEF
v3-full,ID04,missing,edge,low,BCGF
v3-full,ID05,missing,edge,mid,BCGF
v3-full,ID06,missing,edge,high,BCGF
v3-full,ID07,missing,edge,low,CDHG
v3-full,ID08,missing,edge,mid,CDHG
v3-full,ID09,missing,edge,high,CDHG
v3-full,ID10,missing,edge,low,ADHE
v3-full,ID11,missing,edge,mid,ADHE
v3-full,ID12,missing,edge,high,ADHE
v3-full,ID13,missing,center,mid,ABEF
v3-full,ID14,missing,center,mid,BCGF
v3-full,ID15,missing,center,mid,CDHG
v3-full,ID16,missing,center,mid,ADHE
v3-full,ID17,missing,center,low,ABEF
v3-full,ID18,missing,center,low,BCGF
v3-full,ID19,missing,center,low,CDHG
v3-full,ID20,missing,center,low,ADHE
v3-full,ID21,missing,center,high,ABEF
v3-full,ID22,missing,center,high,BCGF
v3-full,ID23,missing,center,high,CDHG
v3-full,ID24,missing,center,high,ADHE
v4-io,ID01,missing,edge,low,ABEF
v4-io,ID02,missing,edge,mid,ABEF
v4-io,ID03,missing,edge,high,ABEF
v4-io,ID04,missing,edge,low,BCGF
v4-io,ID05,missing,edge,mid,BCGF
v4-io,ID06,missing,edge,high,BCGF
v4-io,ID07,missing,edge,low,CDHG
v4-io,ID08,missing,edge,mid,CDHG
v4-io,ID09,missing,edge,high,CDHG
v4-io,ID10,missing,edge,low,ADHE
v4-io,ID11,missing,edge,mid,ADHE
v4-io,ID12,missing,edge,high,ADHE
v4-io,ID13,missing,center,mid,ABEF
v4-io,ID14,missing,center,mid,BCGF
v4-io,ID15,missing,center,mid,CDHG
v4-io,ID16,missing,center,mid,ADHE
v4-io,ID17,missing,center,low,ABEF
v4-io,ID18,missing,center,low,BCGF
v4-io,ID19,missing,center,low,CDHG
v4-io,ID20,missing,center,low,ADHE
v4-io,ID21,missing,center,high,ABEF
v4-io,ID22,missing,center,high,BCGF
v4-io,ID23,missing,center,high,CDHG
v4-io,ID24,missing,center,high,ADHE
