version,ID,status,location,height,facing,mean_x,mean_y,mean_z,N_frames,pct_ge8,path
v4-io,ID01,ok,edge,low,ABEF,1337.3399892903635,767.7077458413088,125.99885835912563,1201,91.75686927560366,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv
v4-io,ID02,ok,edge,mid,ABEF,1506.1004387432035,717.5045287282596,-867.2787143411651,1201,95.67027477102414,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv
v4-io,ID03,ok,edge,high,ABEF,1477.5345222588148,665.7602740483853,-1611.0605166774897,1201,92.2564529558701,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv
v4-io,ID04,ok,edge,low,BCGF,2201.792586752164,1052.1720355521281,274.6106649241589,1201,93.83846794338052,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv
v4-io,ID05,ok,edge,mid,BCGF,2233.8932478569936,1119.0995598700517,-893.850601874668,1200,91.5,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv
v4-io,ID06,ok,edge,high,BCGF,2199.1415791699837,1064.7957103145138,-1632.699862032094,1201,92.83930058284763,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv
v4-io,ID07,ok,edge,low,CDHG,1767.2973255995423,1616.4799235929938,125.5123083277101,1201,90.84096586178185,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv
v4-io,ID08,ok,edge,mid,CDHG,1585.9174150338636,1704.1359624140055,-951.4078020298155,1201,90.25811823480433,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv
v4-io,ID09,ok,edge,high,CDHG,1621.8919867683237,1686.9902192042014,-1385.844126934356,1201,93.42214820982515,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv
v4-io,ID10,ok,edge,low,ADHE,706.2832240246122,1298.1288870864264,40.614235178459296,1201,90.75770191507078,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv
