pair,pred_mm,fused_mm,err_mm,abs_err_mm
A-B,4866.600231121709,4867.124513618677,-0.524282496968226,0.524282496968226
A-C,9318.992313266937,9318.231951290229,0.7603619767087366,0.7603619767087366
A-D,9387.468269334466,9387.0,0.46826933446573094,0.46826933446573094
A-E,1300.9885384648633,1300.7596717467761,0.2288667180871471,0.2288667180871471
A-F,4975.227820555597,4976.000000000001,-0.7721794444041734,0.7721794444041734
A-G,9664.020871141358,9664.000000000002,0.020871141356110456,0.020871141356110456
A-H,9661.61751079809,9661.47145187602,0.14605892207146098,0.14605892207146098
B-C,5123.368329108993,5123.463013698631,-0.09468458963783632,0.09468458963783632
B-D,5994.61656550901,5994.999999999999,-0.38343449098920246,0.38343449098920246
B-E,4899.899530220751,4900.000000000001,-0.100469779249579,0.100469779249579
B-F,1460.6800573266628,1460.5543836519448,0.12567367471797297,0.12567367471797297
B-G,5479.119164193576,5479.571065989848,-0.45190179627206817,0.45190179627206817
B-H,6138.165780541467,6138.199501246883,-0.03372070541627181,0.03372070541627181
C-D,8710.759193879954,8710.699115044246,0.06007883570782724,0.06007883570782724
C-E,9249.85242434075,9250.530275229357,-0.6778508886072814,0.6778508886072814
C-F,5545.0057305948885,5545.000000000001,0.005730594887609186,0.005730594887609186
C-G,1489.6841668616835,1489.5810218978104,0.10314496387309191,0.10314496387309191
C-H,8603.400631408213,8603.441379310345,-0.040747902132352465,0.040747902132352465
D-E,9465.943013518245,9466.441199077632,-0.49818555938691134,0.49818555938691134
D-F,6138.002285973431,6137.602352941177,0.3999330322540118,0.3999330322540118
D-G,8851.967898108334,8852.0,-0.03210189166566124,0.03210189166566124
D-H,1518.5012200234698,1518.523243243243,-0.022023219773245728,0.022023219773245728
E-F,4628.978413517249,4628.53698630137,0.44142721587832057,0.44142721587832057
E-G,9395.488924258423,9395.0,0.4889242584231397,0.4889242584231397
E-H,9534.657900407903,9534.359999999999,0.29790040790430794,0.29790040790430794
F-G,5508.210063600619,5508.452488687783,-0.24242508716451994,0.24242508716451994
F-H,5943.06355004749,5943.632711621234,-0.569161573744168,0.569161573744168
G-H,8486.82765254649,8486.532224532224,0.2954280142657808,0.2954280142657808
