row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L1:I0:T6,simulate_imu_prior,0.5663910989969736,,,,
R2:L1:I0:T6,cpu_golden,17.96206767100375,,,,
R2:L1:I0:T6,torch_gpu,1.9727732320025098,0,1,1.9727732320025098,1.9727732320025098
R2:L1:I0:T8,simulate_imu_prior,0.5365077699971152,,,,
R2:L1:I0:T8,cpu_golden,18.812825415996485,,,,
R2:L1:I0:T8,torch_gpu,1.9712799190019723,0,1,1.9712799190019723,1.9712799190019723
R2:L1:I1:T6,simulate_imu_prior,0.5482553030014969,,,,
R2:L1:I1:T6,cpu_golden,18.302716071993927,,,,
R2:L1:I1:T6,torch_gpu,1.9420175749983173,0,1,1.9420175749983173,1.9420175749983173
R2:L1:I1:T8,simulate_imu_prior,0.5546337939886143,,,,
R2:L1:I1:T8,cpu_golden,19.066408013997716,,,,
R2:L1:I1:T8,torch_gpu,1.9847768759937026,0,1,1.9847768759937026,1.9847768759937026
