sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
62514,,BSDC91,,cal_roto,5,success,100,4,4,105,140,0
62515,,BSDC91,,cal_roto,5,success,100,4,4,52,71,0
62516,,BSDC91,,cal_roto,5,success,100,4,4,32,42,0
62517,,BSDC91,,cal_roto,5,success,100,4,4,125,150,0
62518,,BSDC91,,cal_roto,5,success,100,4,4,79,117,0
62519,,BSDC91,,cal_roto,5,success,100,4,4,84,114,0
62520,,BSDC91,,cal_roto,5,success,100,4,4,3,3,0
62521,,BSDC91,,cal_roto,5,success,100,4,4,92,113,0
62522,,BSDC91,,cal_roto,5,success,100,4,4,67,75,0
62523,,BSDC91,,cal_roto,5,success,100,4,4,111,141,0
62524,,BSDC91,,cal_roto,5,success,100,4,4,73,99,0
62525,,BSDC91,,cal_roto,5,success,100,4,4,53,82,0
62526,,BSDC91,,cal_roto,5,success,100,4,4,30,44,0
62527,,BSDC91,,cal_roto,5,success,100,4,4,56,91,0
62528,,BSDC91,,cal_roto,5,success,100,4,4,146,179,0
62529,,BSDC91,,cal_roto,5,success,100,4,4,248,347,0
62530,,BSDC91,,cal_roto,5,success,100,4,4,260,323,0
62531,,BSDC91,,cal_roto,5,success,100,4,4,80,102,0
62532,,BSDC91,,cal_roto,5,success,100,4,4,3,3,0
62533,,BSDC91,,cal_roto,5,success,100,4,4,72,82,0
62534,,BSDC91,,cal_roto,5,success,100,4,4,27,33,0
62535,,BSDC91,,cal_roto,5,success,100,4,4,78,93,0
62536,,BSDC91,,cal_roto,5,success,100,4,4,83,103,0
62537,,BSDC91,,cal_roto,5,success,100,4,4,94,123,0
62538,,BSDC91,,cal_roto,5,success,100,4,4,67,85,0
62539,,BSDC91,,cal_roto,5,success,100,4,4,25,31,0
62540,,BSDC91,,cal_roto,5,success,100,4,4,77,93,0
62541,,BSDC91,,cal_roto,5,success,100,4,4,133,188,0
62542,,BSDC91,,cal_roto,5,success,100,4,4,121,175,0
62543,,BSDC91,,cal_roto,5,success,100,4,4,90,124,0
62544,,BSDC91,,cal_roto,5,success,100,4,4,47,72,0
62545,,BSDC91,,cal_roto,5,success,100,4,4,42,66,0
62546,,BSDC91,,cal_roto,5,success,100,4,4,12,18,0
62547,,BSDC91,,cal_roto,5,success,100,4,4,54,88,0
62548,,BSDC91,,cal_roto,5,success,100,4,4,117,148,0
62549,,BSDC91,,cal_roto,5,success,100,4,4,204,322,0
62550,,BSDC91,,cal_roto,5,success,100,4,4,179,197,0
62551,,BSDC91,,cal_roto,5,success,100,4,4,123,130,0
62552,,BSDC91,,cal_roto,5,success,100,4,4,76,79,0
62553,,BSDC91,,cal_roto,5,success,100,4,4,90,98,0
62554,,BSDC91,,cal_roto,5,success,100,4,4,33,39,0
62555,,BSDC91,,cal_roto,5,success,100,4,4,87,104,0
62556,,BSDC91,,cal_roto,5,success,100,4,4,3,5,0
62557,,BSDC91,,cal_roto,5,success,100,4,4,198,268,0
62558,,BSDC91,,cal_roto,5,success,100,4,4,21,28,0
62559,,BSDC91,,cal_roto,5,success,100,4,4,13,16,0
62560,,BSDC91,,cal_roto,5,success,100,4,4,83,109,0
62561,,BSDC91,,cal_roto,5,success,100,4,4,77,110,0
62562,,BSDC91,,cal_roto,5,success,100,4,4,27,32,0
62563,,BSDC91,,cal_roto,5,success,100,4,4,106,144,0
62564,,BSDC91,,cal_roto,5,success,100,4,4,79,109,0
62565,,BSDC91,,cal_roto,5,success,100,4,4,91,137,0
62566,,BSDC91,,cal_roto,5,success,100,4,4,41,62,0
62567,,BSDC91,,cal_roto,5,success,100,4,4,62,99,0
62568,,BSDC91,,cal_roto,5,success,100,4,4,52,84,0
62569,,BSDC91,,cal_roto,5,success,100,4,4,201,262,0
62570,,BSDC91,,cal_roto,5,success,100,4,4,229,273,0
62571,,BSDC91,,cal_roto,5,success,100,4,4,188,210,0
62572,,BSDC91,,cal_roto,5,success,100,4,4,168,195,0
62573,,BSDC91,,cal_roto,5,success,100,4,4,65,68,0
62574,,BSDC91,,cal_roto,5,success,100,4,4,78,89,0
62575,,BSDC91,,cal_roto,5,success,100,4,4,96,132,0
62576,,BSDC91,,cal_roto,5,success,100,4,4,31,39,0
62577,,BSDC91,,cal_roto,5,success,100,4,4,32,44,0
62578,,BSDC91,,cal_roto,5,success,100,4,4,209,280,0
62579,,BSDC91,,cal_roto,5,success,100,4,4,99,124,0
62580,,BSDC91,,cal_roto,5,success,100,4,4,11,14,0
62581,,BSDC91,,cal_roto,5,success,100,4,4,4,5,0
62582,,BSDC91,,cal_roto,5,success,100,4,4,128,167,0
62583,,BSDC91,,cal_roto,5,success,100,4,4,60,82,0
62584,,BSDC91,,cal_roto,5,success,100,4,4,94,125,0
62585,,BSDC91,,cal_roto,5,success,100,4,4,74,105,0
62586,,BSDC91,,cal_roto,5,success,100,4,4,94,143,0
62587,,BSDC91,,cal_roto,5,success,100,4,4,40,56,0
62588,,BSDC91,,cal_roto,5,success,100,4,4,50,74,0
62589,,BSDC91,,cal_roto,5,success,100,4,4,99,159,0
62590,,BSDC91,,cal_roto,5,success,100,4,4,125,158,0
62591,,BSDC91,,cal_roto,5,success,100,4,4,152,206,0
62592,,BSDC91,,cal_roto,5,success,100,4,4,183,206,0
62593,,BSDC91,,cal_roto,5,success,100,4,4,152,163,0
62594,,BSDC91,,cal_roto,5,success,100,4,4,53,59,0
62595,,BSDC91,,cal_roto,5,success,100,4,4,102,111,0
62596,,BSDC91,,cal_roto,5,success,100,4,4,45,55,0
62597,,BSDC91,,cal_roto,5,success,100,4,4,73,90,0
62598,,BSDC91,,cal_roto,5,success,100,4,4,241,320,0
62599,,BSDC91,,cal_roto,5,success,100,4,4,157,200,0
62600,,BSDC91,,cal_roto,5,success,100,4,4,70,92,0
62601,,BSDC91,,cal_roto,5,success,100,4,4,44,58,0
62602,,BSDC91,,cal_roto,5,success,100,4,4,92,120,0
62603,,BSDC91,,cal_roto,5,success,100,4,4,116,156,0
62604,,BSDC91,,cal_roto,5,success,100,4,4,58,70,0
62605,,BSDC91,,cal_roto,5,success,100,4,4,86,109,0
62606,,BSDC91,,cal_roto,5,success,100,4,4,46,65,0
62607,,BSDC91,,cal_roto,5,success,100,4,4,86,125,0
62608,,BSDC91,,cal_roto,5,success,100,4,4,46,65,0
62609,,BSDC91,,cal_roto,5,success,100,4,4,13,20,0
62610,,BSDC91,,cal_roto,5,success,100,4,4,55,90,0
62611,,BSDC91,,cal_roto,5,success,100,4,4,39,47,0
62612,,BSDC91,,cal_roto,5,success,100,4,4,159,250,0
62613,,BSDC91,,cal_roto,5,success,100,4,4,178,190,0
62614,,BSDC91,,cal_roto,5,success,100,4,4,62,79,0
62615,,BSDC91,,cal_roto,5,success,100,4,4,29,32,0
62616,,BSDC91,,cal_roto,5,success,100,4,4,65,73,0
62617,,BSDC91,,cal_roto,5,success,100,4,4,31,40,0
62618,,BSDC91,,cal_roto,5,success,100,4,4,99,113,0
62619,,BSDC91,,cal_roto,5,success,100,4,4,189,240,0
62620,,BSDC91,,cal_roto,5,success,100,4,4,150,185,0
62621,,BSDC91,,cal_roto,5,success,100,4,4,78,108,0
62622,,BSDC91,,cal_roto,5,success,100,4,4,5,6,0
62623,,BSDC91,,cal_roto,5,success,100,4,4,113,142,0
62624,,BSDC91,,cal_roto,5,success,100,4,4,84,121,0
62625,,BSDC91,,cal_roto,5,success,100,4,4,99,138,0
62626,,BSDC91,,cal_roto,5,success,100,4,4,129,182,0
62627,,BSDC91,,cal_roto,5,success,100,4,4,64,92,0
62628,,BSDC91,,cal_roto,5,success,100,4,4,66,102,0
62629,,BSDC91,,cal_roto,5,success,100,4,4,24,38,0
62630,,BSDC91,,cal_roto,5,success,100,4,4,7,11,0
62631,,BSDC91,,cal_roto,5,success,100,4,4,29,44,0
62632,,BSDC91,,cal_roto,5,success,100,4,4,126,164,0
62633,,BSDC91,,cal_roto,5,success,100,4,4,229,295,0
62634,,BSDC91,,cal_roto,5,success,100,4,4,113,132,0
62635,,BSDC91,,cal_roto,5,success,100,4,4,40,41,0
62636,,BSDC91,,cal_roto,5,success,100,4,4,47,54,0
62637,,BSDC91,,cal_roto,5,success,100,4,4,68,97,0
62638,,BSDC91,,cal_roto,5,success,100,4,4,73,84,0
62639,,BSDC91,,cal_roto,5,success,100,4,4,15,20,0
62640,,BSDC91,,cal_roto,5,success,100,4,4,144,190,0
62641,,BSDC91,,cal_roto,5,success,100,4,4,35,52,0
62642,,BSDC91,,cal_roto,5,success,100,4,4,63,78,0
62643,,BSDC91,,cal_roto,5,success,100,4,4,80,106,0
62644,,BSDC91,,cal_roto,5,success,100,4,4,86,122,0
62645,,BSDC91,,cal_roto,5,success,100,4,4,53,57,0
62646,,BSDC91,,cal_roto,5,success,100,4,4,113,150,0
62647,,BSDC91,,cal_roto,5,success,100,4,4,56,79,0
62648,,BSDC91,,cal_roto,5,success,100,4,4,74,108,0
62649,,BSDC91,,cal_roto,5,success,100,4,4,73,112,0
62650,,BSDC91,,cal_roto,5,success,100,4,4,40,63,0
62651,,BSDC91,,cal_roto,5,success,100,4,4,64,102,0
62652,,BSDC91,,cal_roto,5,success,100,4,4,75,89,0
62653,,BSDC91,,cal_roto,5,success,100,4,4,146,183,0
62654,,BSDC91,,cal_roto,5,success,100,4,4,124,144,0
62655,,BSDC91,,cal_roto,5,success,100,4,4,29,30,0
62656,,BSDC91,,cal_roto,5,success,100,4,4,74,85,0
62657,,BSDC91,,cal_roto,5,success,100,4,4,60,85,0
62658,,BSDC91,,cal_roto,5,success,100,4,4,50,71,0
62659,,BSDC91,,cal_roto,5,success,100,4,4,30,40,0
62660,,BSDC91,,cal_roto,5,success,100,4,4,117,142,0
62661,,BSDC91,,cal_roto,5,success,100,4,4,27,40,0
62662,,BSDC91,,cal_roto,5,success,100,4,4,46,57,0
62663,,BSDC91,,cal_roto,5,success,100,4,4,124,178,0
62664,,BSDC91,,cal_roto,5,success,100,4,4,94,121,0
62665,,BSDC91,,cal_roto,5,success,100,4,4,31,33,0
62666,,BSDC91,,cal_roto,5,success,100,4,4,90,128,0
62667,,BSDC91,,cal_roto,5,success,100,4,4,68,98,0
62668,,BSDC91,,cal_roto,5,success,100,4,4,74,105,0
62669,,BSDC91,,cal_roto,5,success,100,4,4,11,17,0
62670,,BSDC91,,cal_roto,5,success,100,4,4,44,72,0
62671,,BSDC91,,cal_roto,5,success,100,4,4,39,46,0
62672,,BSDC91,,cal_roto,5,success,100,4,4,215,319,0
62673,,BSDC91,,cal_roto,5,success,100,4,4,154,169,0
62674,,BSDC91,,cal_roto,5,success,100,4,4,116,128,0
62675,,BSDC91,,cal_roto,5,success,100,4,4,35,39,0
62676,,BSDC91,,cal_roto,5,success,100,4,4,102,114,0
62677,,BSDC91,,cal_roto,5,success,100,4,4,33,41,0
62678,,BSDC91,,cal_roto,5,success,100,4,4,59,75,0
62679,,BSDC91,,cal_roto,5,success,100,4,4,19,26,0
62680,,BSDC91,,cal_roto,5,success,100,4,4,198,269,0
62681,,BSDC91,,cal_roto,5,success,100,4,4,57,71,0
62682,,BSDC91,,cal_roto,5,success,100,4,4,12,15,0
62683,,BSDC91,,cal_roto,5,success,100,4,4,117,152,0
62684,,BSDC91,,cal_roto,5,success,100,4,4,90,127,0
62685,,BSDC91,,cal_roto,5,success,100,4,4,58,63,0
62686,,BSDC91,,cal_roto,5,success,100,4,4,98,123,0
62687,,BSDC91,,cal_roto,5,success,100,4,4,55,76,0
62688,,BSDC91,,cal_roto,5,success,100,4,4,81,125,0
62689,,BSDC91,,cal_roto,5,success,100,4,4,64,99,0
62690,,BSDC91,,cal_roto,5,success,100,4,4,61,95,0
62691,,BSDC91,,cal_roto,5,success,100,4,4,23,36,0
62692,,BSDC91,,cal_roto,5,success,100,4,4,231,371,0
62693,,BSDC91,,cal_roto,5,success,100,4,4,208,230,0
62694,,BSDC91,,cal_roto,5,success,100,4,4,221,275,0
62695,,BSDC91,,cal_roto,5,success,100,4,4,92,111,0
62696,,BSDC91,,cal_roto,5,success,100,4,4,39,45,0
62697,,BSDC91,,cal_roto,5,success,100,4,4,99,127,0
62698,,BSDC91,,cal_roto,5,success,100,4,4,32,38,0
62699,,BSDC91,,cal_roto,5,success,100,4,4,68,90,0
62700,,BSDC91,,cal_roto,5,success,100,4,4,106,127,0
62701,,BSDC91,,cal_roto,5,success,100,4,4,109,139,0
62702,,BSDC91,,cal_roto,5,success,100,4,4,118,158,0
62703,,BSDC91,,cal_roto,5,success,100,4,4,88,115,0
62704,,BSDC91,,cal_roto,5,success,100,4,4,89,103,0
62705,,BSDC91,,cal_roto,5,success,100,4,4,126,181,0
62706,,BSDC91,,cal_roto,5,success,100,4,4,92,110,0
62707,,BSDC91,,cal_roto,5,success,100,4,4,105,138,0
62708,,BSDC91,,cal_roto,5,success,100,4,4,64,90,0
62709,,BSDC91,,cal_roto,5,success,100,4,4,100,150,0
62710,,BSDC91,,cal_roto,5,success,100,4,4,52,80,0
62711,,BSDC91,,cal_roto,5,success,100,4,4,28,43,0
62712,,BSDC91,,cal_roto,5,success,100,4,4,62,97,0
62713,,BSDC91,,cal_roto,5,success,100,4,4,76,93,0
62714,,BSDC91,,cal_roto,5,success,100,4,4,155,243,0
62715,,BSDC91,,cal_roto,5,success,100,4,4,222,272,0
62716,,BSDC91,,cal_roto,5,success,100,4,4,102,105,0
62717,,BSDC91,,cal_roto,5,success,100,4,4,49,54,0
62718,,BSDC91,,cal_roto,5,success,100,4,4,55,62,0
62719,,BSDC91,,cal_roto,5,success,100,4,4,67,88,0
62720,,BSDC91,,cal_roto,5,success,100,4,4,2,4,0
62721,,BSDC91,,cal_roto,5,success,100,4,4,4,5,0
62722,,BSDC91,,cal_roto,5,success,100,4,4,169,223,0
62723,,BSDC91,,cal_roto,5,success,100,4,4,42,53,0
62724,,BSDC91,,cal_roto,5,success,100,4,4,33,43,0
62725,,BSDC91,,cal_roto,5,success,100,4,4,13,15,0
62726,,BSDC91,,cal_roto,5,success,100,4,4,105,152,0
62727,,BSDC91,,cal_roto,5,success,100,4,4,77,95,0
62728,,BSDC91,,cal_roto,5,success,100,4,4,142,206,0
62729,,BSDC91,,cal_roto,5,success,100,4,4,58,87,0
62730,,BSDC91,,cal_roto,5,success,100,4,4,60,93,0
62731,,BSDC91,,cal_roto,5,success,100,4,4,35,57,0
62732,,BSDC91,,cal_roto,5,success,100,4,4,66,102,0
62733,,BSDC91,,cal_roto,5,success,100,4,4,244,277,0
62734,,BSDC91,,cal_roto,5,success,100,4,4,176,216,0
62735,,BSDC91,,cal_roto,5,success,100,4,4,149,174,0
62736,,BSDC91,,cal_roto,5,success,100,4,4,45,49,0
62737,,BSDC91,,cal_roto,5,success,100,4,4,82,89,0
62738,,BSDC91,,cal_roto,5,success,100,4,4,47,68,0
62739,,BSDC91,,cal_roto,5,success,100,4,4,56,77,0
62740,,BSDC91,,cal_roto,5,success,100,4,4,64,85,0
62741,,BSDC91,,cal_roto,5,success,100,4,4,168,219,0
62742,,BSDC91,,cal_roto,5,success,100,4,4,17,26,0
62743,,BSDC91,,cal_roto,5,success,100,4,4,22,27,0
62744,,BSDC91,,cal_roto,5,success,100,4,4,134,192,0
62745,,BSDC91,,cal_roto,5,success,100,4,4,88,116,0
62746,,BSDC91,,cal_roto,5,success,100,4,4,26,31,0
62747,,BSDC91,,cal_roto,5,success,100,4,4,100,146,0
62748,,BSDC91,,cal_roto,5,success,100,4,4,55,81,0
62749,,BSDC91,,cal_roto,5,success,100,4,4,53,81,0
62750,,BSDC91,,cal_roto,5,success,100,4,4,33,53,0
62751,,BSDC91,,cal_roto,5,success,100,4,4,29,44,0
62752,,BSDC91,,cal_roto,5,success,100,4,4,86,103,0
62753,,BSDC91,,cal_roto,5,success,100,4,4,112,131,0
62754,,BSDC91,,cal_roto,5,success,100,4,4,117,132,0
62755,,BSDC91,,cal_roto,5,success,100,4,4,4,4,0
62756,,BSDC91,,cal_roto,5,success,100,4,4,43,50,0
62757,,BSDC91,,cal_roto,5,success,100,4,4,68,85,0
62758,,BSDC91,,cal_roto,5,success,100,4,4,34,41,0
62759,,BSDC91,,cal_roto,5,success,100,4,4,59,76,0
62760,,BSDC91,,cal_roto,5,success,100,4,4,99,116,0
62761,,BSDC91,,cal_roto,5,success,100,4,4,94,136,0
62762,,BSDC91,,cal_roto,5,success,100,4,4,26,35,0
62763,,BSDC91,,cal_roto,5,success,100,4,4,6,8,0
62764,,BSDC91,,cal_roto,5,success,100,4,4,93,116,0
62765,,BSDC91,,cal_roto,5,success,100,4,4,98,115,0
62766,,BSDC91,,cal_roto,5,success,100,4,4,113,152,0
62767,,BSDC91,,cal_roto,5,success,100,4,4,75,100,0
62768,,BSDC91,,cal_roto,5,success,100,4,4,126,178,0
62769,,BSDC91,,cal_roto,5,success,100,4,4,58,87,0
62770,,BSDC91,,cal_roto,5,success,100,4,4,38,60,0
62771,,BSDC91,,cal_roto,5,success,100,4,4,45,72,0
62772,,BSDC91,,cal_roto,5,success,100,4,4,89,107,0
62773,,BSDC91,,cal_roto,5,success,100,4,4,148,176,0
62774,,BSDC91,,cal_roto,5,success,100,4,4,129,148,0
62775,,BSDC91,,cal_roto,5,success,100,4,4,10,11,0
62776,,BSDC91,,cal_roto,5,success,100,4,4,43,49,0
62777,,BSDC91,,cal_roto,5,success,100,4,4,121,171,0
62778,,BSDC91,,cal_roto,5,success,100,4,4,52,67,0
62779,,BSDC91,,cal_roto,5,success,100,4,4,72,97,0
