sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
61985,,BSDC91,,0,ok,3692,3692,100,3,0
61985,,BSDC91,,1,ok,2133,2133,100,3,0
61985,,BSDC91,,2,ok,2805,2805,100,3,0
61985,,BSDC91,,3,ok,3523,3523,100,3,0
61985,,BSDC91,,4,ok,2991,2991,66,2,1
61985,,BSDC91,,5,ok,1986,1986,100,3,0
61986,,BSDC91,,0,reject,2803,3692,75,3,1
61986,,BSDC91,,1,ok,2284,2284,100,4,0
61986,,BSDC91,,2,ok,3121,3121,100,4,0
61986,,BSDC91,,3,reject,4052,3523,75,3,1
61986,,BSDC91,,4,ok,2923,2923,75,3,1
61986,,BSDC91,,5,ok,2345,2345,100,4,0
61986,,BSDC91,,6,reject,3142,2527,75,3,1
61987,,BSDC91,,0,reject,2582,3692,60,3,2
61987,,BSDC91,,1,ok,2348,2348,100,5,0
61987,,BSDC91,,2,ok,3007,3007,100,5,0
61987,,BSDC91,,3,ok,3324,3324,80,4,1
61987,,BSDC91,,4,ok,2746,2746,80,4,1
61987,,BSDC91,,5,ok,2497,2497,100,5,0
61987,,BSDC91,,6,reject,3231,2527,60,3,2
61987,,BSDC91,,7,ok,3675,3675,100,5,0
61988,,BSDC91,,0,reject,2407,3692,50,3,3
61988,,BSDC91,,1,ok,2362,2362,100,6,0
61988,,BSDC91,,2,ok,3094,3094,100,6,0
61988,,BSDC91,,3,ok,3063,3063,83,5,1
61988,,BSDC91,,4,ok,2589,2589,83,5,1
61988,,BSDC91,,5,ok,2516,2516,100,6,0
61989,,BSDC91,,0,reject,2427,3692,42,3,4
61989,,BSDC91,,1,ok,2469,2469,100,7,0
61989,,BSDC91,,2,ok,3079,3079,100,7,0
61989,,BSDC91,,3,ok,2886,2886,85,6,1
61989,,BSDC91,,4,ok,2529,2529,85,6,1
61989,,BSDC91,,5,ok,2504,2504,100,7,0
61989,,BSDC91,,6,reject,3265,2527,42,3,4
61990,,BSDC91,,0,reject,2544,3692,37,3,5
61990,,BSDC91,,1,ok,2633,2633,100,8,0
61990,,BSDC91,,2,ok,3093,3093,100,8,0
61990,,BSDC91,,3,ok,2753,2753,87,7,1
61990,,BSDC91,,4,ok,2522,2522,87,7,1
61990,,BSDC91,,5,ok,2787,2787,100,8,0
61990,,BSDC91,,6,reject,3213,2527,37,3,5
61990,,BSDC91,,7,reject,2851,3675,62,5,3
61991,,BSDC91,,0,reject,2588,3692,33,3,6
61991,,BSDC91,,1,ok,2741,2741,100,9,0
61991,,BSDC91,,2,ok,2929,2929,100,9,0
61991,,BSDC91,,3,ok,2611,2611,88,8,1
61991,,BSDC91,,4,ok,2830,2830,88,8,1
61991,,BSDC91,,5,ok,2761,2761,100,9,0
61992,,BSDC91,,0,reject,2723,3692,30,3,7
61992,,BSDC91,,1,ok,2916,2916,100,10,0
61992,,BSDC91,,2,ok,3064,3064,100,10,0
61992,,BSDC91,,3,ok,2581,2581,90,9,1
61992,,BSDC91,,4,ok,2742,2742,90,9,1
