host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.230314,1777158551.533365,2325,,BSF66F,,0,ok,3280,3280,100,5,0
0.230314,1777158551.533365,2325,,BSF66F,,1,ok,2664,2664,100,5,0
0.230314,1777158551.533365,2325,,BSF66F,,2,ok,2434,2434,100,5,0
0.267538,1777158551.570588,60400,,BS2DCE,,0,ok,3042,3042,75,3,1
0.269851,1777158551.572902,60400,,BS2DCE,,1,ok,2974,2974,100,4,0
0.269851,1777158551.572902,60400,,BS2DCE,,2,ok,2911,2911,100,4,0
0.269851,1777158551.572902,60400,,BS2DCE,,3,ok,2934,2934,75,3,1
0.271875,1777158551.574926,60400,,BS2DCE,,4,ok,2863,2863,100,4,0
0.271875,1777158551.574926,60400,,BS2DCE,,5,ok,2866,2866,100,4,0
0.271875,1777158551.574926,60400,,BS2DCE,,6,ok,2555,2555,100,4,0
0.298769,1777158551.60182,63799,,BSDC91,,0,ok,2539,2539,100,3,0
0.298769,1777158551.60182,63799,,BSDC91,,1,ok,2174,2174,100,3,0
0.298769,1777158551.60182,63799,,BSDC91,,2,ok,3083,3083,100,3,0
0.350304,1777158551.653355,63799,,BSDC91,,3,ok,3343,3343,100,3,0
0.350304,1777158551.653355,63799,,BSDC91,,4,ok,2753,2753,100,3,0
0.350304,1777158551.653355,63799,,BSDC91,,5,ok,2531,2531,100,3,0
0.388093,1777158551.691144,2326,,BSF66F,,4,ok,3301,3301,100,6,0
0.388093,1777158551.691144,2326,,BSF66F,,5,ok,2479,2479,100,6,0
0.417625,1777158551.720676,60401,,BS2DCE,,0,reject,3921,3042,60,3,2
0.417625,1777158551.720676,60401,,BS2DCE,,1,reject,2167,2974,80,4,1
0.420377,1777158551.723428,60401,,BS2DCE,,2,ok,2885,2885,100,5,0
0.420377,1777158551.723428,60401,,BS2DCE,,3,reject,3499,2934,60,3,2
0.420377,1777158551.723428,60401,,BS2DCE,,4,ok,3143,3143,100,5,0
0.422802,1777158551.725853,60401,,BS2DCE,,5,reject,1977,2866,80,4,1
0.422802,1777158551.725853,60401,,BS2DCE,,6,ok,2597,2597,100,5,0
0.422802,1777158551.725853,60401,,BS2DCE,,7,reject,3520,2910,80,4,1
0.530091,1777158551.833141,63800,,BSDC91,,0,ok,2528,2528,100,4,0
0.532186,1777158551.835236,63800,,BSDC91,,1,reject,2801,2174,75,3,1
0.532186,1777158551.835236,63800,,BSDC91,,2,ok,3050,3050,100,4,0
0.532186,1777158551.835236,63800,,BSDC91,,3,reject,2637,3343,75,3,1
0.534204,1777158551.837255,63800,,BSDC91,,4,ok,2848,2848,100,4,0
0.534204,1777158551.837255,63800,,BSDC91,,5,ok,2748,2748,100,4,0
0.534204,1777158551.837255,63800,,BSDC91,,6,ok,3015,3015,100,4,0
0.567724,1777158551.870775,2327,,BSF66F,,0,ok,3202,3202,100,6,0
0.620425,1777158551.923475,2327,,BSF66F,,1,ok,2673,2673,100,6,0
0.620425,1777158551.923475,2327,,BSF66F,,2,ok,2422,2422,100,6,0
0.620425,1777158551.923475,2327,,BSF66F,,3,ok,3127,3127,100,6,0
0.627927,1777158551.930977,60402,,BS2DCE,,0,reject,3525,3042,50,3,3
0.627927,1777158551.930977,60402,,BS2DCE,,1,reject,2044,2974,66,4,2
0.627927,1777158551.930977,60402,,BS2DCE,,2,ok,2976,2976,100,6,0
0.629889,1777158551.932939,60402,,BS2DCE,,3,reject,3613,2934,50,3,3
0.629889,1777158551.932939,60402,,BS2DCE,,4,ok,3029,3029,100,6,0
0.629889,1777158551.932939,60402,,BS2DCE,,5,reject,1975,2866,66,4,2
0.740068,1777158552.043119,63801,,BSDC91,,0,ok,2694,2694,100,5,0
0.740068,1777158552.043119,63801,,BSDC91,,1,reject,2873,2174,60,3,2
0.742567,1777158552.045617,63801,,BSDC91,,2,ok,3030,3030,100,5,0
0.742567,1777158552.045617,63801,,BSDC91,,3,reject,2588,3343,60,3,2
0.742567,1777158552.045617,63801,,BSDC91,,4,ok,2805,2805,100,5,0
