host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
0.029326,1777158551.332377,2325,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.259711,1777158551.562761,2326,,BSF66F,,cal_static,4,success,100,4,4,9,11,0
0.409549,1777158551.712599,2327,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
0.642152,1777158551.945202,2328,,BSF66F,,cal_static,4,success,100,4,4,11,13,0
0.799522,1777158552.102573,2329,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.077132,1777158552.380183,2330,,BSF66F,,cal_static,4,success,100,4,4,8,10,0
1.207164,1777158552.510214,2331,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.467216,1777158552.770266,2332,,BSF66F,,cal_static,4,success,100,4,4,2,2,0
1.617029,1777158552.92008,2333,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
1.852243,1777158553.155294,2334,,BSF66F,,cal_static,4,success,100,4,4,509,758,0
2.007699,1777158553.310749,2335,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.214429,1777158553.51748,2336,,BSF66F,,cal_static,4,success,100,4,4,4,5,0
2.421985,1777158553.725036,2337,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.526939,1777158553.82999,60410,,BS2DCE,,cal_roto,5,success,94,4,4,67,78,0
2.644654,1777158553.947704,2338,,BSF66F,,cal_static,4,success,100,4,4,17,21,0
2.659909,1777158553.962959,60411,,BS2DCE,,cal_roto,5,success,94,4,4,201,239,0
2.802213,1777158554.105264,2339,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
2.884659,1777158554.187709,60412,,BS2DCE,,cal_roto,5,success,95,4,4,19,21,0
2.901779,1777158554.20483,63813,,BSDC91,,cal_roto,5,success,98,4,4,4,4,0
3.044394,1777158554.347445,60413,,BS2DCE,,cal_roto,5,success,95,4,4,14,17,0
3.059979,1777158554.36303,2340,,BSF66F,,cal_static,4,success,100,4,4,2343,3044,0
3.102081,1777158554.405131,63814,,BSDC91,,cal_roto,5,success,98,4,4,89,92,0
3.244925,1777158554.547976,60414,,BS2DCE,,cal_roto,5,success,95,4,4,3,4,0
