layout,method,N,X,Y,Z,3D,mean_subset_size
V1 (V1-avg fusion),huber,601,17.648041107633045,23.959721464896724,41.853272362978366,51.35385102503791,0.0
V1 (V1-avg fusion),l2,601,23.752275935060414,33.36079558027448,59.41413775494545,72.1606060049924,0.0
V1 (V1-avg fusion),qa,601,52.79080052270581,77.66052557207256,126.61531645797331,157.63712828426995,4.0
"V3-lite (MVUE, no delay)",huber,601,17.617932934956606,23.942484305668312,41.642660070766844,51.16390576761357,0.0
V3-full (MVUE + delay),huber,601,17.874228445963954,26.512417741390493,42.326580334918496,53.04654314732312,0.0
V3-full (MVUE + delay),l2,601,23.030739987833705,34.95331683888034,58.91961377509809,72.27496267610995,0.0
V3-full (MVUE + delay),qa,601,58.706267163961144,81.07449391075497,105.77676846528975,145.63043677120157,4.0
V4 inter-only,huber,601,18.759068217795864,27.070635227379597,44.31407205598623,55.212850987762835,0.0
V4 inter-only,qa,601,69.15612731767087,96.58319108129888,131.41518424648189,177.14636150810824,4.0
