experiment_id,kind,A,U,P,R,L,I,T,seed_count,trackmedian_err3d_p50_mm_mean,trackmedian_err3d_p50_mm_std,trackmedian_err3d_p50_mm_min,trackmedian_err3d_p50_mm_max,trackmedian_err3d_p95_mm_mean,trackmedian_err3d_p95_mm_std,trackmedian_err3d_p95_mm_min,trackmedian_err3d_p95_mm_max,legacy_deltaR_error_rms_mm_mean,legacy_deltaR_error_rms_mm_std,legacy_deltaR_error_rms_mm_min,legacy_deltaR_error_rms_mm_max,trackmedian_radius_error_abs_mm_mean,trackmedian_radius_error_abs_mm_std,trackmedian_radius_error_abs_mm_min,trackmedian_radius_error_abs_mm_max,screening_score_mean,screening_score_std,screening_score_min,screening_score_max,rank
X_A0_U4_P0_L2_I1_T2,position_fusion,A0,U4,P0,nan,L2,I1,T2,1,101.0544063817539,0.0,101.0544063817539,101.0544063817539,182.8534033285287,0.0,182.8534033285287,182.8534033285287,54.22669448902019,0.0,54.22669448902019,54.22669448902019,52.29845543839912,0.0,52.29845543839912,52.29845543839912,229.16101140825265,0.0,229.16101140825265,229.16101140825265,1
X_A0_U4_P2_L2_I1_T2,position_fusion,A0,U4,P2,nan,L2,I1,T2,1,100.25350127826428,0.0,100.25350127826428,100.25350127826428,174.57823480768246,0.0,174.57823480768246,174.57823480768246,80.8049996394605,0.0,80.8049996394605,80.8049996394605,42.69002802280326,0.0,42.69002802280326,42.69002802280326,239.26439721997713,0.0,239.26439721997713,239.26439721997713,2
X_A0_U4_P2_L2_I6_T2,position_fusion,A0,U4,P2,nan,L2,I6,T2,1,95.08781620492385,0.0,95.08781620492385,95.08781620492385,162.5868186838336,0.0,162.5868186838336,162.5868186838336,112.66818762054346,0.0,112.66818762054346,112.66818762054346,34.759771438285895,0.0,34.759771438285895,34.759771438285895,248.240819797789,0.0,248.240819797789,248.240819797789,3
X_A0_U4_P0_L2_I6_T2,position_fusion,A0,U4,P0,nan,L2,I6,T2,1,99.32137060476947,0.0,99.32137060476947,99.32137060476947,171.1842562243594,0.0,171.1842562243594,171.1842562243594,115.32364272135896,0.0,115.32364272135896,115.32364272135896,46.541655084237505,0.0,46.541655084237505,46.541655084237505,263.2332377303653,0.0,263.2332377303653,263.2332377303653,4
X_A0_U4_P2_L2_I2_T2,position_fusion,A0,U4,P2,nan,L2,I2,T2,1,100.10658744177549,0.0,100.10658744177549,100.10658744177549,172.77653389527404,0.0,172.77653389527404,172.77653389527404,119.8390223989772,0.0,119.8390223989772,119.8390223989772,42.99286173690055,0.0,42.99286173690055,42.99286173690055,265.9621208528557,0.0,265.9621208528557,265.9621208528557,5
X_A0_U4_P0_L2_I2_T2,position_fusion,A0,U4,P0,nan,L2,I2,T2,1,99.37455169488264,0.0,99.37455169488264,99.37455169488264,180.05110835547526,0.0,180.05110835547526,180.05110835547526,115.24410199524681,0.0,115.24410199524681,115.24410199524681,52.26437600489717,0.0,52.26437600489717,52.26437600489717,269.1954990184203,0.0,269.1954990184203,269.1954990184203,6
X_A0_U4_P0_L2_I0_T5,position_fusion,A0,U4,P0,nan,L2,I0,T5,1,104.24018226158302,0.0,104.24018226158302,104.24018226158302,227.25928817489975,0.0,227.25928817489975,227.25928817489975,84.64632706914045,0.0,84.64632706914045,84.64632706914045,59.397953695445665,0.0,59.397953695445665,59.397953695445665,272.7323389189191,0.0,272.7323389189191,272.7323389189191,7
B0_A0_U4_P0_T1,baseline,A0,U4,P0,nan,nan,nan,T1,1,105.83784720842489,0.0,105.83784720842489,105.83784720842489,231.80213799547772,0.0,231.80213799547772,231.80213799547772,80.07935390701411,0.0,80.07935390701411,80.07935390701411,59.73216676551942,0.0,59.73216676551942,59.73216676551942,272.8902266245117,0.0,272.8902266245117,272.8902266245117,8
X_A0_U4_P0_L2_I0_T3,position_fusion,A0,U4,P0,nan,L2,I0,T3,1,102.34166064270934,0.0,102.34166064270934,102.34166064270934,219.11556916725505,0.0,219.11556916725505,219.11556916725505,92.46870334639182,0.0,92.46870334639182,92.46870334639182,58.89989394890708,0.0,58.89989394890708,58.89989394890708,273.21014916817643,0.0,273.21014916817643,273.21014916817643,9
X_A0_U4_P0_L2_I2_T5,position_fusion,A0,U4,P0,nan,L2,I2,T5,1,100.7103802521271,0.0,100.7103802521271,100.7103802521271,213.6632029836968,0.0,213.6632029836968,213.6632029836968,104.11647081585782,0.0,104.11647081585782,104.11647081585782,58.22169988501207,0.0,58.22169988501207,58.22169988501207,277.4848808100275,0.0,277.4848808100275,277.4848808100275,10
