pose,samples,raw_rmse_g,corrected_rmse_g,corrected_median_residual_g,corrected_abs_p95_g,corrected_abs_p99_g,improved_or_equivalent,persistent_systematic_pass
1,6430,0.014658329488292517,0.0013845603545229283,-0.0011915759827838546,0.002186214602195924,0.002672196322363596,True,True
2,6430,0.007793327726279387,0.0014818313633043318,0.0011498196158763463,0.002581103366277926,0.003239663532926183,True,True
3,6430,0.004186802104335916,0.000785835167724599,0.0003435191496841128,0.0013643948537287454,0.0018553096094970911,True,True
4,6390,0.002541279471531627,0.0009385422054599026,0.00026700067994323007,0.00169934162577845,0.002228388121329458,True,True
5,6410,0.005110682663635241,0.001957388439028083,0.0004433593301891303,0.0019067270560322314,0.0038502639538340964,True,True
6,6440,0.0016709375256427617,0.0017497722877353778,0.00044650799131806806,0.0014353161163369599,0.0019176931092201865,True,True
