capture_id,tag,sector_deg,n_frames,median_3d,mean_signed_radial,worst_anchor
R01,BS2DCE,0,97,88.98340226207743,33.427795676646205,F
R01,BS2DCE,30,94,96.70360516083223,24.521767183083888,F
R01,BS2DCE,60,100,144.9834028820086,76.49317711149683,D
R01,BS2DCE,90,101,116.26126893323993,72.16593259041638,D
R01,BS2DCE,120,102,125.69076594441827,37.84377329164725,E
R01,BS2DCE,150,102,246.52271812266383,-57.00939504679229,C
R01,BS2DCE,180,98,68.83116517321979,9.004695255659065,H
R01,BS2DCE,210,104,154.94496133647974,14.946318167161415,H
R01,BS2DCE,240,100,88.81273579653347,41.01377853729192,B
R01,BS2DCE,270,100,97.90213711998611,53.349346053420504,D
R01,BS2DCE,300,103,203.91875924859806,32.10364892109438,B
R01,BS2DCE,330,100,112.4499738839123,-20.984058106170846,A
R01,BSDC91,0,103,109.9210085499256,40.95383885761298,F
R01,BSDC91,30,102,77.52910999559168,27.017818726614664,F
R01,BSDC91,60,98,139.64594712500204,101.12852422049771,D
R01,BSDC91,90,99,103.95976881878875,71.6015064838104,H
R01,BSDC91,120,105,118.42708367357184,65.7028955516798,E
R01,BSDC91,150,101,135.88242414420412,9.149389067405277,C
R01,BSDC91,180,94,89.06252547915412,16.83115649312438,G
R01,BSDC91,210,95,84.2443621386839,8.444379014176047,B
R01,BSDC91,240,105,72.03711562210644,14.256293040471865,B
R01,BSDC91,270,96,81.33918623382378,1.957911868710547,H
R01,BSDC91,300,105,188.81473540693437,68.62204068774034,D
R01,BSDC91,330,97,93.5358865196166,26.463512984028046,E
R02,BS2DCE,0,80,96.91621076312612,7.3735977733166775,F
R02,BS2DCE,30,94,99.26298282566577,2.1022638479027833,F
R02,BS2DCE,60,105,147.51573224510943,36.92750289024286,A
R02,BS2DCE,90,109,107.69435833425608,66.6430588926294,F
R02,BS2DCE,120,107,158.84491428718243,115.69927951007472,B
R02,BS2DCE,150,110,126.13031796940817,9.075329018304286,C
R02,BS2DCE,180,110,76.52588980761296,0.4785569747849019,A
R02,BS2DCE,210,109,116.84907250281594,15.601776134299543,B
R02,BS2DCE,240,108,119.6967597614179,54.6002831312493,G
R02,BS2DCE,270,98,110.38775557867363,51.39661939756345,G
