mechanistic_config,extended_mechanism_ablation,config,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input,distance_to_array_centroid_mm,d_tag_mm,static_id
V4_CV4,True,V4_CV4,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-467.5040177384352,106.69463779091565,-357.85438340283764,-542.215344349341,182.54280058407934,-383.3240609304319,74.71132661090576,-75.8481627931637,25.469677527594285,109.46885674208595,78.93343269693189,75.8481627931637,reconstructed_from_relabelled_balls,True,56.64144753568879,99.05750193442167,79.55351407088965,163.03200681885073,8.0,8.0,91.75686927560366,889.8367413746068,49.621,ID01
V4_CV4,True,V4_CV4,T4,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,1201,1201,1.0,mean,-522.1683975591635,1066.7147052964797,-218.36853905297664,-543.22998,1105.589,-259.92136,21.061582440836446,-38.87429470352026,41.55282094702335,60.67485453022262,46.585697199543254,38.87429470352026,motive_iantenna,False,68.31531454448906,118.81868488976612,60.32048276325378,107.41310787296624,8.0,8.0,95.67027477102414,461.6346339824702,49.621,ID02
V4_CV4,True,V4_CV4,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-549.1478291648666,1723.0334184829037,-256.95620554011583,-554.00287,1625.5614500000001,-256.2951,4.855040835133423,97.47196848290355,-0.661105540115841,97.59504660574802,4.89984510428492,97.47196848290355,motive_iantenna,False,73.27193369001833,171.80798831218578,135.85560133847562,180.05849865956057,8.0,8.0,92.2564529558701,813.3092827400905,49.621,ID03
V4_CV4,True,V4_CV4,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,mean,-257.8521760930726,27.28844595152564,486.7883174253348,-321.178815,182.16379,479.93381999999997,63.32663890692737,-154.87534404847437,6.854497425334841,167.4622928433013,63.6965252600351,154.87534404847437,motive_iantenna,False,59.26556623144242,141.74149223838845,72.26682443165917,105.86296331217743,8.0,8.0,93.83846794338052,1047.8906733259494,49.621,ID04
V4_CV4,True,V4_CV4,T4,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,1200,1200,1.0,mean,-172.81217883302327,1109.44968098639,499.7391220542707,-184.9818897969324,1103.5866165595767,473.70402893394925,12.169710963909125,5.863064426813253,26.03509312032145,29.330930145528324,28.738962032907505,5.863064426813253,reconstructed_from_relabelled_balls,True,62.19167548563694,110.60980138222446,139.70591338994475,194.68995110769876,8.0,8.0,91.5,705.9514108073571,49.621,ID05
V4_CV4,True,V4_CV4,T4,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,1201,1201,1.0,mean,-178.34446842363676,1727.6310477144211,470.3541404811096,-193.231255,1684.95255,476.52297999999996,14.88678657636325,42.678497714421155,-6.1688395188903655,45.619350748776164,16.11431027317063,42.678497714421155,motive_iantenna,False,66.26724109551319,125.84746310938628,78.4555329692893,151.68377280695037,8.0,8.0,92.83930058284763,1013.9317064581626,49.621,ID06
V4_CV4,True,V4_CV4,T4,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,1201,1201,1.0,mean,305.24185403108464,111.23546340260907,51.286797427715406,352.14755,211.565355,53.795866000000004,-46.90569596891538,-100.32989159739094,-2.5090685722845976,110.78143746753321,46.9727552888773,100.32989159739094,motive_iantenna,False,74.3414629315634,143.2923953046529,97.12335784893641,185.9951389181539,8.0,8.0,90.84096586178185,906.6934696461826,49.621,ID07
V4_CV4,True,V4_CV4,T4,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,1201,1201,1.0,mean,419.47841691431694,1213.3349104242673,-114.94372436273068,391.90054,1132.2804,-71.53192899999999,27.57787691431696,81.05451042426716,-43.411795362730686,95.99456719957884,51.43076192043845,81.05451042426716,motive_iantenna,False,66.01212227207468,115.68145336225184,116.04106889004062,147.9459280101184,8.0,8.0,90.25811823480433,557.6228692802323,49.621,ID08
V4_CV4,True,V4_CV4,T4,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,1201,1201,1.0,mean,450.85648865819786,1497.28537693258,-52.81463649670629,408.80994,1568.1853500000002,-62.425788499999996,42.04654865819788,-70.8999730674202,9.611152003293704,82.98850931217845,43.1310386716645,70.8999730674202,motive_iantenna,False,64.58407378678925,122.10282996296431,120.98322163319247,190.95391828264928,8.0,8.0,93.42214820982515,828.1828777899989,49.621,ID09
V4_CV4,True,V4_CV4,T4,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,1201,1201,1.0,mean,80.43289654042043,206.92224583570513,-966.3337262888642,65.499245,238.64973,-938.19342,14.933651540420428,-31.72748416429488,-28.14030628886428,44.961361609245984,31.857350586038947,31.72748416429488,motive_iantenna,False,42.03572686808198,77.95002945875454,55.8159178641293,121.02906608176288,8.0,8.0,90.75770191507078,1028.888366883956,49.621,ID10
