source,median_3d_mm,delta_vs_transfer_baseline_mm
FULL_V5_static_per_position,67.84873089032392,0.0
Transfer_LV5_CV5_DLOO,67.84873089032392,0.0
Final_static_comparison,67.84873089032392,0.0
