case,extended_mechanism_ablation,config,tag_method,ID,capture,location,height,facing,frames_input,frames_solved,solve_fraction,point_estimator,solved_x_mm,solved_y_vertical_mm,solved_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_xz_mm,err_vertical_y_mm,tag_truth_source,tag_truth_corrected,d3_std_mm,d3_p95_mm,residual_rms_median_mm,residual_rms_p95_mm,anchors_input_median,anchors_used_median,pct_frames_ge8_anchors_input,distance_to_array_centroid_mm,d_tag_mm,static_id
V5_CV5,True,V5_CV5,T4,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,1201,1201,1.0,mean,-471.71562876332183,48.76340342028814,-331.7416681117793,-542.215344349341,182.54280058407934,-383.3240609304319,70.49971558601914,-133.7793971637912,51.582392818652636,159.77446683408073,87.35532695037766,133.7793971637912,reconstructed_from_relabelled_balls,True,53.69379818954803,92.59010826161382,87.34445110545138,166.67635984773963,8.0,8.0,91.75686927560366,889.8367413746068,49.621,ID01
V5_CV5,True,V5_CV5,T4,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,1201,1201,1.0,mean,-521.3692361053163,1057.8573070301309,-224.66494996076645,-543.22998,1105.589,-259.92136,21.86074389468365,-47.73169296986907,35.25641003923354,63.23939504971062,41.48381096866001,47.73169296986907,motive_iantenna,False,68.79580592436962,122.09118092809715,64.32132755912546,119.16723962127766,8.0,8.0,95.67027477102414,461.6346339824702,49.621,ID02
V5_CV5,True,V5_CV5,T4,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,1201,1201,1.0,mean,-558.2660213436502,1714.8029136117311,-257.3696781725722,-554.00287,1625.5614500000001,-256.2951,-4.263151343650179,89.24146361173098,-1.0745781725722168,89.34969504811832,4.396496062529224,89.24146361173098,motive_iantenna,False,78.84227705514905,201.50323119064137,153.74387470666034,191.0497955690538,8.0,8.0,92.2564529558701,813.3092827400905,49.621,ID03
V5_CV5,True,V5_CV5,T4,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,1201,1201,1.0,mean,-276.08640593041486,37.47231246720482,516.190899434258,-321.178815,182.16379,479.93381999999997,45.09240906958513,-144.69147753279518,36.257079434258,155.83171960619657,57.86105049859446,144.69147753279518,motive_iantenna,False,69.81532679169665,172.4003837003754,84.41804722493697,119.69704587137316,8.0,8.0,93.83846794338052,1047.8906733259494,49.621,ID04
V5_CV5,True,V5_CV5,T4,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,1200,1200,1.0,mean,-179.96930141812038,1086.2274278198859,502.4046010196146,-184.9818897969324,1103.5866165595767,473.70402893394925,5.012588378812012,-17.359188739690808,28.70057208566533,33.91445582638886,29.135011245919795,17.359188739690808,reconstructed_from_relabelled_balls,True,55.703051509692735,95.62656904209618,148.82884937499315,207.31289863894412,8.0,8.0,91.5,705.9514108073571,49.621,ID05
V5_CV5,True,V5_CV5,T4,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,1201,1201,1.0,mean,-174.2277466812446,1810.8155964247596,473.0262886882792,-193.231255,1684.95255,476.52297999999996,19.003508318755394,125.86304642475966,-3.496691311720781,127.33760887448639,19.32253033508989,125.86304642475966,motive_iantenna,False,57.96820921649587,112.06613529280497,74.67543809212215,145.74843492826764,8.0,8.0,92.83930058284763,1013.9317064581626,49.621,ID06
V5_CV5,True,V5_CV5,T4,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,1201,1201,1.0,mean,296.5386860630502,81.81808323868476,56.31494640832963,352.14755,211.565355,53.795866000000004,-55.60886393694983,-129.74727176131523,2.5190804083296285,141.18443980823955,55.66589184107113,129.74727176131523,motive_iantenna,False,80.47819454318916,142.28574925558837,106.13653315617444,185.8678088902599,8.0,8.0,90.84096586178185,906.6934696461826,49.621,ID07
V5_CV5,True,V5_CV5,T4,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,1201,1201,1.0,mean,438.7174334776292,1196.3563429191267,-109.68807416218604,391.90054,1132.2804,-71.53192899999999,46.81689347762921,64.07594291912665,-38.15614516218605,88.05361656121042,60.39629896387273,64.07594291912665,motive_iantenna,False,79.58655434887822,140.90724049046867,111.17498660872526,149.54857361256515,8.0,8.0,90.25811823480433,557.6228692802323,49.621,ID08
V5_CV5,True,V5_CV5,T4,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,1201,1201,1.0,mean,447.2957681141839,1516.3817381586823,-47.46149506942409,408.80994,1568.1853500000002,-62.425788499999996,38.4858281141839,-51.80361184131789,14.964293430575907,66.24728857332062,41.29272385676301,51.80361184131789,motive_iantenna,False,62.671282421552085,103.14376661352789,129.90617485938364,200.57348546685594,8.0,8.0,93.42214820982515,828.1828777899989,49.621,ID09
V5_CV5,True,V5_CV5,T4,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,1201,1201,1.0,mean,70.43289161960662,174.4972057630383,-951.863952722565,65.499245,238.64973,-938.19342,4.93364661960662,-64.15252423696171,-13.670532722565099,65.77819319394413,14.533558885760879,64.15252423696171,motive_iantenna,False,42.360398945184116,78.62890726367809,62.63230549639162,124.05383700592485,8.0,8.0,90.75770191507078,1028.888366883956,49.621,ID10
