capture_id,method,tag,median_3d,rmse
R01,unconstrained,BS2DCE,115.44534451004851,217.9067580105213
R01,unconstrained,BSDC91,103.39533746217097,143.98620346549302
R02,unconstrained,BS2DCE,112.53706711816928,158.32846018463272
R02,unconstrained,BSDC91,114.90294202078502,135.59518913447494
R03,unconstrained,BS2DCE,123.4502998892088,148.44401429420296
R03,unconstrained,BSDC91,96.14907104811698,113.67770999967853
R04,unconstrained,BS2DCE,109.2499298699372,145.58942600115685
R04,unconstrained,BSDC91,97.87197527217717,119.65149779618739
R05,unconstrained,BS2DCE,113.10670621206464,155.970234867611
R05,unconstrained,BSDC91,96.3561413716278,107.70280012395605
R06,unconstrained,BS2DCE,118.99754123195903,142.18466723693052
R06,unconstrained,BSDC91,98.0545859773966,114.58697312454491
R07,unconstrained,BS2DCE,106.75507099221241,135.52128199711302
R07,unconstrained,BSDC91,94.42415460911526,105.69139660505824
R08,unconstrained,BS2DCE,103.35969119592542,138.28928921590273
R08,unconstrained,BSDC91,80.45742944154446,95.57834038305563
R09,unconstrained,BS2DCE,108.89113909169382,161.889246451709
R09,unconstrained,BSDC91,105.91902990914468,122.35710134324985
R10,unconstrained,BS2DCE,103.13226199559631,131.15006760261744
R10,unconstrained,BSDC91,86.21514489524509,103.1262547977764
R11,unconstrained,BS2DCE,100.77603022358817,130.65932414213097
R11,unconstrained,BSDC91,89.45874676063532,104.74568693749372
R12,unconstrained,BS2DCE,107.61999774087309,128.24475164342124
R12,unconstrained,BSDC91,93.61505811718408,107.16050893807557
R13,unconstrained,BS2DCE,88.27729581991042,116.35547619879891
R13,unconstrained,BSDC91,88.13247480663642,105.26902222768888
R14,unconstrained,BS2DCE,98.76771983859987,126.87103879983891
R14,unconstrained,BSDC91,83.01035292475267,100.34426898794231
R15,unconstrained,BS2DCE,103.81734316198404,125.58125656909965
R15,unconstrained,BSDC91,99.88448347702729,111.1678084263271
R16,unconstrained,BS2DCE,109.15748438504028,135.48615468446468
R16,unconstrained,BSDC91,96.99626394077777,111.28308570446383
R17,unconstrained,BS2DCE,102.19352456947642,134.90788892982135
R17,unconstrained,BSDC91,88.22185214101268,105.89962922077052
