position_id,error_3d,gdop,n_good_anchors,n_bad_anchors,height,height_tier,dist_centroid,elev_diversity,dtag_loo_fold_residual,truth_x_mm,truth_z_mm
ID01,159.77446683408073,1.133007500445233,3,1,182.54280058407932,LOW,889.8367413746068,19.16125894573951,1.2176271991999315,-542.215344349341,-383.3240609304319
ID02,63.23939504971062,1.226362205665891,6,1,1105.589,MID,461.6346339824702,21.746277399922363,-17.17753471722144,-543.22998,-259.92136
ID03,89.34969504811832,1.1515116298014283,5,2,1625.56145,HIGH,813.3092827400905,19.3288854761996,-10.297312818618316,-554.00287,-256.2951
ID04,155.83171960619657,1.1114332712920114,5,2,182.16379,LOW,1047.8906733259494,20.164764734474982,37.529504259796575,-321.178815,479.93382
ID05,33.91445582638886,1.179743626470939,6,1,1103.586616559577,MID,705.9514108073571,23.292041221368567,27.502712236234125,-184.9818897969324,473.7040289339493
ID06,127.3376088744864,1.1160472927199894,4,2,1684.95255,HIGH,1013.9317064581626,20.059968469367373,45.07404381601847,-193.231255,476.52298
ID07,141.18443980823957,1.143286893234829,3,2,211.565355,LOW,906.6934696461826,19.345011560658257,1.5585263444771726,352.14755,53.795866
ID08,88.05361656121042,1.2190873426763371,4,1,1132.2804,MID,557.6228692802323,21.937595309973076,2.1503606625921563,391.90054,-71.53192899999999
ID09,66.24728857332062,1.1642291927938422,2,2,1568.1853500000002,HIGH,828.1828777899989,20.03317625462444,-18.54779393151682,408.80994,-62.4257885
ID10,65.77819319394413,1.1192658829249151,7,1,238.64973,LOW,1028.888366883956,20.69401081695732,12.810806830552735,65.499245,-938.19342
ID11,33.756755324112426,1.1763716869461711,5,0,1133.4998500000002,MID,772.412567618685,23.316428809256895,36.44747460947266,-63.9057945,-956.990295
ID12,96.4908142458859,1.131774160044482,4,2,1590.1300500000002,HIGH,990.205209288564,20.756005685955365,27.27017602391414,-43.6886845,-956.35754
ID13,69.45017320732723,1.2224376043870908,6,0,1139.0976,MID,210.42408004244712,21.534787677598214,7.960246682324531,-189.628155,-197.96616
ID14,82.8225052415679,1.2230599109597355,4,0,1132.6278,MID,208.1526174862496,21.551278537355998,-13.590202992738632,-198.69532,-194.690585
ID15,72.0224974482219,1.222990559692027,4,0,1132.2551,MID,209.439366523459,21.555919574239844,-14.548208643481175,-200.165335,-184.312585
ID16,21.602477704908747,1.2238871256460635,7,1,1122.0572,MID,193.9946298264024,21.57643532271219,-5.551295387008906,-184.854655,-185.780155
ID17,37.64346510027109,1.1260792633132686,2,1,209.458655,LOW,746.0479146483464,19.107375986315517,-60.53837138690952,-180.3984,-328.203235
ID18,29.22763441318644,1.1276854730670074,7,0,206.90585,LOW,758.3430541074473,19.086329664444428,-21.259017617398662,-295.4243,-224.00141
ID19,87.70253218277773,1.125757975592336,3,2,205.96057,LOW,747.0845615290667,19.06097938792555,-7.922034101136461,-188.530555,-114.135095
ID20,35.986977835660255,1.1257216562753345,4,2,202.56013,LOW,741.3886596640334,18.998134280454877,-33.794940322718645,-80.19599149999999,-220.692665
ID21,35.05226238484205,1.1448288467357108,5,1,1598.6443,HIGH,663.0470140007798,19.430636910168957,-6.2452072776921455,-212.053465,-226.934745
ID22,34.43674655900833,1.1449928461407386,6,1,1599.3212,HIGH,667.3618160827639,19.42434310507343,-14.68172397849002,-232.83767,-235.17408
ID23,74.09866016175779,1.1448945624660856,6,1,1599.6642499999998,HIGH,667.011187668517,19.423846691793155,3.942904964010623,-230.87733,-223.24148
ID24,44.98941471744787,1.144728254857593,5,1,1599.5815,HIGH,664.8880006105873,19.42438410210378,8.660687082498576,-218.202475,-226.071175
