method,overall_median_3d,overall_rmse,inter_tag_distance_error_mm,notes
independent,101.0842005143932,132.05866678081873,552.3269028062579,carried over from ROTO deep-dive R3
joint_projection,280.6019582729091,315.97351525095166,552.3269028062579,carried over from ROTO deep-dive R3
