k,ranges,params,redundancy,mean_median_3d,best_median_3d
4,6,10,-4,141.46838925386066,73.6636473226449
5,10,14,-4,108.97585840358236,66.50064397297152
6,15,18,-3,89.76991030880558,66.82006216393248
7,21,22,-1,79.50112868398043,69.00423458682894
8,28,26,2,68.73280887712593,68.73280887712593
9,36,30,6,60.66535924468193,60.66535924468193
