source,config,d_tag_mm,delta_vs_49_621_mm
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'none', 'tier': 'global', 'n_pairs_remaining': 192, 'd_tag_mm': 33.08137482630481, 'tier_spread_mm': 11.769944229102038}",33.08137482630481,-16.539625173695192
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'none', 'tier': 'LOW', 'n_pairs_remaining': 64, 'd_tag_mm': 28.613879221601, 'tier_spread_mm': 11.769944229102038}",28.613879221601,-21.007120778399003
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'none', 'tier': 'MID', 'n_pairs_remaining': 64, 'd_tag_mm': 33.08137482630481, 'tier_spread_mm': 11.769944229102038}",33.08137482630481,-16.539625173695192
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'none', 'tier': 'HIGH', 'n_pairs_remaining': 64, 'd_tag_mm': 40.38382345070304, 'tier_spread_mm': 11.769944229102038}",40.38382345070304,-9.237176549296962
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt100', 'tier': 'global', 'n_pairs_remaining': 168, 'd_tag_mm': 27.421450583241192, 'tier_spread_mm': 10.610699694485056}",27.421450583241192,-22.19954941675881
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt100', 'tier': 'LOW', 'n_pairs_remaining': 53, 'd_tag_mm': 21.93611069539069, 'tier_spread_mm': 10.610699694485056}",21.93611069539069,-27.684889304609314
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt100', 'tier': 'MID', 'n_pairs_remaining': 62, 'd_tag_mm': 32.546810389875745, 'tier_spread_mm': 10.610699694485056}",32.546810389875745,-17.074189610124257
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt100', 'tier': 'HIGH', 'n_pairs_remaining': 53, 'd_tag_mm': 29.35735260537157, 'tier_spread_mm': 10.610699694485056}",29.35735260537157,-20.263647394628432
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt150', 'tier': 'global', 'n_pairs_remaining': 174, 'd_tag_mm': 28.173505736795363, 'tier_spread_mm': 8.486363525900916}",28.173505736795363,-21.44749426320464
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt150', 'tier': 'LOW', 'n_pairs_remaining': 56, 'd_tag_mm': 24.06044686397483, 'tier_spread_mm': 8.486363525900916}",24.06044686397483,-25.560553136025174
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt150', 'tier': 'MID', 'n_pairs_remaining': 62, 'd_tag_mm': 32.546810389875745, 'tier_spread_mm': 8.486363525900916}",32.546810389875745,-17.074189610124257
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'rho_gt150', 'tier': 'HIGH', 'n_pairs_remaining': 56, 'd_tag_mm': 31.4570783117608, 'tier_spread_mm': 8.486363525900916}",31.4570783117608,-18.163921688239203
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'top10_positive_rho', 'tier': 'global', 'n_pairs_remaining': 184, 'd_tag_mm': 31.16658580608767, 'tier_spread_mm': 10.65989941982196}",31.16658580608767,-18.45441419391233
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'top10_positive_rho', 'tier': 'LOW', 'n_pairs_remaining': 61, 'd_tag_mm': 27.985676784066698, 'tier_spread_mm': 10.65989941982196}",27.985676784066698,-21.635323215933305
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'top10_positive_rho', 'tier': 'MID', 'n_pairs_remaining': 62, 'd_tag_mm': 32.546810389875745, 'tier_spread_mm': 10.65989941982196}",32.546810389875745,-17.074189610124257
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'top10_positive_rho', 'tier': 'HIGH', 'n_pairs_remaining': 61, 'd_tag_mm': 38.64557620388866, 'tier_spread_mm': 10.65989941982196}",38.64557620388866,-10.975423796111343
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'exclude_DF', 'tier': 'global', 'n_pairs_remaining': 144, 'd_tag_mm': 26.1019833679572, 'tier_spread_mm': 17.220216877780373}",26.1019833679572,-23.519016632042803
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'exclude_DF', 'tier': 'LOW', 'n_pairs_remaining': 48, 'd_tag_mm': 22.81010220285764, 'tier_spread_mm': 17.220216877780373}",22.81010220285764,-26.810897797142363
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'exclude_DF', 'tier': 'MID', 'n_pairs_remaining': 48, 'd_tag_mm': 17.949751580947506, 'tier_spread_mm': 17.220216877780373}",17.949751580947506,-31.671248419052496
extended_item04,"{'config': 'V4_CV4', 'exclusion': 'exclude_DF', 'tier': 'HIGH', 'n_pairs_remaining': 48, 'd_tag_mm': 35.16996845872788, 'tier_spread_mm': 17.220216877780373}",35.16996845872788,-14.451031541272123
overnight_N4_p30,"{'pipeline': 'V5_p50_layout_p50_ranges_DLOO', 'range_percentile': 50, 'layout_source': 'V5_p50_existing', 'dtag_mode': 'fixed_p50_LOO', 'd_tag_mm': 49.621, 'median_3d': 67.80925857",49.621,0.0
overnight_N4_p30,"{'pipeline': 'V5_p50_layout_p30_ranges_Dtag_p50', 'range_percentile': 30, 'layout_source': 'V5_p50_existing', 'dtag_mode': 'fixed_p50_LOO_on_p30_ranges', 'd_tag_mm': 49.621, 'media",49.621,0.0
overnight_N4_p30,"{'pipeline': 'V5_p50_layout_p30_ranges_Dtag_p30_LOO', 'range_percentile': 30, 'layout_source': 'V5_p50_existing', 'dtag_mode': 'LOO_from_p30_range_residuals', 'd_tag_mm': 32.985644",32.98564490395356,-16.63535509604644
overnight_N4_p30,"{'pipeline': 'V5_p50_layout_p30_ranges_invRMS_Dtag_p30_LOO', 'range_percentile': 30, 'layout_source': 'V5_p50_existing', 'dtag_mode': 'LOO_from_p30_range_residuals', 'd_tag_mm': 32",32.98564490395356,-16.63535509604644
