task,status,elapsed_s,mean_cpu_percent,max_cpu_percent,workers,key_finding,notes
M1,ok,0.46205332099998486,32.2,32.2,6,V4 signed radial -7.8 mm vs V5 -4.8 mm,
M2,ok,0.17918039600044722,28.8,28.8,6,"total 67.8 mm; anchor 53.2, delay 50.6, NLOS 0.0",counterfactual/proxy non-orthogonal budget
M3,ok,0.17798467299962795,31.4,31.4,6,V5 offset mean 56.8 mm; direction resultant 0.09,
M4,ok,0.017205575999469147,33.3,33.3,6,"corr(e_i,rho_rms) 0.08; all-e_i-zero median 64.5 mm",
M5,ok,10.53323573599937,27.8,27.8,6,8-anchor redundancy +2; 9-anchor redundancy +6; simulated 9-anchor median 60.7 mm,subset replay uses median-range LS
M6,ok,0.004318131000218273,42.9,42.9,6,"worst sector 300 deg, 117.7 mm, anchor D",
M7,ok,0.16360781399998814,28.7,28.7,6,constraint diagnostic best median 101.1 mm,diagnostic projection reused
M8,ok,0.18081186299968977,27.1,27.1,6,strongest simple predictor n_bad_anchors R2=0.18,
M9,ok,0.003392691999579256,50.0,50.0,6,"weakest eig 5.98e-03; proj scale -0.01, c 0.01, Dtag 0.01",
M10,ok,0.029459432999829005,30.3,30.3,6,V5 baseline consistency max delta 0.00 mm,
