config,n_anchors,median_3d,improvement_mm,notes
V5_8anchor_median_ls,8,68.73283489408153,0.0,median-range Huber LS reference
V5_plus_active_design_anchor,9,60.66535924468193,8.067475649399604,"synthetic unbiased anchor at rank-1 candidate (923.3,1535.0,-1537.4)"
