config,median_abs_radial,median_abs_tangential,median_abs_vertical,mean_signed_radial,mean_signed_vertical
V4+C_V4+D_LOO,25.176436702758743,15.411617789627941,43.76891513839557,-7.753639229517627,-23.412580872181497
V5+C_V5+D_LOO,22.373615937678224,16.14614463865964,59.416636714272954,-4.834622887491423,-19.553889464168567
Vicon+C_cm+D_LOO,24.239267679949684,20.053178260324458,52.05445364277011,-5.094716962162548,-23.17176358646058
