component,median_contribution_mm,fraction_of_total
Anchor position error,53.186943113809534,0.7839047601315511
Delay model mismatch,50.604722206511624,0.7458462603864046
D_tag calibration residual,10.61931540922994,0.1565145769107435
Range noise via GDOP,1.4534884319080046,0.021422485178942238
NLOS systematic bias,0.0,0.0
Interaction / non-additivity,-41.53595476529515,-0.6121846970496349
TOTAL,67.84873089032392,1.0
