action,attempt,action_start_monotonic,operator_stop_upper_monotonic,selected,partition,sensor_boundary,status
initial_still,1,159396.920700221,159456.176842727,False,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
initial_still,2,159482.243502601,159490.24356927,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
t_pose,1,159515.194732572,159523.194799327,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
arms,1,159561.888873564,159708.779882489,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
left_elbow,1,159867.756239208,159907.63967712,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
right_elbow,1,159930.031688049,159966.931805523,False,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
right_elbow,2,159990.890562082,160024.179884444,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
left_knee,1,160047.905538995,160075.757280558,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
right_knee,1,160098.641264983,160123.213609319,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
left_heel,1,160162.842383158,160183.94634497,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
right_heel,1,160208.416771782,160233.874604993,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
squats,1,160257.591789967,160282.080835671,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
trunk,1,160310.218076721,160350.78707952,True,fit,token bracket retained; conservative physical refinement uncertainty reported,completed
walk,1,160377.058329685,160406.128382753,True,heldout,token bracket retained; conservative physical refinement uncertainty reported,completed
golf_swing,1,160483.835979846,160521.487432413,True,custom_validation,token bracket retained; conservative physical refinement uncertainty reported,completed
final_still,1,160548.786315034,160556.786379866,True,heldout,token bracket retained; conservative physical refinement uncertainty reported,completed
boxing,1,160617.304312351,160655.464412084,True,custom_validation,token bracket retained; conservative physical refinement uncertainty reported,completed
