node,t4_input,t4_valid,updates_accepted,updates_rejected_nis,resets,clips
BSF3C79,11601,11601,7069,4532,0,0
BSFC2CC,11601,11597,6445,5152,0,0
BSF44AD,11601,11600,5856,5744,0,0
BSF6C53,11601,11596,9227,2369,0,0
BSF8BC4,11601,11599,7806,3793,0,0
BSF1120,11601,11597,6602,4995,0,0
BSF31CC,11600,11600,6485,5115,0,0
BSFAA61,11601,11601,6132,5469,0,0
BSFB165,11601,11592,2785,8807,0,0
BSFEC35,11601,11596,5618,5978,0,0
