rank,total_cost,motion_timing_cost,topology_cost,segment_length_cost,left_right_cost,posterior,mapping_json
1,3.45177394868382,3.45177394868382,not_fit_no_lengths,not_fit_no_lengths,3.45177394868382,0.010804699973835152,"{""BSF1120"":""Pelvis"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_R"",""BSFEC35"":""Wrist_R""}"
2,3.4627708696880406,3.4627708696880406,not_fit_no_lengths,not_fit_no_lengths,3.4627708696880406,0.010686532471943339,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
3,3.4729578274477673,3.4729578274477673,not_fit_no_lengths,not_fit_no_lengths,3.4729578274477673,0.010578221831664155,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Pelvis"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_L"",""BSFEC35"":""Wrist_R""}"
4,3.477544197228468,3.477544197228468,not_fit_no_lengths,not_fit_no_lengths,3.477544197228468,0.010529817280156261,"{""BSF1120"":""Pelvis"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Wrist_L"",""BSFB165"":""Elbow_L"",""BSFC2CC"":""Elbow_R"",""BSFEC35"":""Wrist_R""}"
5,3.47785031583635,3.47785031583635,not_fit_no_lengths,not_fit_no_lengths,3.47785031583635,0.0105265944004661,"{""BSF1120"":""Pelvis"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_R"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_L"",""BSFEC35"":""Wrist_R""}"
6,3.48380206254109,3.48380206254109,not_fit_no_lengths,not_fit_no_lengths,3.48380206254109,0.010464128850889909,"{""BSF1120"":""Pelvis"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Ankle_L"",""BSF6C53"":""Knee_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_R"",""BSFEC35"":""Wrist_R""}"
7,3.48440092380238,3.48440092380238,not_fit_no_lengths,not_fit_no_lengths,3.48440092380238,0.010457864165513885,"{""BSF1120"":""Pelvis"",""BSF31CC"":""Central"",""BSF3C79"":""Ankle_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Knee_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_R"",""BSFEC35"":""Wrist_R""}"
8,3.4855505925155827,3.4855505925155827,not_fit_no_lengths,not_fit_no_lengths,3.4855505925155827,0.010445847994907087,"{""BSF1120"":""Wrist_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Elbow_L"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Elbow_R""}"
9,3.488541118232689,3.488541118232689,not_fit_no_lengths,not_fit_no_lengths,3.488541118232689,0.010414656081197795,"{""BSF1120"":""Elbow_R"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Wrist_L"",""BSFB165"":""Elbow_L"",""BSFC2CC"":""Pelvis"",""BSFEC35"":""Wrist_R""}"
10,3.4892906497290457,3.4892906497290457,not_fit_no_lengths,not_fit_no_lengths,3.4892906497290457,0.01040685289317413,"{""BSF1120"":""Elbow_L"",""BSF31CC"":""Central"",""BSF3C79"":""Knee_R"",""BSF44AD"":""Knee_L"",""BSF6C53"":""Ankle_L"",""BSF8BC4"":""Ankle_R"",""BSFAA61"":""Pelvis"",""BSFB165"":""Wrist_L"",""BSFC2CC"":""Elbow_R"",""BSFEC35"":""Wrist_R""}"
