node,slot,gravity_axis_sigma_deg,yaw_sigma_deg,observable_rank,unobservable
BSF3C79,Knee_R,0.3085488983295086,180,2,rotation about gravity
BSFC2CC,Elbow_R,0.508906811785981,180,2,rotation about gravity
BSF44AD,Knee_L,0.1648013736600413,180,2,rotation about gravity
BSF6C53,Ankle_L,0.09020045619983191,180,2,rotation about gravity
BSF8BC4,Ankle_R,0.1704767035701292,180,2,rotation about gravity
BSF1120,Pelvis,0.5762869830745836,180,2,rotation about gravity
BSF31CC,Central,0.9608342088952863,180,2,rotation about gravity
BSFAA61,Elbow_L,0.5409070268631043,180,2,rotation about gravity
BSFB165,Wrist_L,0.4755917166719741,180,2,rotation about gravity
BSFEC35,Wrist_R,0.5205239038054489,180,2,rotation about gravity
