node,logical_tag,sweeps,source_hz,sequence_gaps,duplicates,timestamp_reversals,all_anchor_slots_exact,valid_anchor_observations,t4_solutions,t4_solution_rate,t4_residual_median_mm,t4_residual_p95_mm
BSF3C79,1,11601,8.333626686571577,0,0,0,True,92782,11601,1.0,271.1946406270587,491.5934706099522
BSFC2CC,2,11601,8.333626686571577,0,0,0,True,92507,11597,0.9996552021377467,280.953154902217,705.7235579956796
BSF44AD,3,11601,8.333626686571577,0,0,0,True,92535,11600,0.9999138005344367,245.09465333383224,413.8850849307962
BSF6C53,4,11601,8.333626686571577,0,0,0,True,92465,11596,0.9995690026721834,166.9261345779792,383.5904054673761
BSF8BC4,5,11601,8.333632673587344,0,0,0,True,92485,11599,0.9998276010688734,226.33745815707425,398.07492401076
BSF1120,6,11601,8.333333333333334,0,0,0,True,92236,11597,0.9996552021377467,238.87854976535422,614.5150728862466
BSF31CC,7,11600,8.333524925135514,0,0,0,True,91921,11600,1.0,353.7646805236708,807.6621601353788
BSFAA61,8,11601,8.333632673587344,0,0,0,True,92223,11601,1.0,276.4883352167524,553.8241253768714
BSFB165,9,11601,8.333626686571577,0,0,0,True,92105,11592,0.9992242048099301,165.75904901749345,381.0663060665066
BSFEC35,10,11601,8.333632673587344,0,0,0,True,91927,11596,0.9995690026721834,261.848904077353,611.476098208587
