scenario,ID,capture,n_samples,bias_3d_mm,bias_xz_mm,bias_y_mm,scatter_3d_rms_mm,scatter_xz_rms_mm,scatter_y_rms_mm,gdop,residual_rms_median_mm,anchors_used_median,tag_truth_source,tag_truth_corrected
self_cal_v4io_T4,ID01,static_ID01_BSF66F_120s_20260528_110629,1201,140.8834148776975,66.03559509192995,124.44853059982715,59.79355908489335,35.117569163535684,48.394483612111415,1.1301924999663184,79.04918869053262,8.0,reconstructed_from_relabelled_balls,True
self_cal_v4io_T4,ID02,static_ID02_BSF66F_120s_20260528_111027,1201,61.00169067703074,31.38656508065154,52.3076456925196,58.43881493932271,38.738182917186435,43.75440864400994,1.1991697095238472,58.31895545765443,8.0,motive_iantenna,False
self_cal_v4io_T4,ID03,static_ID03_BSF66F_120s_20260528_111354,1201,172.88522569824056,19.279627811643113,171.8068602127869,88.47468850225326,64.86897260979129,60.16466486336386,1.1475712524595914,136.97873174047172,8.0,motive_iantenna,False
self_cal_v4io_T4,ID04,static_ID04_BSF66F_120s_20260528_111732,1201,278.8515744119,73.98342570760535,268.85805413370576,56.263094716625446,31.21819050070132,46.807696044068315,1.1135202916442033,79.1715929587361,8.0,motive_iantenna,False
self_cal_v4io_T4,ID05,static_ID05_BSF66F_120s_20260528_112057,1200,51.00632198541735,45.79094237689576,22.468521952186393,72.54378207162041,47.57540086657124,54.76478384545863,1.1576482637429706,159.32136791389263,8.0,reconstructed_from_relabelled_balls,True
self_cal_v4io_T4,ID06,static_ID06_BSF66F_120s_20260528_112429,1201,136.5135057109724,18.276264317313657,135.2845719367267,71.9829438572969,56.27522125041442,44.88478227171947,1.1128556716552662,96.75766515170716,8.0,motive_iantenna,False
self_cal_v4io_T4,ID07,static_ID07_BSF66F_120s_20260528_112810,1201,163.63909752600966,36.1059961635615,159.60611291602768,85.63930533315246,31.784950679748363,79.5223712437631,1.1401236627365925,80.02289283738367,8.0,motive_iantenna,False
self_cal_v4io_T4,ID08,static_ID08_BSF66F_120s_20260528_113136,1201,68.53963739763758,68.26905284193148,6.084268128970507,79.08688046291786,48.88243150946709,62.17107487472063,1.1940083448974914,124.97187368981056,8.0,motive_iantenna,False
self_cal_v4io_T4,ID09,static_ID09_BSF66F_120s_20260528_113816,1201,34.139215124500076,33.3904280091078,7.110930085824521,78.43578757324613,51.15638268304423,59.45752503276035,1.1535613457412617,131.25774547857984,8.0,motive_iantenna,False
self_cal_v4io_T4,ID10,static_ID10_BSF66F_120s_20260528_114216,1201,121.7985405463811,58.57127266648205,106.79087272542094,46.865338768761326,30.57932757223756,35.51428871793092,1.1197906209476707,61.72446081809625,8.0,motive_iantenna,False
self_cal_v4io_T4,ID11,static_ID11_BSF66F_120s_20260528_114551,1201,64.2831238859443,62.2825189078018,15.912506246188059,45.65071096644865,29.645397394777167,34.71509506033325,1.1607361288225375,73.02601999654557,8.0,motive_iantenna,False
self_cal_v4io_T4,ID12,static_ID12_BSF66F_120s_20260528_115143,1201,135.08327164549047,89.93275690499496,100.79478912084915,43.173713245834534,33.64751385845737,27.052066955751595,1.1301165230218946,74.5979858218042,8.0,motive_iantenna,False
self_cal_v4io_T4,ID13,static_ID13_BSF66F_120s_20260528_115704,1200,76.83591888493861,31.53951309322983,70.06438142690513,77.3290083395273,50.0907435466857,58.91258729435372,1.1963953275499382,59.677406942899815,8.0,motive_iantenna,False
self_cal_v4io_T4,ID14,static_ID14_BSF66F_120s_20260528_120122,1201,60.540316904617455,28.000566939768902,53.67586256375421,47.23397096573336,29.92166480706421,36.54780415244447,1.1967929104330362,43.05387357031554,8.0,motive_iantenna,False
self_cal_v4io_T4,ID15,static_ID15_BSF66F_120s_20260528_120437,1201,85.45342390274512,47.40758633471327,71.09717585543717,54.28751169364601,35.791540539018236,40.81788274435075,1.1966824981199018,56.245178206507134,8.0,motive_iantenna,False
self_cal_v4io_T4,ID16,static_ID16_BSF66F_120s_20260528_120804,1201,6.281907651162591,6.239024051299101,0.7327636897707634,62.651210111511595,35.19298822196679,51.8326895737167,1.1973090955596268,58.162361647743516,8.0,motive_iantenna,False
self_cal_v4io_T4,ID17,static_ID17_BSF66F_120s_20260528_121200,1199,46.42847822863437,15.262336028585914,43.84820052838319,71.46459145326295,30.429069865974764,64.66265953912976,1.125411612304334,66.19369615687177,8.0,motive_iantenna,False
self_cal_v4io_T4,ID18,static_ID18_BSF66F_120s_20260528_121519,1199,56.8933528562716,51.93311425269449,23.23370920117597,41.63719651433234,26.290909464254696,32.28690466916101,1.1266134216045611,35.87459024650929,8.0,motive_iantenna,False
self_cal_v4io_T4,ID19,static_ID19_BSF66F_120s_20260528_121846,1201,135.05881381259346,52.940789530830436,124.25037622605858,112.78007249659863,30.5872484129283,108.55305148573143,1.1253126083169716,178.44586630944588,8.0,motive_iantenna,False
self_cal_v4io_T4,ID20,static_ID20_BSF66F_120s_20260528_122210,1201,92.91381984872388,38.735612547366166,84.45430859027528,80.24997735331908,30.80031869499267,74.1039758278536,1.125360019230326,111.02565643755862,8.0,motive_iantenna,False
self_cal_v4io_T4,ID21,static_ID21_BSF66F_120s_20260528_122611,1201,56.8074495650282,35.98489222687652,43.95649960476044,56.084215963797035,41.41118687478394,37.822650381689925,1.1398698569869037,106.37220334359462,8.0,motive_iantenna,False
self_cal_v4io_T4,ID22,static_ID22_BSF66F_120s_20260528_122946,1201,23.484499650131045,23.027058568392263,4.6126237116025095,39.47490166817757,28.409787613269675,27.407149240320443,1.1401382002275466,127.28412581650893,8.0,motive_iantenna,False
