scenario,capture_count,current_beta0_samplepooled_p50_mm,current_beta0_samplepooled_p95_mm,const_offset_best_samplepooled_p50_mm,const_offset_best_samplepooled_p95_mm,skew_best_samplepooled_p50_mm,skew_best_samplepooled_p95_mm,current_beta0_trackmedian_p50_mm,current_beta0_trackmedian_p95_mm,const_offset_best_trackmedian_p50_mm,const_offset_best_trackmedian_p95_mm,skew_best_trackmedian_p50_mm,skew_best_trackmedian_p95_mm,alpha_ppm_median,alpha_ppm_iqr,alpha_sign_consistency,alpha_ppm_min,alpha_ppm_max,marginal_drop_p50_pooled_mm,marginal_drop_p50_trackmedian_mm,skew_verdict,paper_consequence
self_cal_v4io_T4,17,102.63336074100643,256.9324074144985,102.69245832522475,256.82261722993474,102.58470491663462,256.9160157188944,105.83784720842544,231.8021379954775,105.95632103379809,232.06239819155354,105.52443451608501,232.09489908940733,-112.0,228.0,0.7058823529411765,-268.0,224.0,0.10775340859012772,0.43188651771308173,SKEW_EXCLUDED,Offset/skew/jitter have no material leverage on the observed dynamic residual; do not convert this into a clock-synchronization ppm claim.
vicon_truth_delaycal_T4,17,104.47503409732245,206.1889222480439,104.1142762605665,206.66435780115503,104.07011367072683,205.9437572538377,105.58545344419055,200.43321386993458,105.72026968250611,199.89162793836618,105.55621229788638,199.38124670072733,-48.0,247.0,0.5882352941176471,-223.0,274.0,0.04416258983967225,0.1640573846197384,SKEW_EXCLUDED,Offset/skew/jitter have no material leverage on the observed dynamic residual; do not convert this into a clock-synchronization ppm claim.
