case,case_label,source_root,filter_id,filter_family,filter_deployability,filter_description,track_count,capture_pair_count,note,sample_err3d_n,sample_err3d_mean_mm,sample_err3d_p50_mm,sample_err3d_p90_mm,sample_err3d_p95_mm,sample_err3d_rmse_mm,sample_err_horizontal_xz_n,sample_err_horizontal_xz_mean_mm,sample_err_horizontal_xz_p50_mm,sample_err_horizontal_xz_p90_mm,sample_err_horizontal_xz_p95_mm,sample_err_horizontal_xz_rmse_mm,sample_err_vertical_y_n,sample_err_vertical_y_mean_mm,sample_err_vertical_y_p50_mm,sample_err_vertical_y_p90_mm,sample_err_vertical_y_p95_mm,sample_err_vertical_y_rmse_mm,trackmedian_err3d_p50_mm,trackmedian_err3d_p95_mm,trackmedian_err_horizontal_xz_p95_mm,trackmedian_err_vertical_y_p95_mm,trackmedian_turn_center_abs_error_3d_mm,trackmedian_turn_center_abs_error_xz_mm,trackmedian_turn_center_abs_error_y_mm,trackmedian_radius_error_abs_mm,trackmedian_circle_thickness_rms_mm,trackmedian_turn_center_repeatability_rms_mm,turn_center_abs_error_3d_rms_mm,legacy_deltaR_error_rms_mm,legacy_abs_deltaR_error_median_mm,legacy_abs_deltaR_error_p95_mm,improvement_vs_F0_sample_err3d_p50_mm,improvement_vs_F0_sample_err3d_p95_mm,improvement_vs_F0_sample_err3d_rmse_mm,improvement_vs_F0_trackmedian_err3d_p50_mm,improvement_vs_F0_trackmedian_err3d_p95_mm,improvement_vs_F0_turn_center_abs_error_3d_rms_mm,improvement_vs_F0_legacy_deltaR_error_rms_mm,filter_verdict
full_original_v4io_T4,FULL original v4-io/T4,FULL,F0,passthrough,baseline,unfiltered solved ROTO samples,34,17,original self-cal layout and solver residual delay corrections,40661,119.39146085640134,102.63336074100644,208.35038044734483,256.9324074144985,141.26598484796438,40661,77.65796592294942,66.14323345844797,145.82607164755407,178.95306106671896,93.41834672726404,40661,78.56222476731494,61.570920766890026,163.11599399532645,205.8963041825253,105.9674052235402,105.83784720842544,231.8021379954775,167.47209082957772,187.38314568289812,69.13009495766383,46.61896524458732,48.332389209494806,51.2632693702775,82.08589643324513,13.657450234965037,72.08191541633067,25.89900908100945,25.96917199935632,37.79143533695915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
full_original_v4io_T4,FULL original v4-io/T4,FULL,F1,cv_kalman,online,constant-velocity Kalman filter,34,17,original self-cal layout and solver residual delay corrections,40661,121.84098859034184,110.89041083601452,203.4133548798405,241.9041172833529,137.47320247720882,40661,85.4255781829629,76.3551468624166,157.02135079525425,183.76205310300796,99.95179761536023,40661,73.25171781261534,60.23934823335708,149.09396170517107,186.0164317215332,94.38495405941416,116.04967977205098,219.0318076426542,177.70020633399645,159.72413871092908,75.03829767464647,50.43797395546662,45.8149753755232,76.87363120436899,68.45586563522227,15.006815082814212,74.8094386000041,20.25371582378867,18.102240314001165,33.15102888505107,-8.257050095008097,15.028290131145669,3.79278237075556,-10.211832563625537,12.770330352823294,-2.7275231836734264,5.645293257220779,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL,F2,cv_kalman_robust,online,constant-velocity Kalman filter with innovation down-weighting,34,17,original self-cal layout and solver residual delay corrections,40661,121.09825942212288,110.57098424013743,202.32333834391787,239.29923195040624,136.1485186967608,40661,85.78656287643958,76.49984717974064,157.85313106022636,184.65986620808383,100.48781072598582,40661,71.99402943601747,59.85827197687991,146.32858824086668,181.34096331006836,91.86195642822264,116.75914300839176,218.7810983190432,178.2041044688424,159.14683690688685,74.89264737774837,50.37319952360754,45.137690779993136,77.77684490461752,68.19089503529467,14.89349271625245,73.98700771212339,20.366317154627243,16.91791580064421,33.79486868893029,-7.937623499131007,17.63317546409229,5.117466151203587,-10.921295799966316,13.02103967643427,-1.9050922957927128,5.532691926382206,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL,F3,adaptive_cv_kalman_robust,online,adaptive-acceleration constant-velocity Kalman filter,34,17,original self-cal layout and solver residual delay corrections,40661,117.40460368448164,106.137527169525,198.43113380499784,238.1280465319749,133.04050009909693,40661,81.16710707403743,71.25750058382081,150.34300839701396,177.44300424628594,95.58836892683432,40661,72.01074306437859,59.55099072227267,146.69151154753376,182.6350984855017,92.53452540822384,111.061762970336,213.422268494844,168.54760261830722,160.92066970995106,72.16716797677651,49.27373556150651,45.40360370883048,69.90664218194189,68.95951361153179,14.963963636905364,72.33877523221184,21.257683485147357,21.02299722143823,34.308429830264366,-3.504166428518559,18.804360882523667,8.225484748867444,-5.223915761910561,18.379869500633475,-0.256859815881171,4.641325595862096,FILTER_HURTS
full_original_v4io_T4,FULL original v4-io/T4,FULL,F4,fixed_lag_smoother,fixed_lag,bounded-latency fixed-lag smoother over the F2 trajectory,34,17,original self-cal layout and solver residual delay corrections,40661,92.69263258439736,86.0837951695846,152.19528214568842,178.25345410689835,103.0623294562442,40661,63.69455819141185,57.03547111458007,116.32284535082754,136.85188987941245,74.38134445305819,40661,57.2423085636315,49.83211429138828,113.3680953907898,137.65410793920068,71.33904506161359,86.29640991336667,158.1900285443549,121.53280441711452,109.16059461933536,64.0476627931718,43.24956423541765,45.61625774556262,46.65914318678995,43.02186663184608,13.903141615897749,69.13431463553069,24.46101937278877,24.44290524478538,35.889742709660425,16.549565571421823,78.67895330760015,38.20365539172016,19.54143729505877,73.61210945112259,2.947600780799988,1.4379897082206805,FILTER_HELPS
full_original_v4io_T4,FULL original v4-io/T4,FULL,F5,rts_offline_smoother,offline_upper_bound,full-sequence RTS smoother; uses future samples,34,17,original self-cal layout and solver residual delay corrections,40661,88.72460029987045,82.01977437250217,146.79242912020044,172.61708569522173,98.9328510353647,40661,58.606502210386026,51.26106367148325,108.89281370129694,130.79878847107537,69.18115769359108,40661,57.244919297385984,50.34455017787218,112.25664491208056,135.64757402208522,70.72253130481222,83.30515448210392,148.63709402090737,110.8975993678236,108.37982003271055,63.44697248130656,42.04586784382009,42.99202990543262,43.395334891756136,42.03513075188135,12.863972837001384,68.30628670705386,24.595073030614884,23.10775464159167,36.44509415687957,20.613586368504254,84.3153217192768,42.33313381259967,22.532692726321528,83.16504397457012,3.775628709276816,1.3039360503945652,OFFLINE_FILTER_HELPS_DIAGNOSTIC_ONLY
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,F0,passthrough,baseline,unfiltered solved ROTO samples,34,17,pre-registered one-baseline E-H control,40661,112.27919645210672,104.39306196427772,179.10647036484852,207.44455636229537,126.68509529098873,40661,68.96347314506536,61.19040658818304,122.94459688204893,145.71251507299837,80.75485520335927,40661,77.16594611213858,66.78702973087798,150.355925558742,177.84031099883418,97.61027983758356,106.21110129630526,200.39273513936124,138.20735472944034,170.42965250274804,75.2262212300983,39.99978423838368,62.25407052673325,21.165907366501585,74.99993882688014,13.677185796781677,77.0801596837481,13.358114036861302,13.128300004404934,20.408069261233837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BASELINE_UNFILTERED
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,F1,cv_kalman,online,constant-velocity Kalman filter,34,17,pre-registered one-baseline E-H control,40661,110.14060341702904,104.93104987960028,172.24487075830578,194.2748300579708,121.0636470135114,40661,73.41710571834126,65.45215865808399,133.9069369913152,154.90875906065048,85.11740652966999,40661,69.52628044563923,61.5503896569594,135.41441120008608,158.85871722517027,86.0896842477366,102.54094480840727,187.44974468348997,146.39917030125412,151.1034687816717,78.0424800325961,43.40401174899367,64.57123136475212,43.66753030202136,60.46079415962998,14.469759342202718,79.4424717434728,11.160615767903105,8.79559364939206,18.066558434634068,-0.537987915322546,13.16972630432457,5.621448277477299,3.6701564878979696,12.942990455871296,-2.362312059724701,2.197498268958197,FILTER_NEUTRAL
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,F2,cv_kalman_robust,online,constant-velocity Kalman filter with innovation down-weighting,34,17,pre-registered one-baseline E-H control,40661,109.3067460096554,104.76854437393148,171.113900755301,191.9612868019985,119.42342552468058,40661,73.30524868142821,65.36350104061397,133.62046315385152,154.50017908293412,84.98178504690826,40661,68.62604609222286,61.37885002377902,134.02882385679982,155.9607822445846,83.9050104242292,102.61382754618948,185.26665814140551,146.39917030125412,150.78692276033064,77.91609387330908,43.37164450835694,62.63092255359794,43.86675263135234,60.44765110747058,14.000513706278468,78.67614384786232,9.654214307104084,7.466638366357131,16.001765329479902,-0.3754824096537561,15.483269560296833,7.261669766308131,3.597273750115789,15.12607699795572,-1.5959841641142276,3.703899729757218,FILTER_NEUTRAL
one_baseline_EH_delaycal_v4io_T4,One-baseline E-H + delaycal / v4-io/T4,FULL_AutoPos_one_baseline_scale_correction,F3,adaptive_cv_kalman_robust,online,adaptive-acceleration constant-velocity Kalman filter,34,17,pre-registered one-baseline E-H control,40661,107.5907161523672,102.95406421346884,168.3088323145204,189.8378970226333,117.84619755790952,40661,70.3070522493141,62.717687988279295,126.67843027893096,147.966996983414,81.44675708671083,40661,69.44618575178438,62.00524133274098,135.64333830498276,158.2122836024248,85.17130995186206,101.9667635903114,184.1599716445344,140.88741251800437,154.1015081049424,77.01322515261667,43.34920307225927,62.17611784720037,39.598919290928,62.29729171402784,14.214226605623434,77.35646557477924,10.104181365115874,6.855153599078676,15.779041122088811,1.4389977508088665,17.60665933966206,8.838897733079193,4.244337705993871,16.232763494826827,-0.2763058910311429,3.253932671745428,FILTER_NEUTRAL
