scenario,capture_id,n,t_ref_s,beta0_s,const_offset_beta_best_s,beta_best_s,alpha_best_ppm,const_offset_best_p50_mm,const_offset_best_p95_mm,skew_best_p50_mm,skew_best_p95_mm,marginal_drop_vs_const_p50_mm,marginal_drop_vs_const_p95_mm,coarse_best_beta_s,coarse_best_alpha_ppm,coarse_best_p50_mm
self_cal_v4io_T4,R01,2401,0.002044,37.70795600000014,37.70095599999957,37.72245599999945,-229.0,106.95854984836181,438.4396236033179,106.47974905414979,436.91152401375604,0.47880079421202026,1.5280995895618616,37.719955999999414,-210.0,106.53179141352837
self_cal_v4io_T4,R02,2401,0.002642,46.52235800000014,46.52135799999956,46.519857999999466,17.0,110.80456461248795,289.5969069216679,110.73154985566924,289.5407013117293,0.07301475681870784,0.05620560993855861,46.52035799999945,10.0,110.73467699844224
self_cal_v4io_T4,R03,2250,0.002418,46.37758200000015,46.379581999999566,46.38308199999946,-245.0,106.67087241335352,276.5311840608808,105.85196874189029,274.4445918595967,0.8189036714632323,2.086592201284077,46.38358199999944,-250.0,105.89657040781343
self_cal_v4io_T4,R04,2400,0.001789,47.29321100000013,47.29021099999955,47.29021099999946,22.0,103.71210603483769,286.40810967631904,103.64764920822044,286.48518158794536,0.06445682661724561,-0.07707191162631943,47.29021099999944,20.0,103.67327867291348
self_cal_v4io_T4,R05,2401,0.002422,48.70257800000013,48.70257799999955,48.70457799999945,-24.0,113.4467922098653,280.56207075397725,113.32805552601071,280.54951773103977,0.11873668385457847,0.012553022937481728,48.70457799999943,-20.0,113.39148438973402
self_cal_v4io_T4,R06,2401,0.001209,45.52379100000014,45.52479099999955,45.53179099999944,-253.0,117.07124299061176,246.27393576560638,116.60259914539292,246.066355683426,0.4686438452188497,0.20758008218038526,45.53279099999942,-270.0,116.65954201870278
self_cal_v4io_T4,R07,2401,0.000196,45.22980400000012,45.22580399999955,45.23130399999944,-64.0,100.89708763988679,249.22605718537986,100.82794533971192,249.32130448717064,0.06914230017487455,-0.09524730179077778,45.23180399999942,-70.0,100.83642431278034
self_cal_v4io_T4,R08,2401,0.002523,44.84747700000013,44.84447699999956,44.831476999999495,224.0,94.98719531311151,267.51658660437585,94.78417504312233,268.6774624136313,0.20302026998918166,-1.160875809255458,44.831476999999474,220.0,94.86406850081575
self_cal_v4io_T4,R09,2400,0.002561,44.96743900000014,44.964438999999565,44.97143899999946,-121.0,122.64721520663406,310.19968175263915,122.47730145145866,309.6926711015459,0.16991375517540064,0.5070106510932533,44.971438999999435,-120.0,122.48434964580707
self_cal_v4io_T4,R10,2400,0.014291,45.34070900000013,45.34070899999955,45.356208999999424,-268.0,90.12549456410918,238.02892480789762,90.02906474475603,238.08628295525136,0.09642981935314765,-0.057358147353738786,45.3557089999994,-260.0,90.05298363664798
self_cal_v4io_T4,R11,2401,0.002519,45.512481000000136,45.51348099999955,45.53548099999941,-211.0,92.85879385219636,218.49836886064924,92.69628699678617,219.2424533822672,0.16250685541018584,-0.7440845216179639,45.535480999999386,-210.0,92.72032128812845
self_cal_v4io_T4,R12,2400,0.000175,46.93482500000013,46.93382499999955,46.93782499999945,-171.0,102.89594730795281,221.36699338180074,102.61435321007683,222.38202993424875,0.2815940978759812,-1.0150365524480094,46.93782499999943,-170.0,102.64068300567996
self_cal_v4io_T4,R13,2401,0.001436,44.91856400000012,44.91756399999954,44.91406399999945,57.0,99.07232380277125,230.099673450755,98.90833706321276,230.1085620789198,0.16398673955849574,-0.008888628164783086,44.91456399999943,50.0,98.96256186229198
