scenario,n_positions,static_bias_3d_median_mm,static_bias_3d_p95_mm,static_bias_xz_median_mm,static_bias_y_median_mm,static_scatter_3d_rms_median_mm,static_scatter_3d_rms_p95_mm,static_scatter_xz_rms_median_mm,static_scatter_y_rms_median_mm
self_cal_v4io_T4,24,72.68777814128809,171.49830647240591,37.42080435546383,61.87012199532967,67.05790078238728,88.04938102688813,35.15527869275124,45.84623915789389
vicon_truth_delaycal_T4,24,61.73717699228476,124.61447283662501,34.396685999883665,44.577091463785905,59.62654882101267,79.03819199593333,42.8755294664593,38.127425763425634
