capture_id,tag,antenna_marker,body_markers,reference_frame_index,reference_time_s,n_pose_frames,n_antenna_fit_frames,lever_x_mm,lever_y_mm,lever_z_mm,lever_norm_mm,body_marker_fit_rms_median_mm,body_marker_fit_rms_p95_mm,bodyfit_antenna_residual_p50_mm,bodyfit_antenna_residual_p95_mm,bodyfit_antenna_residual_rmse_mm,note
R01,BS2DCE,WandBantenna,WandBshort;WandB4;WandBtop;WandBlong;WandB5;WandBcenter,11497,95.808333,22994,22994,-14.481107286987475,-0.9272260160477525,19.141362509541004,24.01986625824006,0.5469910536183569,0.8044750944042035,0.7908945792566009,1.547129323540797,0.9354692093097772,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R01,BSDC91,WandCantenna,WandCshort;WandClong;WandCtop;WandC4;WandC5;WandCcenter,11497,95.808333,22994,22994,2.7386911956166147,-2.259386598453665,-18.668302533905283,19.002914954386192,0.6422264362990041,0.923579539331032,0.7671301913297004,1.436158593525342,0.8682539000531834,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R02,BS2DCE,WandBantenna,WandBshort;WandB4;WandBtop;WandBlong;WandBcenter,10456,87.133333,20912,20912,-24.68276375451557,-9.74011522751204,-20.439338100037038,33.494405699669684,0.8136830436564844,1.273469332214467,0.5597015771673575,2.840953629147565,1.2137538893705422,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R02,BSDC91,WandCantenna,WandCshort;WandClong;WandCtop;WandC4;WandC5;WandCcenter,10457,87.141667,20912,20912,17.08778137572895,3.855294063601679,7.320688484717298,18.985469300278677,0.801699165867698,1.10617266930132,0.6603812098435213,1.9267827008954888,1.058353694490513,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R03,BS2DCE,WandBantenna,WandBshort;WandB4;WandBtop;WandBlong;WandBcenter,11368,94.733333,21159,18167,29.942834819945297,-5.184534958352864,13.874603130673988,33.40594815033125,0.6130643777692453,1.3326673159160562,0.9535696013674744,2.9265317120863426,1.481872367071814,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R03,BSDC91,WandCantenna,WandCshort;WandClong;WandCtop;WandC4;WandC5;WandCcenter,9169,76.408333,21164,21164,2.6208470142733207,-9.52023076926481,16.2959734400009,19.05419595074787,0.6956364533143207,1.1112616610026878,0.8829611616974131,2.3777271799195696,1.2478418435356462,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R04,BS2DCE,WandBantenna,WandBshort;WandB4;WandBtop;WandBlong;WandBcenter,10282,85.683333,20565,20565,-28.28604327474377,11.521814286459804,-13.658920293588665,33.457712895219764,0.4107558795915657,0.8380510371512527,0.5579348895234107,1.4216542286141758,0.7378700384300111,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R04,BSDC91,WandCantenna,WandCshort;WandClong;WandCtop;WandC4;WandC5;WandCcenter,10282,85.683333,20565,20565,16.315330617936546,-9.300307309194086,3.474932930669242,19.09871430465088,0.4598065443950587,0.7994656660867758,0.6897952129868945,1.266655083035222,0.767969341035958,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R05,BS2DCE,WandBantenna,WandBshort;WandB4;WandBtop;WandBlong;WandBcenter,10312,85.933333,20624,20624,-32.414002921760655,-2.754281699076285,-7.800073617313208,33.45287433876617,0.4373692991034101,0.6578655169505093,0.6771388991277248,1.1385243393446565,0.7350352272541432,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
R05,BSDC91,WandCantenna,WandCshort;WandClong;WandCtop;WandC4;WandC5;WandCcenter,10312,85.933333,20624,20624,18.81500030725659,-2.599639903009467,1.6647434689626257,19.066560649599037,0.4701901296821791,0.7139515727695601,0.7400951903489021,1.2099997466418475,0.7898697667796689,body pose excludes the UWB antenna marker; lever arm is estimated from the antenna marker for this oracle pseudo-IMU diagnostic
