mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm
production_baseline_T4_mean,ID01,1201,1201,59.79355908489333,79.04918869053262
production_baseline_T4_mean,ID02,1201,1201,58.43881493931573,58.31895545765461
production_baseline_T4_mean,ID03,1201,1201,88.47358127677694,136.97873174047163
production_baseline_T4_mean,ID04,1201,1201,56.26309471662543,79.1715929587363
production_baseline_T4_mean,ID05,1200,1200,72.55804910997615,159.3213679138928
production_baseline_T4_mean,ID06,1201,1201,71.98294385729719,96.75766515170767
production_baseline_T4_mean,ID07,1201,1201,85.63930533163703,80.02289283738357
production_baseline_T4_mean,ID08,1201,1201,79.08789308056461,124.97187368981088
production_baseline_T4_mean,ID09,1201,1201,78.40770705440974,131.2577379677226
production_baseline_T4_mean,ID10,1201,1201,46.767148982673554,61.7244608180964
production_baseline_T4_mean,ID11,1201,1201,45.650713031184424,73.0260199965462
production_baseline_T4_mean,ID12,1201,1201,43.1736568096962,74.59798582180463
production_baseline_T4_mean,ID13,1200,1200,77.32900833952759,59.67740694290018
production_baseline_T4_mean,ID14,1201,1201,47.23384472850537,43.05387357031624
production_baseline_T4_mean,ID15,1201,1201,54.28751179748038,56.245178206507745
production_baseline_T4_mean,ID16,1201,1201,62.653444756307756,58.16236164774437
production_baseline_T4_mean,ID17,1199,1199,71.46459165818032,66.19369615687152
production_baseline_T4_mean,ID18,1199,1199,41.63719649440964,35.87459024650934
production_baseline_T4_mean,ID19,1201,1201,112.78007221333348,178.44586630944573
production_baseline_T4_mean,ID20,1201,1201,80.25062178521193,111.02565643755875
production_baseline_T4_mean,ID21,1201,1201,56.08421596379234,106.37220334359452
production_baseline_T4_mean,ID22,1201,1201,39.47490158896737,127.28412581650896
production_baseline_T4_mean,ID23,1201,1201,76.54804262781197,89.88259258584817
production_baseline_T4_mean,ID24,1201,1201,73.97589122788592,165.469922893428
distance_rho,ID01,1201,1201,54.910532299998884,71.4959044728353
distance_rho,ID02,1201,1201,64.73616208327532,57.27565975658623
distance_rho,ID03,1201,1201,82.25275095938589,136.06390921031965
distance_rho,ID04,1201,1201,58.14251711253442,79.5516354104912
distance_rho,ID05,1200,1200,72.7285626006268,138.11447673264428
distance_rho,ID06,1201,1201,64.27922669020734,80.96719813270175
distance_rho,ID07,1201,1201,63.76245034971128,76.91674887587907
distance_rho,ID08,1201,1201,58.884163889234756,102.42392155278681
distance_rho,ID09,1201,1201,55.28757475079619,112.00403357790995
distance_rho,ID10,1201,1201,41.27388442421725,58.48522880251654
distance_rho,ID11,1201,1201,31.60566962450572,49.28640144510987
distance_rho,ID12,1201,1201,39.54469613741526,74.6727709480365
distance_rho,ID13,1200,1200,52.689446629529684,43.068018772377016
distance_rho,ID14,1201,1201,46.497697788241744,58.90950189299837
distance_rho,ID15,1201,1201,57.63029072280232,56.23307114624201
distance_rho,ID16,1201,1201,52.834746902473505,50.3127025474179
distance_rho,ID17,1199,1199,62.251191870437694,70.21073474634242
distance_rho,ID18,1199,1199,46.6509850287853,54.3444129469899
distance_rho,ID19,1201,1201,102.6213453157198,170.24460822376406
distance_rho,ID20,1201,1201,72.61636933046223,114.99743400047592
distance_rho,ID21,1201,1201,54.80109707732156,89.3501342412437
distance_rho,ID22,1201,1201,45.401847648321905,112.02657987269754
distance_rho,ID23,1201,1201,64.29665070426397,77.68385753342143
distance_rho,ID24,1201,1201,63.17880678036217,167.86784236948097
elevation_beta,ID01,1201,1201,61.16678295959814,73.54964803966783
elevation_beta,ID02,1201,1201,74.52696374796109,71.05979141231767
elevation_beta,ID03,1201,1201,86.60869837352371,142.564139280237
elevation_beta,ID04,1201,1201,60.83101282913915,90.01181813147396
elevation_beta,ID05,1200,1200,82.54954012704422,142.91640707627275
elevation_beta,ID06,1201,1201,72.95037655132408,88.12025155866802
elevation_beta,ID07,1201,1201,65.48385503320466,73.35817634802244
elevation_beta,ID08,1201,1201,62.0166921493636,112.97978634158639
elevation_beta,ID09,1201,1201,69.19620682365763,118.57897733998213
elevation_beta,ID10,1201,1201,48.94386738220168,65.82347465493919
elevation_beta,ID11,1201,1201,31.400102390658166,46.8476978509768
elevation_beta,ID12,1201,1201,42.24606492510081,83.43148381461408
elevation_beta,ID13,1200,1200,57.30913056583316,51.05752259852939
elevation_beta,ID14,1201,1201,48.89231613553206,68.06596296481524
elevation_beta,ID15,1201,1201,65.04620249660859,66.59355285506571
elevation_beta,ID16,1201,1201,55.780754955750766,56.33049180008275
elevation_beta,ID17,1199,1199,61.01038343577447,64.37720755482684
elevation_beta,ID18,1199,1199,47.897863318750936,50.770630178030295
elevation_beta,ID19,1201,1201,108.56141193097896,176.27579701997985
elevation_beta,ID20,1201,1201,84.33456376969555,123.40732190478671
elevation_beta,ID21,1201,1201,57.225255432336105,95.30072710708018
elevation_beta,ID22,1201,1201,45.71851553683692,123.71874885507552
elevation_beta,ID23,1201,1201,73.07782209977987,84.76277151327666
elevation_beta,ID24,1201,1201,70.50443103529419,181.89432080275043
distance_plus_elevation,ID01,1201,1201,59.24145366353182,71.64059605717263
distance_plus_elevation,ID02,1201,1201,69.35603671588648,63.271173855737175
distance_plus_elevation,ID03,1201,1201,84.3495668350028,136.78294926993823
distance_plus_elevation,ID04,1201,1201,58.82437729376621,87.95899955444067
distance_plus_elevation,ID05,1200,1200,77.87799234426076,139.55602930786523
distance_plus_elevation,ID06,1201,1201,69.34596007061731,88.20364916980562
distance_plus_elevation,ID07,1201,1201,62.471823296968985,66.73276236738396
distance_plus_elevation,ID08,1201,1201,60.28172709234745,106.95315674403923
distance_plus_elevation,ID09,1201,1201,64.28474161282477,115.8944577917522
distance_plus_elevation,ID10,1201,1201,48.28975420100646,64.49145615583852
distance_plus_elevation,ID11,1201,1201,30.689819904242608,46.835566685741675
distance_plus_elevation,ID12,1201,1201,41.243764881981186,79.8308917557084
distance_plus_elevation,ID13,1200,1200,54.65549111001008,46.098313287708535
distance_plus_elevation,ID14,1201,1201,47.3244706295717,62.567709240016065
distance_plus_elevation,ID15,1201,1201,60.76013091687732,60.32308245364105
distance_plus_elevation,ID16,1201,1201,53.86170246547405,52.40388840101619
distance_plus_elevation,ID17,1199,1199,58.007739944725614,60.732846665491294
distance_plus_elevation,ID18,1199,1199,45.75893859795993,48.50513006077421
distance_plus_elevation,ID19,1201,1201,105.26182253903332,167.12084041784627
distance_plus_elevation,ID20,1201,1201,83.10936659742208,118.39566381882548
distance_plus_elevation,ID21,1201,1201,53.89197971517298,91.49575697391205
distance_plus_elevation,ID22,1201,1201,43.23168811451,118.50351241511919
distance_plus_elevation,ID23,1201,1201,70.49618463305151,81.19993642070897
distance_plus_elevation,ID24,1201,1201,67.99794644230114,174.01771211428823
