grouping,group,positions,c_p_median_mm,c_p_mean_mm,abs_c_p_median_mm,headline_err_median_mm
facing,ABEF,6,-33.62768539472262,-39.13758970106867,33.62768539472262,55.53101210532579
facing,ADHE,6,-12.782681533658888,-16.114346135901958,12.782681533658888,37.06153032884444
facing,BCGF,6,-22.595232610837343,-25.571594588672117,22.595232610837343,70.37676475874628
facing,CDHG,6,-33.60730760516424,-34.50267982382496,33.60730760516424,43.761349472327566
height,high,8,-20.79565231116942,-19.92541853545957,20.79565231116942,38.01356650824348
height,low,8,-43.17705272506919,-37.960567771406446,43.17705272506919,73.18675782540191
height,mid,8,-26.97099365653213,-28.608671380234767,26.97099365653213,49.50145586260358
location,center,12,-33.07738116191541,-35.052850537342145,33.07738116191541,41.021876974967945
location,edge,12,-23.937876935655936,-22.61025458739171,23.937876935655936,64.54939430020545
