method,registration,position,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,runtime_uses_vicon_link_distance
iter1_estimated_distance,anchor_only_3d_rigid,ID01,-453.3347401914027,209.13293735422695,-351.5852190850103,-542.215344349341,182.54280058407932,-383.3240609304319,88.88060415793825,26.590136770147637,31.738841845421632,94.37751785869767,26.590136770147637,98.05177841642626,False
iter1_estimated_distance,anchor_only_3d_rigid,ID02,-508.5217674724536,1068.8951667937017,-205.88743469274164,-543.22998,1105.589,-259.92136,34.70821252754638,-36.69383320629822,54.03392530725836,64.22090859655991,36.69383320629822,73.96460299588809,False
iter1_estimated_distance,anchor_only_3d_rigid,ID03,-532.5194615197531,1656.7497793023113,-225.27355323910956,-554.00287,1625.56145,-256.2951,21.483408480246908,31.18832930231133,31.02154676089043,37.73424443880196,31.18832930231133,48.954929149541904,False
iter1_estimated_distance,anchor_only_3d_rigid,ID04,-275.8776445009089,64.3644428291366,416.4695207235293,-321.178815,182.16379,479.93382,45.301170499091086,-117.7993471708634,-63.46429927647074,77.97379900480138,117.7993471708634,141.26782905220412,False
iter1_estimated_distance,anchor_only_3d_rigid,ID05,-185.71812791732634,1107.5427238401735,448.6725020451979,-184.9818897969324,1103.586616559577,473.7040289339493,-0.7362381203939492,3.9561072805965978,-25.031526888751387,25.04235182550163,3.9561072805965978,25.352912451388978,False
iter1_estimated_distance,anchor_only_3d_rigid,ID06,-179.3453064543877,1606.8484827167908,439.40417576724326,-193.231255,1684.95255,476.52298,13.885948545612308,-78.10406728320913,-37.11880423275676,39.631113972245515,78.10406728320913,87.58350598635096,False
iter1_estimated_distance,anchor_only_3d_rigid,ID07,248.34247983838623,170.63743081788638,32.05268705145886,352.14755,211.565355,53.795866,-103.8050701616138,-40.92792418211363,-21.743178948541136,106.05780698301209,40.92792418211363,113.68092803941516,False
iter1_estimated_distance,anchor_only_3d_rigid,ID08,341.0339338029528,1171.6015295369634,-99.89003807635004,391.90054,1132.2804,-71.53192899999999,-50.86660619704719,39.321129536963326,-28.358109076350047,58.23739328293847,39.321129536963326,70.2690913877097,False
iter1_estimated_distance,anchor_only_3d_rigid,ID09,349.0995849986323,1506.9834794119224,-36.97823572794982,408.80994,1568.1853500000002,-62.4257885,-59.7103550013677,-61.20187058807778,25.44755277205018,64.90689051615118,61.20187058807778,89.21083678542342,False
iter1_estimated_distance,anchor_only_3d_rigid,ID10,34.35219559134612,219.09277098795906,-913.9817013328367,65.499245,238.64973,-938.19342,-31.147049408653885,-19.55695901204095,24.211718667163268,39.45055142432091,19.55695901204095,44.03204121411632,False
iter1_estimated_distance,anchor_only_3d_rigid,ID11,-97.41425915606919,1083.4697913196762,-868.8512399093714,-63.9057945,1133.4998500000002,-956.990295,-33.508464656069194,-50.03005868032392,88.13905509062852,94.29374441539527,50.03005868032392,106.74416615175062,False
iter1_estimated_distance,anchor_only_3d_rigid,ID12,-13.810985702516746,1550.2090101011067,-867.0504723914958,-43.6886845,1590.1300500000002,-956.35754,29.877698797483255,-39.92103989889347,89.30706760850421,94.17233781882594,39.92103989889347,102.28449851698996,False
iter1_estimated_distance,anchor_only_3d_rigid,ID13,-198.00028350602008,1083.9175712851325,-182.10352519139315,-189.628155,1139.0976,-197.96616,-8.37212850602009,-55.1800287148676,15.862634808606856,17.936435509669696,55.1800287148676,58.021989691548434,False
iter1_estimated_distance,anchor_only_3d_rigid,ID14,-186.95791945955818,1035.4334591235051,-168.49526470519982,-198.69532,1132.6278,-194.690585,11.737400540441826,-97.19434087649483,26.195320294800183,28.70472742936143,97.19434087649483,101.34446839966259,False
iter1_estimated_distance,anchor_only_3d_rigid,ID15,-203.98759043556345,1076.3828937132057,-192.0278694281983,-200.165335,1132.2551,-184.312585,-3.8222554355634486,-55.87220628679438,-7.715284428198288,8.61018294943222,55.87220628679438,56.5317493606628,False
iter1_estimated_distance,anchor_only_3d_rigid,ID16,-194.78905490731188,1082.137436377901,-179.31189736424744,-184.854655,1122.0572,-185.780155,-9.934399907311871,-39.919763622099026,6.468257635752565,11.854562765486945,39.919763622099026,41.64274469826803,False
iter1_estimated_distance,anchor_only_3d_rigid,ID17,-176.68787753371885,300.00562865435546,-304.545851737769,-180.3984,209.458655,-328.203235,3.7105224662811622,90.54697365435547,23.657383262231008,23.946602259795963,90.54697365435547,93.65999251415413,False
iter1_estimated_distance,anchor_only_3d_rigid,ID18,-324.845847753027,317.96011838675486,-253.1662756169551,-295.4243,206.90585,-224.00141,-29.42154775302697,111.05426838675487,-29.164865616955097,41.427247780159085,111.05426838675487,118.52960552349813,False
iter1_estimated_distance,anchor_only_3d_rigid,ID19,-209.96087873972408,234.98625924750536,-98.69085285367828,-188.530555,205.96057,-114.135095,-21.430323739724088,29.02568924750537,15.444242146321727,26.415589924580562,29.02568924750537,39.246325017208314,False
iter1_estimated_distance,anchor_only_3d_rigid,ID20,-73.78752955036634,234.97430364145697,-242.35975525855565,-80.19599149999999,202.56013,-220.692665,6.408461949633647,32.41417364145698,-21.667090258555646,22.59493715043924,32.41417364145698,39.51214797617087,False
iter1_estimated_distance,anchor_only_3d_rigid,ID21,-203.56949957643928,1550.7484296913933,-210.8681474823302,-212.053465,1598.6443,-226.934745,8.483965423560704,-47.89587030860662,16.066597517669805,18.169018275706783,47.89587030860662,51.22623954304895,False
iter1_estimated_distance,anchor_only_3d_rigid,ID22,-216.79230948271618,1487.8931874450302,-231.1575273612309,-232.83767,1599.3212,-235.17408,16.045360517283825,-111.42801255496988,4.016552638769099,16.540444045720587,111.42801255496988,112.6489603643999,False
