position,anchor,range_std_mm,n_valid
ID01,A,24.854967062508443,1199
ID01,B,21.294149627376374,1199
ID01,C,27.9138852556777,1197
ID01,D,22.38802648485937,1198
ID01,E,22.912845496781216,1201
ID01,F,63.62866518459946,1192
ID01,G,118.40724679515293,1141
ID01,H,144.00261164687896,1179
ID02,A,17.81125761900408,1200
ID02,B,19.75230731295463,1201
ID02,C,29.134129278907004,1196
ID02,D,17.665417205068845,1201
ID02,E,21.295349872040937,1201
ID02,F,89.00811720043687,1195
ID02,G,91.41290670115447,1174
ID02,H,43.68901949198206,1187
ID03,A,31.917345198503487,1200
ID03,B,22.951011495586688,1201
ID03,C,22.269531887615255,1198
ID03,D,23.07336102300964,1201
ID03,E,24.701776723846322,1198
ID03,F,84.65478178966026,1188
ID03,G,104.28381700284649,1156
ID03,H,33.946296064096394,1173
ID04,A,18.262551654291283,1199
ID04,B,24.608408179474072,1200
ID04,C,19.408599652537905,1198
ID04,D,21.551292693567316,1201
ID04,E,25.40874023803101,1200
ID04,F,83.98223991795771,1178
ID04,G,103.77321555888875,1171
ID04,H,31.773620136695705,1187
ID05,A,56.73651776209669,1196
ID05,B,29.443604118336307,1197
ID05,C,21.715748321961716,1199
ID05,D,21.522137228474545,1200
ID05,E,25.231827194210904,1200
ID05,F,102.72682368642117,1189
ID05,G,94.41791172382634,1121
ID05,H,50.24970417281011,1193
ID06,A,22.09345909178644,1198
ID06,B,23.112368876409718,1200
ID06,C,25.97034680136254,1200
ID06,D,27.921356055754448,1200
ID06,E,26.83888946339955,1200
ID06,F,70.17076298886364,1194
ID06,G,93.54629174671099,1152
ID06,H,35.18319029639898,1176
ID07,A,25.186283102285362,1201
ID07,B,30.542616924174144,1197
ID07,C,24.487802263343873,1200
ID07,D,20.20225585326177,1199
ID07,E,21.96529754908069,1201
ID07,F,93.59475442414767,1193
ID07,G,118.17556970169504,1120
ID07,H,43.390459089879286,1187
ID08,A,31.838571193493753,1198
ID08,B,27.513506056891465,1201
ID08,C,22.633386563744278,1201
ID08,D,17.480989137756534,1200
ID08,E,22.95195778324409,1201
ID08,F,82.87788274896836,1188
ID08,G,96.06734056537546,1131
ID08,H,40.737937764526976,1171
ID09,A,19.83799131406046,1194
ID09,B,24.638544106134415,1199
ID09,C,21.9725913948716,1197
ID09,D,20.227464834015723,1200
ID09,E,36.627615766726294,1198
ID09,F,120.96038959892405,1195
ID09,G,101.00250199881728,1161
ID09,H,38.52914073020766,1184
ID10,A,16.208493450621432,1200
ID10,B,27.43259614747587,1201
ID10,C,31.71517721849517,1201
ID10,D,26.10339253697552,1199
ID10,E,22.074125432274275,1201
ID10,F,89.33338840686146,1173
ID10,G,94.9539389814315,1139
ID10,H,44.8956063358592,1182
ID11,A,22.313545724213505,1201
ID11,B,18.541742974461826,1199
ID11,C,17.11755218199256,1198
ID11,D,19.03827320207354,1201
ID11,E,18.92873256344721,1201
ID11,F,82.42739679901881,1194
ID11,G,90.41675916275429,1137
ID11,H,48.19093770632602,1179
ID12,A,16.675161408238278,1199
ID12,B,31.679387310200752,1201
ID12,C,20.617607302371024,1199
ID12,D,29.515687742713027,1201
ID12,E,20.884464072083087,1201
ID12,F,82.58272035615384,1190
ID12,G,97.42018307162537,1136
ID12,H,55.29157971585011,1177
ID13,A,14.523146625705484,1199
ID13,B,37.65438618366104,1199
ID13,C,22.315985976694105,1198
ID13,D,30.31827689619663,1199
ID13,E,20.89987192937516,1195
ID13,F,103.18926513326664,1192
ID13,G,94.60242449917342,1137
ID13,H,39.26655064107752,1179
ID14,A,22.12450037319551,1198
ID14,B,21.049792909808748,1199
ID14,C,21.96111774991103,1196
ID14,D,27.768876607854956,1200
