mode,heldout_position,train_links,delta_tag_mm,rms_train_mm,rho_distance_percent,elevation_coeff_mm_per_deg
distance_rho,ID01,184,-171.38938535073328,95.4707734089193,8.0523571606129,nan
distance_rho,ID02,184,-157.7780664182711,96.24841979374649,7.746452511622337,nan
distance_rho,ID03,184,-138.39189607457826,91.85093569398593,7.11333773540872,nan
distance_rho,ID04,184,-179.41406784181555,94.28609576343419,8.157136395988118,nan
distance_rho,ID05,184,-146.7498776931585,92.15987741336562,7.317683348136761,nan
distance_rho,ID06,184,-181.4956015250669,95.50814070045666,8.242506894729473,nan
distance_rho,ID07,184,-150.6654769280035,95.18464351231025,7.523300990959925,nan
distance_rho,ID08,184,-157.87962503108545,94.14189930814047,7.662913464883303,nan
distance_rho,ID09,184,-178.00927653471214,94.67888185840253,8.186076286046173,nan
distance_rho,ID10,184,-173.131697185561,96.24749376353556,8.055623193294181,nan
distance_rho,ID11,184,-191.03262305829023,96.05933280747045,8.495870918487292,nan
distance_rho,ID12,184,-177.52223079048133,95.63605927623816,8.182968052992123,nan
distance_rho,ID13,184,-156.01518693079709,96.60136432077914,7.679074682688025,nan
distance_rho,ID14,184,-152.96032010340636,96.40781850845688,7.632945999712781,nan
distance_rho,ID15,184,-153.74550784741785,96.4478486858105,7.645960329086066,nan
distance_rho,ID16,184,-157.16663442290277,96.74889897464602,7.687433410372968,nan
distance_rho,ID17,184,-153.04508803772416,95.85831172776918,7.666517010662766,nan
distance_rho,ID18,184,-159.6853714099253,95.88556564358785,7.835805960977638,nan
distance_rho,ID19,184,-127.59827833669618,89.54965678191711,6.849482840148546,nan
distance_rho,ID20,184,-148.11485472789704,94.24732232354938,7.438644735136535,nan
distance_rho,ID21,184,-153.33615091218945,95.48834927919552,7.569000086278876,nan
distance_rho,ID22,184,-158.30208388449512,94.4572491303323,7.684915548277971,nan
distance_rho,ID23,184,-157.15332281815915,95.38151466910658,7.646698815256769,nan
distance_rho,ID24,184,-147.63086282632443,90.97509772552478,7.336224239255529,nan
elevation_beta,ID01,184,60.42454858535082,94.2429942881306,nan,2.0604384894705916
elevation_beta,ID02,184,62.14065734769651,94.28632482713263,nan,2.0806234563202644
elevation_beta,ID03,184,62.11442923468262,90.27321493712644,nan,1.9210443992254653
elevation_beta,ID04,184,58.53395321569162,93.2015332729731,nan,2.007490079549491
elevation_beta,ID05,184,55.128993159545814,89.29708871960695,nan,2.104740690668006
elevation_beta,ID06,184,54.39221271707355,93.74865544840463,nan,2.1379890480181842
elevation_beta,ID07,184,65.38629283391587,94.01010617534409,nan,1.9340579886372282
elevation_beta,ID08,184,58.82295902060343,92.02066841149639,nan,2.075255694244696
elevation_beta,ID09,184,56.38260153588534,93.04753365880238,nan,2.12432525095722
elevation_beta,ID10,184,53.42490813636289,94.11821220252548,nan,2.1811223268845623
elevation_beta,ID11,184,58.20797439696792,94.58988969800386,nan,2.0835482562711682
elevation_beta,ID12,184,56.7942175962599,93.83926939560502,nan,2.119437099318098
elevation_beta,ID13,184,61.276274623326294,94.62111679776355,nan,2.0838926579958468
elevation_beta,ID14,184,62.499972635167694,94.37084421618879,nan,2.0841408835237374
elevation_beta,ID15,184,62.306452737209,94.43622872484248,nan,2.0822908094012327
elevation_beta,ID16,184,60.98501262378564,94.8496453310355,nan,2.071545328322806
elevation_beta,ID17,184,61.99835596204311,94.08630075791326,nan,2.1013749992927515
elevation_beta,ID18,184,57.491754107108385,93.67424043451375,nan,2.2101104842469894
elevation_beta,ID19,184,66.99090046946593,88.34402307778718,nan,1.818518851241425
elevation_beta,ID20,184,60.19081544204435,92.50287924729494,nan,2.0478841628232125
elevation_beta,ID21,184,59.468984065912935,93.70630669692375,nan,2.064291421943974
elevation_beta,ID22,184,58.60706615540983,92.71517153567301,nan,2.0754798203226255
elevation_beta,ID23,184,58.09302288599074,93.59567289666911,nan,2.0791510599391074
elevation_beta,ID24,184,58.22344427448098,89.16239921046986,nan,2.0104458801141796
distance_plus_elevation,ID01,184,-124.84945836142958,92.71268314132303,5.2021141129287685,1.5824981276511938
distance_plus_elevation,ID02,184,-99.17391164044152,93.12297636022147,4.531682403145254,1.6495660551537183
distance_plus_elevation,ID03,184,-91.66014425240823,89.1664723323407,4.321400197515857,1.519766393354091
distance_plus_elevation,ID04,184,-125.22765304118329,91.79626485396204,5.179819629257665,1.5179240858719183
distance_plus_elevation,ID05,184,-70.96522096425187,88.60785068430438,3.5610710444018423,1.7518279707977005
distance_plus_elevation,ID06,184,-120.3749814897748,92.47435178913555,4.9277435025469885,1.6704302037096395
distance_plus_elevation,ID07,184,-104.08206532438722,92.75767988774906,4.765122343038186,1.4913682019879981
distance_plus_elevation,ID08,184,-95.50614642926294,90.95517122655129,4.343662585488062,1.656795304960534
distance_plus_elevation,ID09,184,-122.66662027801418,91.62290480377855,5.0403526652115005,1.6488118617338037
distance_plus_elevation,ID10,184,-108.48801447485582,93.05594560206072,4.570408887345678,1.743567318012028
distance_plus_elevation,ID11,184,-119.09827333608081,93.33185774677595,5.015059319797643,1.5812574939730313
distance_plus_elevation,ID12,184,-112.20633910714179,92.67515463767145,4.773436295406341,1.6582133753623074
