method,registration,position,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,anchor_fit_rms_mm,anchor_fit_det
production_baseline_T4_mean,anchor_only_3d_rigid,ID01,-476.7935696639903,58.094269984250374,-392.3068898926565,-542.215344349341,182.54280058407932,-383.3240609304319,65.42177468535067,-124.44853059982894,-8.982828962224573,66.0355950919303,124.44853059982894,140.88341487769927,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID02,-524.802306688745,1053.281354307478,-234.51393344995859,-543.22998,1105.589,-259.92136,18.42767331125492,-52.307645692521874,25.407426550041407,31.386565080653313,52.307645692521874,61.0016906770336,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID03,-565.373583561396,1797.3671981992338,-271.8646680673269,-554.00287,1625.56145,-256.2951,-11.370713561395974,171.8057481992339,-15.569568067326884,19.2796415085561,171.8057481992339,172.88412214832513,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID04,-247.76452707107126,-86.6942641337082,489.09294699557586,-321.178815,182.16379,479.93382,73.41428792892873,-268.8580541337082,9.159126995575832,73.98342570760519,268.8580541337082,278.85157441190233,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID05,-168.29606203204548,1081.1042247191203,516.3496977411169,-184.9818897969324,1103.586616559577,473.7040289339493,16.68582776488691,-22.482391840456557,42.64566880716757,45.7937759549275,22.482391840456557,51.0149768115004,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID06,-211.10435843889286,1820.2371219367283,472.70538771440897,-193.231255,1684.95255,476.52298,-17.873103438892855,135.2845719367283,-3.817592285591047,18.276264317315174,135.2845719367283,136.5135057109742,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID07,343.95176549189637,51.9592420852787,88.9593708766663,352.14755,211.565355,53.795866,-8.195784508103657,-159.6061129147213,35.1635048766663,36.10599616288971,159.6061129147213,163.63909752458724,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID08,456.05345706216644,1126.1908740846375,-94.88509803700163,391.90054,1132.2804,-71.53192899999999,64.15291706216647,-6.089525915362628,-23.353169037001635,68.2712770618507,6.089525915362628,68.54231975597159,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID09,442.17858395546955,1561.087894606289,-63.339319303212505,408.80994,1568.1853500000002,-62.4257885,33.368643955469565,-7.097455393711243,-0.9135308032125025,33.38114644459225,7.097455393711243,34.127332316210044,105.41990950811795,-1.0000000000000009
production_baseline_T4_mean,anchor_only_3d_rigid,ID10,92.35885145619568,131.8044223736407,-990.2216805701531,65.499245,238.64973,-938.19342,26.859606456195678,-106.8453076263593,-52.02826057015318,58.55235569076162,106.8453076263593,121.83717872106534,105.41990950811795,-1.0000000000000009
