mode,position,headline_err_3d_mm,selector_err_3d_mm,delta_vs_headline_mm
B3_frame_exhaustive_t2_g2,ID22,62.095357033606646,161.48348013359853,99.38812309999189
B3_frame_exhaustive_t2_g2,ID20,31.63057705117337,113.95481508250298,82.3242380313296
B3_frame_exhaustive_t2_g2,ID24,33.71291329182153,99.24496361573725,65.53205032391571
B3_frame_exhaustive_t2_g2,ID05,49.32433294804855,104.03548648918465,54.7111535411361
B1_session_t2_g1.5,ID24,33.71291329182153,87.71414599167805,54.00123269985652
B2_frame_greedy_tau4_t2_g1.5,ID24,33.71291329182153,84.17860960425061,50.46569631242908
B3_frame_exhaustive_t2_g2,ID16,36.83527472994619,68.75506611002925,31.919791380083055
B3_frame_exhaustive_t2_g2,ID06,23.1217811128227,54.12910269638986,31.00732158356716
B3_frame_exhaustive_t2_g2,ID12,49.57377509940924,79.86227208977218,30.288496990362937
B2_frame_greedy_tau4_t2_g1.5,ID22,62.095357033606646,92.20349640251705,30.1081393689104
B2_frame_greedy_tau4_t2_g1.5,ID06,23.1217811128227,47.23749390468877,24.11571279186607
B3_frame_exhaustive_t2_g2,ID14,92.2017170132213,111.05274445958429,18.85102744636299
B3_frame_exhaustive_t2_g2,ID19,27.36947919729796,43.16594915185198,15.796469954554023
B3_frame_exhaustive_t2_g2,ID21,15.165652889438473,27.295765793722538,12.130112904284065
B3_frame_exhaustive_t2_g2,ID11,37.287785927742696,47.38790828622831,10.100122358485613
B2_frame_greedy_tau4_t2_g1.5,ID12,49.57377509940924,55.80113505074832,6.227359951339082
B3_frame_exhaustive_t2_g2,ID01,89.0878819225367,95.2105693920304,6.122687469493698
B2_frame_greedy_tau4_t2_g1.5,ID11,37.287785927742696,42.02502924961263,4.737243321869933
B3_frame_exhaustive_t2_g2,ID23,30.567285135008277,34.135093770397695,3.5678086353894187
B2_frame_greedy_tau4_t2_g1.5,ID01,89.0878819225367,92.0346863040081,2.9468043814714093
B3_frame_exhaustive_t2_g2,ID09,42.31421972466543,44.9066851372659,2.5924654126004754
B3_frame_exhaustive_t2_g2,ID10,67.71534316691792,70.00279166872262,2.287448501804704
B2_frame_greedy_tau4_t2_g1.5,ID10,67.71534316691792,69.75770316043496,2.0423599935170387
B3_frame_exhaustive_t2_g2,ID02,61.38344543349298,63.14027314627149,1.7568277127785095
B3_frame_exhaustive_t2_g2,ID15,45.2084792199897,46.63426535310966,1.4257861331199635
B2_frame_greedy_tau4_t2_g1.5,ID17,48.77925114135247,50.13185291135736,1.3526017700048953
B2_frame_greedy_tau4_t2_g1.5,ID18,78.65817248388592,79.55000180457985,0.8918293206939296
B2_frame_greedy_tau4_t2_g1.5,ID21,15.165652889438473,15.709368820345896,0.5437159309074229
B2_frame_greedy_tau4_t2_g1.5,ID02,61.38344543349298,61.71956521799907,0.3361197845060886
B2_frame_greedy_tau4_t2_g1.5,ID09,42.31421972466543,42.59520253050271,0.28098280583728297
B2_frame_greedy_tau4_t2_g1.5,ID14,92.2017170132213,92.45461537437663,0.2528983611553315
B3_frame_exhaustive_t2_g2,ID17,48.77925114135247,48.83406026161763,0.05480912026516194
