position,fit,heldout_facing,delta_tag_for_position_mm,train_rms_mm,train_links,rank,delta_tag_ABEF_mm,delta_tag_BCGF_mm,delta_tag_CDHG_mm,delta_tag_ADHE_mm,common_offset_c_p_mm
ID01,global_additive_only,ABEF,146.19103775719037,99.67993172011285,184,8,,,,,
ID02,global_additive_only,ABEF,148.58805421322126,100.22874905508046,184,8,,,,,
ID03,global_additive_only,ABEF,142.304920191119,95.31719505856275,184,8,,,,,
ID04,global_additive_only,BCGF,142.04350046304495,98.39364596834925,184,8,,,,,
ID05,global_additive_only,BCGF,142.44937634921507,95.6606063724839,184,8,,,,,
ID06,global_additive_only,BCGF,143.3870839105358,99.69829709854271,184,8,,,,,
ID07,global_additive_only,CDHG,146.0435978259041,98.813734366075,184,8,,,,,
ID08,global_additive_only,CDHG,145.0578827238916,98.05397326934143,184,8,,,,,
ID09,global_additive_only,CDHG,145.00355707956436,99.04727847608325,184,8,,,,,
ID10,global_additive_only,ADHE,144.42676742658378,100.13712977658315,184,8,,,,,
ID11,global_additive_only,ADHE,144.6324914240805,100.48761580413691,184,8,,,,,
ID12,global_additive_only,ADHE,145.15334775281508,99.71218327696484,184,8,,,,,
ID13,global_additive_only,ABEF,147.87685974213457,100.56165976585073,184,8,,,,,
ID14,global_additive_only,BCGF,149.10846195698537,100.3289942843871,184,8,,,,,
ID15,global_additive_only,CDHG,148.83780908158298,100.38029761978744,184,8,,,,,
ID16,global_additive_only,ADHE,147.06667658906622,100.71226091981669,184,8,,,,,
ID17,global_additive_only,ABEF,149.60115290055026,99.74393650896661,184,8,,,,,
ID18,global_additive_only,BCGF,149.6154101522273,99.94134239970424,184,8,,,,,
ID19,global_additive_only,CDHG,142.7890001653928,92.87765572260736,184,8,,,,,
ID20,global_additive_only,ADHE,145.53657738046778,97.9745609681505,184,8,,,,,
ID21,global_additive_only,ABEF,145.60116022820617,99.33429190603613,184,8,,,,,
ID22,global_additive_only,BCGF,145.20685146116762,98.45920501860121,184,8,,,,,
ID23,global_additive_only,CDHG,144.8464099913715,99.30811350108843,184,8,,,,,
ID24,global_additive_only,ADHE,142.10994052630875,94.76429107146292,184,8,,,,,
ID01,per_facing_delta_tag,ABEF,117.20604982656351,99.35108521448483,184,11,117.20604982656351,151.53697083545174,148.59460929974918,162.59568974522625,
ID02,per_facing_delta_tag,ABEF,128.23232552430574,100.04958325819308,184,11,128.23232552430574,151.5369708354517,148.59460929974924,162.59568974522614,
ID03,per_facing_delta_tag,ABEF,99.32990902263529,94.60447011248034,184,11,99.32990902263529,151.53697083545168,148.5946092997491,162.59568974522614,
ID04,per_facing_delta_tag,BCGF,136.54888167402365,98.06240050079076,184,11,119.51905133501101,136.54888167402365,148.59460929974887,162.59568974522608,
ID05,per_facing_delta_tag,BCGF,138.41591075040617,95.3249350459131,184,11,119.5190513350111,138.41591075040617,148.59460929974898,162.59568974522614,
ID06,per_facing_delta_tag,BCGF,142.72936553248138,99.38179820257426,184,11,119.51905133501107,142.72936553248138,148.594609299749,162.59568974522608,
ID07,per_facing_delta_tag,CDHG,151.4184957003323,98.47265824137676,184,11,119.51905133501121,151.536970835452,151.4184957003323,162.59568974522605,
ID08,per_facing_delta_tag,CDHG,146.88420623107473,97.71932553914645,184,11,119.51905133501114,151.53697083545205,146.88420623107473,162.59568974522608,
ID09,per_facing_delta_tag,CDHG,146.63430826716933,98.71623592597274,184,11,119.51905133501116,151.53697083545194,146.63430826716933,162.59568974522608,
ID10,per_facing_delta_tag,ADHE,160.7823723980314,99.83995167943715,184,11,119.51905133501108,151.53697083545165,148.594609299749,160.7823723980314,
ID11,per_facing_delta_tag,ADHE,161.72870278651627,100.182891059876,184,11,119.51905133501111,151.5369708354517,148.594609299749,161.72870278651627,
