mode,positions,improved_vs_headline,worse_or_equal_vs_headline,median_delta_vs_headline_mm,max_worse_delta_mm,max_better_delta_mm
B1_session_t2_g1.5,24,0,24,0.0,54.00123269985652,0.0
B2_frame_greedy_tau4_t2_g1.5,24,11,13,0.2669405834963072,50.46569631242908,-17.32914118370165
B3_frame_exhaustive_t2_g2,24,6,18,4.845248052441558,99.38812309999189,-100.21598894196728
