trial,train_pairs,heldout_pairs,train_rms_mm,heldout_rms_mm,heldout_median_abs_mm,heldout_p95_abs_mm
0,"A-C,A-D,A-E,A-F,A-G,B-C,B-D,B-E,B-F,B-G,C-D,C-E,C-F,C-H,D-E,D-F,D-H,E-G,F-G,F-H,G-H","A-B,A-H,B-H,C-G,D-G,E-F,E-H",45.34830566253634,59.97158490485452,32.0588649807039,104.64740936004942
1,"A-B,A-E,A-F,A-G,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-E,D-G,D-H,E-F,E-H,F-G","A-C,A-D,A-H,D-F,E-G,F-H,G-H",38.769776996758175,71.56462336737542,38.02122893512254,117.65419765531915
2,"A-B,A-C,A-F,A-G,A-H,B-C,B-E,B-G,B-H,C-E,C-F,C-G,C-H,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-D,A-E,B-D,B-F,C-D,D-E,D-F",38.57834697955192,79.77613339524021,77.43079550467837,122.1852554679463
3,"A-B,A-C,A-D,A-E,A-G,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-E,D-E,D-G,D-H,E-F,E-G,E-H,F-G,G-H","A-F,C-D,C-F,C-G,C-H,D-F,F-H",42.26635388812756,60.218777556366746,27.351611615869274,107.94416345962851
4,"A-C,A-E,A-G,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-E,D-F,D-H,E-F,E-H,F-H,G-H","A-B,A-D,A-F,A-H,D-G,E-G,F-G",39.25130372790918,78.58462543142441,44.45181287338076,137.05922404799773
5,"A-C,A-D,A-F,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-G","A-B,A-E,B-E,C-D,C-E,F-H,G-H",46.89537540004984,41.4308178295662,28.28369455121316,72.66204059798338
6,"A-B,A-D,A-F,A-H,B-C,B-D,B-E,B-F,B-G,B-H,C-D,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,F-H,G-H","A-C,A-E,A-G,C-E,C-F,E-H,F-G",41.46767136042749,64.82629764437195,37.65651649720132,100.53933144424954
7,"A-B,A-D,A-F,A-H,B-C,B-E,B-F,B-G,B-H,C-E,C-F,C-G,D-F,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-C,A-E,A-G,B-D,C-D,C-H,D-E",40.3253191170159,78.82688788814355,84.57739860781808,102.53303112733575
8,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-D,B-E,B-F,B-G,C-E,C-F,C-G,C-H,D-G,E-G,E-H,F-G,F-H,G-H","B-C,B-H,C-D,D-E,D-F,D-H,E-F",42.56208838208215,62.76852502946644,50.30032473815345,99.71922563468559
9,"A-B,A-C,A-D,A-E,A-G,A-H,B-C,B-D,B-E,B-F,C-D,C-E,C-G,D-E,D-F,D-G,D-H,E-F,E-G,F-H,G-H","A-F,B-G,B-H,C-F,C-H,E-H,F-G",36.275512125083765,73.00771302102127,49.84027178262804,127.40994938981557
10,"A-D,A-E,A-F,A-G,A-H,B-C,B-E,B-F,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-F,D-H,E-F,E-G,E-H,G-H","A-B,A-C,B-D,D-E,D-G,F-G,F-H",48.87481162200779,27.589935432971647,16.659070206477963,47.34808112242498
11,"A-C,A-D,A-E,A-F,B-C,B-D,B-E,B-G,B-H,C-D,C-E,C-F,C-G,D-E,D-F,D-G,E-F,E-G,E-H,F-G,F-H","A-B,A-G,A-H,B-F,C-H,D-H,G-H",35.46162772340511,78.85250806934789,40.19807216118815,137.85178722538566
12,"A-B,A-C,A-D,A-E,A-G,B-D,B-F,B-G,C-D,C-E,C-F,C-G,C-H,D-F,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-F,A-H,B-C,B-E,B-H,D-E,D-G",44.66095621838554,46.963872740219415,37.53896526947955,76.74600344191713
13,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-E,B-F,B-H,C-E,C-F,C-H,D-F,D-H,E-F,E-G,E-H,F-H","B-G,C-D,C-G,D-E,D-G,F-G,G-H",36.952314137692696,113.9148778793769,98.27853927204228,182.84734125145255
14,"A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-F,B-G,B-H,C-E,D-E,D-F,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-B,B-E,C-D,C-F,C-G,C-H,D-G",45.10568171332564,48.49773235803664,28.682656856366606,90.15192117484636
15,"A-B,A-C,A-F,A-H,B-C,B-D,B-E,B-G,B-H,C-D,C-E,C-F,C-G,C-H,D-E,D-F,D-H,E-G,E-H,F-H,G-H","A-D,A-E,A-G,B-F,D-G,E-F,F-G",41.81367961789292,60.13620613364543,37.37285143429857,108.60875473465151
16,"A-B,A-C,A-D,A-F,A-G,B-C,B-D,B-E,B-F,B-H,C-D,C-E,C-G,C-H,D-F,D-G,D-H,E-F,E-G,E-H,F-H","A-E,A-H,B-G,C-F,D-E,F-G,G-H",31.36164213311784,86.21483199803548,81.04954175056996,124.59294379399009
17,"A-B,A-D,A-E,A-F,A-G,B-C,B-D,B-E,B-F,B-G,C-D,C-E,C-H,D-E,D-F,D-G,D-H,E-F,E-G,F-H,G-H","A-C,A-H,B-H,C-F,C-G,E-H,F-G",43.619421865476596,52.12065807706044,18.230042307598893,89.95431471717406
18,"A-B,A-D,A-E,A-G,A-H,B-C,B-D,B-F,B-G,C-E,C-F,C-G,C-H,D-E,D-F,D-G,D-H,E-F,E-G,E-H,F-H","A-C,A-F,B-E,B-H,C-D,F-G,G-H",45.362735090880086,52.77477852794699,51.19935026203842,78.31087382724482
19,"A-B,A-D,A-F,A-H,B-D,B-E,B-F,B-G,B-H,C-D,C-E,C-G,D-E,D-G,D-H,E-F,E-G,E-H,F-G,F-H,G-H","A-C,A-E,A-G,B-C,C-F,C-H,D-F",37.85048169105103,72.1561527086053,61.763750340509404,97.7465981828474
20,"A-B,A-C,A-D,A-E,A-F,A-G,A-H,B-C,B-D,B-F,B-H,C-D,C-E,C-F,C-H,D-E,D-G,E-F,E-G,E-H,F-G","B-E,B-G,C-G,D-F,D-H,F-H,G-H",36.258333906041955,74.25566316872445,48.75153995353733,133.47932351028004
