fit,positions,delta_tag_for_position_median_mm,delta_tag_for_position_min_mm,delta_tag_for_position_max_mm,train_rms_median_mm,rank_median
global_additive_only,24,145.18009960699135,142.04350046304495,149.6154101522273,99.50711181307449,8.0
per_facing_delta_tag,24,146.75925724912202,99.32990902263529,172.92595454545085,99.16478178413911,11.0
position_common_offset_oracle,24,91.70160540233476,-3.8479915612544744,159.6486169736446,nan,24.0
