variant,pair,autopos_distance_mm,vicon_distance_mm,scale_error_percent,positive
baseline_v4io,A-B,2862.3469272697457,2665.0643575793506,7.402544299890179,True
baseline_v4io,A-C,3644.650916834253,3414.1085019320158,6.752638786136278,True
baseline_v4io,A-D,2340.7177833540227,2165.8598471827554,8.073372632985176,True
baseline_v4io,A-E,1497.6301651820372,1403.6365517390243,6.6964352934924865,True
baseline_v4io,A-F,3286.872192664949,3074.024420727174,6.924075505145955,True
baseline_v4io,A-G,4017.1480015328466,3734.3841559079856,7.571900313938351,True
baseline_v4io,A-H,2680.6710386428076,2517.200327023951,6.494147877857848,True
baseline_v4io,B-C,2168.284697259888,2179.133082966119,-0.4978303432236819,False
baseline_v4io,B-D,3554.810795056832,3440.4790686576366,3.323133904250253,True
baseline_v4io,B-E,3050.5248206491387,2955.9630981271275,3.199015663690963,True
baseline_v4io,B-F,1534.000492907085,1392.3829235074895,10.170878068717837,True
baseline_v4io,B-G,2793.919720904992,2658.9595708272213,5.075675145966341,True
baseline_v4io,B-H,3870.078264264655,3745.511858044666,3.3257512174856174,True
baseline_v4io,C-D,2754.659790607299,2636.9464765477865,4.464000885358099,True
baseline_v4io,C-E,3826.1646722148885,3718.707957323416,2.889625002142293,True
baseline_v4io,C-F,2604.5213427640815,2566.2905209564447,1.4897308584294056,True
baseline_v4io,C-G,1503.08739720436,1406.489122081887,6.868042817102493,True
baseline_v4io,C-H,3257.629269907508,3091.2461466183227,5.382396464002093,True
baseline_v4io,D-E,2800.988825739559,2660.813628381067,5.268132869710973,True
baseline_v4io,D-F,3853.1288115959287,3737.3010362894142,3.0992358972911083,True
baseline_v4io,D-G,3073.305002458993,2964.7456840920613,3.6616738814876593,True
baseline_v4io,D-H,1538.7616107357455,1395.6256482556894,10.256042704499823,True
baseline_v4io,E-F,2713.1218963419647,2682.8449302921804,1.128539547997165,True
baseline_v4io,E-G,3621.6732946072734,3495.0033830335615,3.6243144195118315,True
baseline_v4io,E-H,2246.5943630542374,2198.9630417696453,2.1660810290954347,True
baseline_v4io,F-G,2302.9558080046786,2236.1352352837457,2.988216976620106,True
baseline_v4io,F-H,3540.7745084261496,3509.9137150979086,0.8792464953053747,True
baseline_v4io,G-H,2823.2774029349284,2739.7245543524423,3.0496806129561627,True
V-A_unbounded,A-B,2866.751446697462,2665.0643575793506,7.567813082806807,True
V-A_unbounded,A-C,3620.207644359726,3414.1085019320158,6.036689879981272,True
V-A_unbounded,A-D,2201.2829727117132,2165.8598471827554,1.6355225189217393,True
V-A_unbounded,A-E,1501.4630436156372,1403.6365517390243,6.9695030209502296,True
V-A_unbounded,A-F,3295.7391875723474,3074.024420727174,7.212524576910351,True
V-A_unbounded,A-G,4026.460274145339,3734.3841559079856,7.821265998445126,True
V-A_unbounded,A-H,2687.256744649197,2517.200327023951,6.7557760818464985,True
V-A_unbounded,B-C,2253.9394037130137,2179.133082966119,3.4328477380129563,True
V-A_unbounded,B-D,3421.972232966735,3440.4790686576366,-0.537914497416847,False
V-A_unbounded,B-E,3065.264208260521,2955.9630981271275,3.6976479917034677,True
V-A_unbounded,B-F,1552.7724892218644,1392.3829235074895,11.519070149922882,True
V-A_unbounded,B-G,2890.1527732151258,2658.9595708272213,8.694874676713438,True
V-A_unbounded,B-H,3956.088282388365,3745.511858044666,5.622100058004609,True
V-A_unbounded,C-D,2599.4794998081843,2636.9464765477865,-1.4208470696247422,False
V-A_unbounded,C-E,3790.507015470474,3718.707957323416,1.930752803689817,True
V-A_unbounded,C-F,2589.8514983012597,2566.2905209564447,0.9180947033243125,True
V-A_unbounded,C-G,1488.523876824803,1406.489122081887,5.832590771941981,True
V-A_unbounded,C-H,3230.294158160954,3091.2461466183227,4.498121629516416,True
V-A_unbounded,D-E,2609.2402613933587,2660.813628381067,-1.93825551844784,False
V-A_unbounded,D-F,3645.33314333781,3737.3010362894142,-2.4608104099346217,False
V-A_unbounded,D-G,2929.9315147455636,2964.7456840920613,-1.1742716932956587,False
V-A_unbounded,D-H,1418.5155922766037,1395.6256482556894,1.6401206189871287,True
V-A_unbounded,E-F,2726.6720888501172,2682.8449302921804,1.6336075955446283,True
V-A_unbounded,E-G,3621.3585677180645,3495.0033830335615,3.6153093670207026,True
V-A_unbounded,E-H,2268.0916615799356,2198.9630417696453,3.1436917536666664,True
V-A_unbounded,F-G,2316.6635697503634,2236.1352352837457,3.6012282797555972,True
V-A_unbounded,F-H,3597.4421077421953,3509.9137150979086,2.493747702907423,True
