anchor,delta_full_mm,delta_full_boot_median_mm,delta_full_ci95_low_mm,delta_full_ci95_high_mm,delta_additive_only_mm,delta_additive_boot_median_mm,delta_additive_ci95_low_mm,delta_additive_ci95_high_mm,bootstrap_n,bootstrap_method
A,294.24882952196805,293.781230348452,206.1804916872183,381.49570629066125,297.4579081426198,296.9081592008763,232.2543069398751,364.47687486053377,5000,fixed_design_residual_bootstrap
B,189.7905730582065,189.65550584013644,98.17472005752232,276.82453440817943,193.02545140749646,192.6235987153098,125.9651699564603,261.5476670129979,5000,fixed_design_residual_bootstrap
C,251.42253461503458,250.72979892656582,160.1823452507561,342.8650254740249,254.6475122422171,255.12894230839527,188.30196719080683,322.02775302053345,5000,fixed_design_residual_bootstrap
D,226.35491576628363,227.63858295918152,138.08603966281456,317.3672397461656,229.5755995305886,229.05375463858476,161.35016713512417,296.89607361808913,5000,fixed_design_residual_bootstrap
E,95.17011283293775,94.93075690004912,3.9065293430151855,185.74134900963213,98.43635317756653,98.08501755417156,29.879744019319016,164.8603354249236,5000,fixed_design_residual_bootstrap
F,97.8849390508256,98.32748268452835,6.013504361677579,188.34208820447373,101.18412980089232,100.60997394690777,31.817695698370006,168.64380005598315,5000,fixed_design_residual_bootstrap
G,168.43794491405083,168.92733452660352,74.73232697626752,258.9595501045428,171.7517867736148,172.2061179017924,102.56200560622268,237.59359027670357,5000,fixed_design_residual_bootstrap
H,167.8740943058396,168.3580475110411,78.22466403370926,260.630338749723,171.1729003092354,171.25457319112755,104.466038428824,236.53884177720306,5000,fixed_design_residual_bootstrap
