variant,position,frames_input,frames_solved,delta_tag_train_mm,rho_tag_train_percent,anchor_delay_min_mm,anchor_delay_max_mm,correction_description,anchor_registration,anchor_registration_det,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,d3_std_mm,pct_solved_ge8,residual_rms_median_mm
V-B_tagfit_delta_only_LOO_T4,ID09,1201,1201,-178.00927653471214,8.186076286046173,-55.17633235242441,74.84375728588908,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-41.26770779526407,280.0239658829182,52.7192255663013,66.95028342722573,280.0239658829182,287.916241153193,171.99845101468517,93.42214820982515,164.6256817189843
V-B_tagfit_delta_plus_rho_LOO_T4,ID09,1201,1201,-178.00927653471214,8.186076286046173,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-59.84235941838131,-31.00064889851501,28.025381431825103,66.07972446339359,31.00064889851501,72.990206310758,55.28757475079619,93.42214820982515,112.00403357790995
V-B_tagfit_delta_only_LOO_T4,ID10,1201,1201,-173.131697185561,8.055623193294181,-53.94578062762936,71.5575345140671,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,22.76688242479733,-304.88611541139915,-110.51291835584664,112.83366544994703,304.88611541139915,325.09533898461785,63.349809839762614,90.75770191507078,97.45440836302424
V-B_tagfit_delta_plus_rho_LOO_T4,ID10,1201,1201,-173.131697185561,8.055623193294181,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-26.584934747828385,-41.24545654557514,14.831156668087601,30.442108397081377,41.24545654557514,51.26314123532209,41.27388442421725,90.75770191507078,58.48522880251654
V-B_tagfit_delta_only_LOO_T4,ID11,1201,1201,-191.03262305829023,8.495870918487292,-62.1725745129175,61.66266775345646,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-59.220031010107235,251.57025660696445,-127.39204427521429,140.48396711887167,251.57025660696445,288.13770844294254,90.09116008970805,91.84013322231473,175.677830357047
V-B_tagfit_delta_plus_rho_LOO_T4,ID11,1201,1201,-191.03262305829023,8.495870918487292,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-36.062972949891176,-22.663952515294113,69.47751340805326,78.27938992704786,22.663952515294113,81.49427974383423,31.60566962450572,91.84013322231473,49.28640144510987
V-B_tagfit_delta_only_LOO_T4,ID12,1201,1201,-177.52223079048133,8.182968052992123,-52.21278207402907,65.75202997336405,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,82.27372537371988,264.4702420711012,-97.76194582775452,127.77466078569368,264.4702420711012,293.71903731294975,48.69504277158135,91.3405495420483,122.6771176269819
V-B_tagfit_delta_plus_rho_LOO_T4,ID12,1201,1201,-177.52223079048133,8.182968052992123,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,33.42282228574536,-13.246309705540625,74.6448437572617,81.78592635099591,13.246309705540625,82.85168960199681,39.54469613741526,91.3405495420483,74.6727709480365
V-B_tagfit_delta_only_LOO_T4,ID13,1200,1200,-156.01518693079709,7.679074682688025,-41.66716519993314,80.98304791718331,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,44.787918732976664,-24.41755100711066,-35.359248217054926,57.06342172449023,24.41755100711066,62.068114971310955,186.18252582587743,91.66666666666666,143.82442330687758
V-B_tagfit_delta_plus_rho_LOO_T4,ID13,1200,1200,-156.01518693079709,7.679074682688025,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,-5.050592506297335,-53.57501900066177,12.653592237598161,13.624312136033556,53.57501900066177,55.28023645120687,52.689446629529684,91.66666666666666,43.068018772377016
V-B_tagfit_delta_only_LOO_T4,ID14,1201,1201,-152.96032010340636,7.632945999712781,-42.144949525004925,79.530921391658,layout d_anchor = 0.5*Delta_i + 0.5*Delta_tag,3D rigid/reflection fitted from anchors only,0.9999999999999998,-0.6720534658215058,9.678976330247451,-17.50508568815536,17.517981642032407,9.678976330247451,20.014051654077313,120.95432928145235,91.9233971690258,125.47926077604366
V-B_tagfit_delta_plus_rho_LOO_T4,ID14,1201,1201,-152.96032010340636,7.632945999712781,0.0,0.0,range' = (range - additive)/(1+rho_tag),3D rigid/reflection fitted from anchors only,0.9999999999999998,10.89585587561939,-89.55866459354979,23.241653365944956,25.668933099079325,89.55866459354979,93.16463132661964,46.497697788241744,91.9233971690258,58.90950189299837
