position,loo_delta_tag_mm
ID01,-171.38938535073328
ID02,-157.7780664182711
ID03,-138.39189607457826
ID04,-179.41406784181555
ID05,-146.7498776931585
ID06,-181.4956015250669
ID07,-150.6654769280035
ID08,-157.87962503108545
ID09,-178.00927653471214
ID10,-173.131697185561
ID11,-191.03262305829023
ID12,-177.52223079048133
ID13,-156.01518693079709
ID14,-152.96032010340636
ID15,-153.74550784741785
ID16,-157.16663442290277
ID17,-153.04508803772416
ID18,-159.6853714099253
ID19,-127.59827833669618
ID20,-148.11485472789704
ID21,-153.33615091218945
ID22,-158.30208388449512
ID23,-157.15332281815915
ID24,-147.63086282632443
