mode,positions,improved_vs_production,worse_or_equal_vs_production,median_delta_vs_production_mm,rmse_delta_vs_production_mm,p95_delta_vs_production_mm,max_worse_delta_mm,max_better_delta_mm
tagfit_additive_only_coherent,24,16,8,-33.70114242388331,61.06925622698538,31.495112070872846,38.6108573801244,-151.67715942161027
tagfit_additive_only_no_top12_train,24,18,6,-33.371151278469796,47.55855283466305,14.431194860155752,27.327383564798268,-105.37387797167077
tagfit_joint_additive_plus_rho,24,15,9,-27.511652213194388,59.17042265525507,42.931326388012245,67.58811251631931,-120.89580610166553
