anchor,sweep_delta_full_mm,expected_relative_delay_mm,va_fitted_delay_mm,fitted_minus_expected_mm,same_sign_or_zero,sign_fixed_delay_mm,sign_fixed_minus_expected_mm
A,294.2488295219678,0.0,0.0,0.0,True,0.0,0.0
B,189.7905730582065,-52.229128231880665,29.330962942050625,81.56009117393128,False,-29.33095621159276,22.898172020287905
C,251.42253461503435,-21.413147453466735,88.01456944590981,109.42771689937655,False,-88.01502592707158,-66.60187847360484
D,226.3549157662836,-33.94695687784211,201.60340565751443,235.55036253535656,False,-201.6031898987285,-167.65623302088636
E,95.1701128329376,-99.53935834451511,27.82294638993785,127.36230473445296,False,-27.822914062232655,71.71644428228245
F,97.88493905082548,-98.18194523557116,19.2519176681877,117.43386290375886,False,-19.25194668984769,78.92999854572348
G,168.43794491405066,-62.90544230395858,20.003699021562813,82.90914132552139,False,-20.003676978662526,42.901765325296054
H,167.87409430583955,-63.187367608064136,19.118532022837364,82.30589963090151,False,-19.118655886510698,44.06871172155344
